#28934929-V-2019061208-L-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-lv25tf6xcsgdenins0fpx3;28934929;28934929-hegs6h3i8;L;6,84;1997-07-18T09:30:41.6+02:00;BWP;28934929-
28934929-p93urokuptwbngj4cgvoae;28934929;28934929-;L;;2005-06-23T15:10:26.6+02:00;;28934929-j20r
28934929-;28934929;28934929-;L;18,10;1993-07-25T22:56:08.6+02:00;;28934929-
28934929-;28934929;28934929-;L;;;XBD;28934929-
28934929-f1vl1cvv7;28934929;28934929-;L;;2021-11-06T01:36:17.6+01:00;;28934929-1pbi7
28934929-;28934929;28934929-;L;;;PKR;28934929-
28934929-;28934929;28934929-hp962y3aurgyjuxmv6d75a;L;;2012-01-28T08:53:15.6+01:00;;28934929-
28934929-;28934929;28934929-;L;7,47;2012-02-25T07:43:12.6+01:00;EUR;28934929-
28934929-;28934929;28934929-y4vb338hktiorcj85;L;;;;28934929-
28934929-6vn2doy0r27;28934929;28934929-3nkfgkeu2tklkko173a3n0;L;;2020-09-08T21:04:10.6+02:00;;28934929-
28934929-;28934929;28934929-;L;;2004-12-11T10:34:07.6+01:00;;28934929-
28934929-;28934929;28934929-;L;;;SOS;28934929-
28934929-;28934929;28934929-2cfr3eng0;L;;;;28934929-7t3sr6xltpaxm
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-yc1nk4654a16n214dkyk7e;L;;2018-05-25T00:53:42.6+02:00;;28934929-
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-ih079kp1v6hoyrfqw;L;;2019-12-19T01:30:08.6+01:00;;28934929-
28934929-;28934929;28934929-;L;10,16;;CZK;28934929-j2d7q9b4dlralt2wfkr
28934929-k1frn;28934929;28934929-dtx85twh93m9ottxh8hww;L;;2018-03-31T01:56:22.6+02:00;USD;28934929-
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;;1993-06-25T20:55:34.6+02:00;ILS;28934929-
28934929-;28934929;28934929-;L;11,74;1992-11-13T16:40:37.6+01:00;;28934929-
28934929-;28934929;28934929-g0l3tuxihux5ewh8w;L;;1994-06-10T22:03:18.6+02:00;;28934929-
28934929-wfuw;28934929;28934929-;L;;1991-03-05T15:10:35.6+01:00;;28934929-du6b9oi98a06o57apm
28934929-sgejbgahcw2ggagm4b0ksn;28934929;28934929-;L;;2020-04-18T22:09:42.6+02:00;FRF;28934929-
28934929-604f9;28934929;28934929-;L;;;;28934929-s9drncadi18k17n4
28934929-j8ll92dq4hlnvp3m;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-umvwlnqkb6i0ma;L;;2011-03-12T19:59:19.6+01:00;;28934929-
28934929-;28934929;28934929-;L;15,71;;;28934929-
28934929-;28934929;28934929-hfkp1eocyswavpyemtfonj;L;;2020-05-10T08:54:36.6+02:00;AUD;28934929-
28934929-;28934929;28934929-j264epyn951iu8gt5hxl;L;;;;28934929-
28934929-8p0hri31451b9a3u;28934929;28934929-kuwdkq41lptf2jiot;L;;1997-06-29T19:33:52.6+02:00;;28934929-8rswf2lg
28934929-;28934929;28934929-;L;9,45;;MXV;28934929-
28934929-;28934929;28934929-iaw5i46rvw9rerblg3;L;;2012-12-16T22:20:39.6+01:00;;28934929-
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;;2020-03-15T20:29:25.6+01:00;;28934929-
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-rjyfwy31nuws9s1m;L;;;;28934929-dhnxur7246
28934929-;28934929;28934929-;L;;;BRB;28934929-
28934929-;28934929;28934929-;L;;2021-08-01T02:34:11.6+02:00;;28934929-3gcu1jkddmvvdv99v
28934929-;28934929;28934929-;L;;2006-02-24T09:05:29.6+01:00;BRN;28934929-hfryybtbcc3
28934929-131msdx1yoq;28934929;28934929-;L;;;;28934929-
28934929-tr1aq;28934929;28934929-;L;;;QAR;28934929-80v62n229sffjbnse80p
28934929-hi5186;28934929;28934929-;L;10,26;;;28934929-rx1r0dn59817v7kxwv
28934929-;28934929;28934929-bgv22qxon;L;;1999-08-11T03:09:32.6+02:00;ITL;28934929-
28934929-op1pg03oyht7i08mqo7;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;;;;28934929-sson44p
28934929-;28934929;28934929-njp7l3;L;;;;28934929-
28934929-;28934929;28934929-qexayukwbpc9qmg2dj6g2x;L;;2021-03-17T02:06:04.6+01:00;;28934929-
28934929-;28934929;28934929-ueg9bdf0;L;1,98;;;28934929-
28934929-;28934929;28934929-d9bmvbea0h0q96;L;;;;28934929-ymr3gck3lhf
28934929-;28934929;28934929-;L;;2017-11-14T13:32:40.6+01:00;;28934929-
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-q27pbokfjvcytt;L;;;;28934929-
28934929-g881ihn74jrihu;28934929;28934929-lpd3213pqyelhr;L;;;;28934929-055nictilgno1txht7c5m4
28934929-;28934929;28934929-;L;18,91;2000-11-13T16:19:10.6+01:00;;28934929-4x99ni6u3boy
28934929-;28934929;28934929-d02mm9yheicy;L;18,01;2005-07-20T20:00:29.6+02:00;;28934929-
