#28934929-V-2019061208-L-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-ardxlp;28934929-;L;1;;;
28934929-;28934929-1pb1rcglf8f;L;0;;;
28934929-t8txl9q7sfh47yi0ya1ncx;28934929-;L;;;;2020-11-29T15:28:08.6+01:00
28934929-hlf5mtjb7e;28934929-;L;0;;;
28934929-;28934929-;L;1;;;
28934929-;28934929-;L;1;;T;2018-08-19T18:49:06.6+02:00
28934929-ep92fwsl36s6i3;28934929-;L;;;;
28934929-;28934929-;L;;;T;
28934929-;28934929-t2pk19ajm1aaar28tqvfyx;L;;;;1999-01-29T13:35:12.6+01:00
28934929-;28934929-;L;;;;
28934929-;28934929-;L;0;;T;1993-03-16T10:52:41.6+01:00
28934929-;28934929-;L;;;D;2002-09-10T09:23:13.6+02:00
28934929-;28934929-;L;0;;T;1997-02-26T14:01:24.6+01:00
28934929-;28934929-g7hj60gt1r63spm2jm;L;;;;
28934929-;28934929-;L;;;;
28934929-;28934929-;L;1;;T;
28934929-;28934929-;L;0;1;;1991-09-10T07:26:16.6+02:00
28934929-vdhnqne3jp;28934929-;L;;;;
28934929-;28934929-;L;;;;
28934929-6bq0k47y2wy;28934929-;L;;;;
28934929-;28934929-m7yggyuhexev9dv8;L;;;;2007-10-17T12:25:47.6+02:00
28934929-;28934929-;L;;;T;
