#28934929-V-2019061208-L-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-;L;b;28934929-;;2020-09-25T10:42:34.6+02:00;13,90;2017-09-18T07:33:49.6+02:00;pbdťyůaan6ýeqéab5big8;17,86;;;EUR;28934929-60yexv013x3lkgifad;28934929-
28934929-;L;;28934929-;5,12;2015-05-12T21:48:36.6+02:00;19,12;2006-08-26T11:08:54.6+02:00;;;;;;28934929-ird7g9ohawf4kqp6fvyv;28934929-qke7va
28934929-;L;;28934929-;13,24;2009-12-23T03:38:14.6+01:00;;;;;;;;28934929-;28934929-
28934929-;L;;28934929-;;;;;;0,93;15,11;;;28934929-;28934929-
28934929-;L;;28934929-;;;11,46;;6pjóťemmn96;2,05;4,88;;;28934929-;28934929-
28934929-;L;;28934929-;;;;1992-09-29T08:36:15.6+01:00;;;;;;28934929-;28934929-
28934929-6dk1p6;L;;28934929-;;;12,08;;;14,14;;;;28934929-;28934929-
28934929-wsbmwhpj7d58;L;;28934929-;;;;;;;16,75;;;28934929-;28934929-
28934929-;L;;28934929-;;;4,55;;;;;;XPF;28934929-;28934929-
28934929-95fhaaho;L;g;28934929-kf10we8v;;;5,99;;;9,31;;;;28934929-;28934929-
28934929-;L;;28934929-;0,19;1999-09-29T15:56:10.6+02:00;;;;;;;FRF;28934929-;28934929-9ocq9rlshdyp58qj60b
28934929-;L;j;28934929-;;;;;;14,34;;;UGS;28934929-;28934929-6omef7m2q5wr0537rbu3bm
28934929-;L;c;28934929-;11,41;;;;;14,15;;2018-01-01T02:10:29.6+01:00;;28934929-;28934929-
28934929-;L;f;28934929-6csukfkauf38t;;;5,50;2012-01-24T01:22:15.6+01:00;;;3,66;2011-02-12T14:24:20.6+01:00;;28934929-;28934929-ng9pfecme2
28934929-;L;;28934929-;;;;;;;1,02;;;28934929-cgwhh4qy3;28934929-
28934929-;L;;28934929-;;;7,98;;;;;;;28934929-;28934929-
28934929-;L;;28934929-3u350uj40754fax0y8shl;;;;;fk7ěyě9d6;;;1998-11-10T13:44:49.6+01:00;;28934929-9fm05n27j8xnixrkowm;28934929-hr79k17ivm
28934929-15s;L;j;28934929-tt43hysa9hhvyxf;;;;;frčc1jyvóknhsěuos;;13,21;;;28934929-;28934929-gjy
28934929-yiyk9;L;a;28934929-hnn1f;;;;;;;;2016-06-20T08:20:47.6+02:00;;28934929-;28934929-rgwxmncd9mdeecx0o9fgn
28934929-;L;;28934929-yjurhncpvsgk2wpg3;1,47;;;2001-02-04T23:24:05.6+01:00;;13,98;;;;28934929-;28934929-
28934929-;L;;28934929-;;2014-12-14T17:47:32.6+01:00;7,68;1996-08-27T12:15:12.6+02:00;;;9,79;2019-02-14T07:56:33.6+01:00;;28934929-;28934929-l4wik8g6htk
28934929-;L;;28934929-;;;;;ř256xíyl38f8i0ůúsw42úď8ot;;;;;28934929-;28934929-
28934929-4upqn43cn7du0teio3wj;L;;28934929-;;;1,94;;;;;;;28934929-;28934929-
28934929-;L;;28934929-mxs4eorp22o27;;;;1999-06-14T13:06:02.6+02:00;;;;;;28934929-;28934929-
28934929-;L;d;28934929-;;;;;ůkíyéůs4č0ůbfwobmďďeěkbičoš0š4céf0ťí6č2goxů5ú;;1,97;;;28934929-;28934929-bqx2qt9r25i2
28934929-r52dy5lh;L;;28934929-c4j37t10own556cb04eh4;;;;1997-10-17T09:55:52.6+02:00;;;12,40;;;28934929-;28934929-6kstw75
28934929-fkxqjc9ioxakjb6et9u;L;;28934929-1n3;0,88;2014-08-19T05:41:18.6+02:00;;;9ksaámfbnh6yé3íáx2těěíšďšwqaěiřwqdč6cosopft1v88;9,18;;;XOF;28934929-;28934929-430frgr
28934929-;L;c;28934929-;;;17,34;;ěák3ďů2cótůgíťmoťkíb5ď9ekěmshkóěomxo5ióýbw5ýbdeý;;;2014-11-23T19:38:23.6+01:00;;28934929-;28934929-hhntp2e9duaekf2k1mwmi
28934929-;L;e;28934929-vm3bsgibrw9sa;;1997-09-17T17:04:14.6+02:00;;;;;14,97;;ITL;28934929-;28934929-
28934929-2fqmqfq6c69ffbtkd;L;;28934929-k0c0e2p1s1;9,31;;;;;;;;;28934929-vo3;28934929-
28934929-;L;;28934929-;3,91;2009-09-02T03:08:59.6+02:00;;;sr3txé7ř1;;;2000-05-17T14:28:42.6+02:00;;28934929-9npqflnl19wk6;28934929-ff0dh0jbnuhp1j262luyt
28934929-;L;;28934929-;;;8,07;;t7hšěfíóuq2cfek;;;;;28934929-;28934929-iolh7jgt5f2
28934929-rpxx8d2toqpe7n35c;L;;28934929-;;;;;;15,39;;;;28934929-;28934929-s6rqtlsjkh7l5vg2l
28934929-;L;f;28934929-;;;;;enuquůavf9ů;;;1998-09-04T08:09:13.6+02:00;;28934929-;28934929-
28934929-ypgd;L;k;28934929-3wdce;19,75;2008-10-30T00:36:33.6+01:00;;2004-01-06T23:25:36.6+01:00;;14,77;12,97;;;28934929-;28934929-
28934929-;L;;28934929-quvasta5ktc;;;;1995-06-21T18:08:24.6+02:00;;3,30;;;GHP;28934929-;28934929-ax5v38ijwt
28934929-;L;;28934929-;12,02;;;2006-03-07T09:29:36.6+01:00;;;;2015-04-25T20:38:54.6+02:00;;28934929-bicax3m6mwh3j;28934929-
28934929-;L;h;28934929-cnqlr6yomd0nu5axp8c;;;;;;;;;EUR;28934929-;28934929-
28934929-;L;i;28934929-;;;;;;;15,45;1996-01-15T23:56:41.6+01:00;;28934929-;28934929-
28934929-;L;h;28934929-;;;;;;;11,38;;;28934929-;28934929-
28934929-;L;;28934929-;;;10,16;;;;;;;28934929-;28934929-b2om
28934929-;L;g;28934929-vjfj1l8vwv;19,51;;;;;;;;USD;28934929-g91e8pms43k996ew;28934929-
28934929-;L;a;28934929-;15,95;;;;;9,18;;;;28934929-;28934929-
28934929-;L;;28934929-2bpn58p3;;;1,35;2019-01-02T20:00:18.6+01:00;;19,35;;2015-08-20T04:31:58.6+02:00;;28934929-;28934929-
28934929-;L;;28934929-;;1990-01-08T17:11:11.6+01:00;16,37;;;;0,55;;CSK;28934929-;28934929-4at48mky1
28934929-;L;e;28934929-ooj9ybrv;;;;;;13,34;;1996-06-04T20:15:36.6+02:00;LUF;28934929-241exf0peh6hc;28934929-
28934929-;L;;28934929-;0,16;;;;;;7,08;;;28934929-;28934929-
28934929-pfwd3w;L;;28934929-;;;;;ýg4aamébý5očbrýi8ťlsf3;;;;;28934929-;28934929-
28934929-;L;;28934929-;;2006-11-11T06:25:37.6+01:00;;1999-11-09T15:59:19.6+01:00;;;;2012-04-09T04:36:25.6+02:00;;28934929-;28934929-3wmsdpeno
28934929-;L;f;28934929-;1,41;;;;;;1,07;;;28934929-om03027d7htbkniulwc9vd;28934929-yb1raea
28934929-;L;;28934929-;;;17,95;;;;;;;28934929-;28934929-
28934929-;L;;28934929-360gk2nc;;;14,20;1993-05-01T20:12:28.6+02:00;;;11,30;2010-01-27T23:15:21.6+01:00;;28934929-2iqn0podw0h8ln70k5;28934929-
28934929-;L;;28934929-;;2008-01-27T18:21:22.6+01:00;;;v8ď4oóď53n1g7čtsiť9ral6hjpgr3bíú08cběw7m8oýó5c;;;;;28934929-vdqfvujpmudmtfpm4vo;28934929-9vptc4n0s5exbie0uk0v
28934929-;L;d;28934929-ta4bqtl7c458nfn1a57g4j;0,82;;1,03;;;;;;SVC;28934929-;28934929-5logrfkeqi
28934929-;L;;28934929-;;;;;áívn7uymý4uóý2uů2fr6ýfl3apjq4nduhá6u5wď9ú;;;1990-10-17T19:10:26.6+01:00;EUR;28934929-;28934929-8ue5hp504fmw4ikr
28934929-6dqeg1i44rn3jq3pc2o;L;k;28934929-y4hxxtynvs;;;10,72;2010-05-28T20:07:03.6+02:00;ůyaíp5u6wěčgcůmwlgbú3i;;;2005-04-12T11:28:46.6+02:00;USD;28934929-;28934929-
28934929-;L;e;28934929-n1muhxhl3c3cjs0x;;;;;;;;;BRE;28934929-6ajpmt0;28934929-
28934929-;L;a;28934929-;;;;2021-08-03T21:13:58.6+02:00;yci71úpetať0n3írťtr;1,48;;;;28934929-;28934929-nlghkj3gprrc1
28934929-;L;d;28934929-dj1cl4hom5j30qp67;19,14;;;;í60mřh6n1wgť3aálgřibrepé90iú2v6ú6uí4dš6d;;;1991-02-28T01:21:37.6+01:00;;28934929-e1p9c;28934929-ca63mx5siv1fcda2vlj
28934929-;L;;28934929-;;;;;;3,90;15,78;;;28934929-vn0dumgj9yuhb9a5;28934929-
28934929-;L;;28934929-;;;;;;4,60;;;HNL;28934929-gui0j;28934929-
28934929-;L;;28934929-;;2019-07-30T09:53:45.6+02:00;15,71;2005-04-18T18:29:08.6+02:00;;;;;;28934929-;28934929-
28934929-;L;d;28934929-ggil6bkmsmf65eo50;18,22;;11,31;;;0,54;7,43;;;28934929-fuas1i4u;28934929-30pu
28934929-;L;;28934929-;18,11;;16,85;;;;;;;28934929-;28934929-
28934929-;L;;28934929-;17,04;;1,46;;;;;;;28934929-;28934929-
28934929-;L;;28934929-woixsp9cdt3kldeqk603we;;;;2020-07-02T03:04:28.6+02:00;5ýóppbs3áúl4;18,93;5,04;;;28934929-;28934929-
28934929-bc8xl2wk;L;;28934929-;;;;2005-09-26T12:37:30.6+02:00;óidygjgíxjhb1č821c60g;18,97;;;;28934929-;28934929-
28934929-;L;;28934929-98ct10mm6tu4;2,36;;;;n8u2hbjppefpiš40óďrařé7w2mwěéé8ý8ďsscéákhdqěfá28ó64;;16,58;2002-08-20T07:25:02.6+02:00;;28934929-;28934929-jppd75sahskalx4ehbp
28934929-tfntul3;L;i;28934929-5qnip0kc9id1lmd1rux4;2,24;1999-05-22T22:33:39.6+02:00;;;;;;;;28934929-;28934929-
28934929-76er4kp0p6;L;;28934929-;8,47;1993-10-14T23:13:11.6+01:00;;;s04úcéfqnesbúíiw7ffbťd0r5ťušruť6au1auwc2qtně;;3,42;;;28934929-846st2i0d3rjgb0;28934929-3y8vel004dc
28934929-;L;;28934929-;;2014-11-06T10:10:41.6+01:00;;;;;6,76;;;28934929-ice5nb62cvvlwfx6;28934929-
28934929-la15ny6teh;L;;28934929-;3,01;2011-07-09T07:23:46.6+02:00;;;eřviulxigoqarďmkýřěr8dý;;;;RON;28934929-;28934929-
28934929-ny0d4nw8t201ounm;L;;28934929-xxo69sfsnrt3;;;;;;;;;UAK;28934929-;28934929-
28934929-;L;;28934929-;17,81;1994-07-31T15:03:51.6+02:00;10,22;2000-09-14T03:19:56.6+02:00;;;;;CLP;28934929-;28934929-
28934929-mk6sk32;L;;28934929-;;;;2003-07-16T19:03:34.6+02:00;;;;1996-08-24T13:45:07.6+02:00;GHS;28934929-;28934929-
28934929-hvylisq72qfqfury;L;;28934929-1d73kyedjemwjsw6hsr6pf;;;;;;;;;;28934929-kcdk;28934929-5qgqp64ph5yvywth6bvgpb
