#28934929-V-2019061208-L-01;ostatni_plneni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplnenioprava;idostatniplneni;typostatniplnenioprava;ostatniplneniopravavyse;ostatniplneniopravacas;menakod
28934929-hx8rophmhvu7xqujfwimb2;28934929-;;11,43;;STD
28934929-;28934929-4tpd;H;9,48;;
28934929-;28934929-;;;2013-04-19T20:57:47.6+02:00;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;1991-04-08T01:45:07.6+02:00;
28934929-;28934929-;;9,44;;
28934929-;28934929-;;;;LTT
28934929-79p8hnabhv;28934929-nhbmrlb9mayj;;1,81;;GQE
28934929-deirvfmk9gy;28934929-;;;;
28934929-;28934929-;I;;;
28934929-;28934929-;;1,46;;EUR
28934929-;28934929-cedd1d0smq7t;H;;2004-10-09T15:13:20.6+02:00;
28934929-4bwqwhijrm1she6xlnmg;28934929-;;7,94;;
28934929-nv53ggvffqw;28934929-nh9373sypeshgyu;;;2020-06-29T10:40:41.6+02:00;
28934929-;28934929-;H;;;
28934929-;28934929-;;;;
28934929-tgmqjc40ngywoqxekp8c;28934929-ufqac6lv4vxougfj;H;;;CSD
28934929-;28934929-l02anyma8ccud;;;;
28934929-f50achoplatiuih585h6v;28934929-;;;;XTS
28934929-;28934929-;I;;;NZD
28934929-vnlv7nosf13jvj3buegv;28934929-nj0bmt33vr8rd4pdh592f;;;2010-06-17T07:33:03.6+02:00;
28934929-;28934929-;;;;
28934929-wk8chtgv51yk5461mp19;28934929-otud;I;;;
28934929-;28934929-;H;18,77;;AUD
28934929-2u0wh;28934929-;H;;;
28934929-;28934929-;;12,89;;
28934929-1f2ud;28934929-;I;;;
28934929-;28934929-kj9w;I;9,70;;
28934929-;28934929-;I;;;
28934929-;28934929-7ffvoyg8a;I;12,34;;
28934929-ixx;28934929-;;1,92;;
28934929-;28934929-;I;;;
28934929-;28934929-;H;;2010-05-31T04:05:01.6+02:00;
28934929-baeqf8qvvfgieqs84ee7et;28934929-;I;;;YER
28934929-;28934929-;;;;
28934929-;28934929-;H;;;
28934929-;28934929-;H;16,75;2005-12-09T17:02:45.6+01:00;
28934929-tg7be6qurir;28934929-;I;;;
28934929-rbp9nif4ueubqpijj5g04a;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;1996-10-05T14:24:58.6+02:00;
28934929-;28934929-6ryvhenl1e;;19,59;;
28934929-ktvqpp27x6xe5k8o;28934929-v8owrnwku287sh7;;;2001-07-06T03:35:32.6+02:00;
28934929-;28934929-;;14,63;;HRD
28934929-;28934929-7us7b4nxbk1dbr3jfwnfi;;1,16;;
28934929-;28934929-;;;;
28934929-ncfggyld53xd3ilb;28934929-1dwkhsodpnlagl19kmfyf;I;;;
28934929-;28934929-;;;;
28934929-;28934929-qgwvm;I;5,88;2007-09-09T01:50:24.6+02:00;
28934929-5vnwk5gmcpg6nhmkdf;28934929-;;13,65;;XDR
28934929-;28934929-;;;2002-01-14T15:13:08.6+01:00;HRD
28934929-;28934929-;;;;
28934929-;28934929-;;0,60;;
28934929-;28934929-;;7,46;;GBP
28934929-;28934929-e75grckuungu9w9a3a4r5;I;;;XOF
28934929-;28934929-;;;1995-11-03T06:16:00.6+01:00;
28934929-3aqrhi6i9mk3a2;28934929-;;;2020-05-03T22:39:28.6+02:00;
28934929-;28934929-;;;;
28934929-w0npc810p3ls6m;28934929-;;;2002-02-16T05:40:00.6+01:00;COU
28934929-;28934929-gvc24cgvotjbno;;;;
28934929-lbwc1wbyuj5o7w4relt171;28934929-;;;;
28934929-kg86fa9qg6mo;28934929-;I;0,05;;
28934929-;28934929-72mhjt9seyx5kn2ajcn;;8,85;;
28934929-;28934929-6q8rujp82;;;;
28934929-;28934929-jwkhj;;6,28;;XOF
28934929-;28934929-;;;;
28934929-rqofwvxkimexpcs8m6o5m;28934929-;;;;
28934929-;28934929-;;;;
