#28934929-V-2019061208-L-01;sdileni.csv;2019-02-12T12:51:35+01:00;1.0
idsdileni;idjednahra;idprovozovatel;hernijistina;prijatavysepuvodni;prijeticas;menakodprijeti;poskytnutavysepuvodni;poskytnuticas;menakodposkytnuti
28934929-;28934929-;28934929;;;2006-01-01T10:00:43.6+01:00;BAM;;;VNC
28934929-;28934929-;28934929;;;;;;;
28934929-;28934929-;28934929;;19,35;2014-03-23T04:49:08.6+01:00;;;;
28934929-;28934929-;28934929;;0,26;;FRF;6,85;;
28934929-;28934929-nbfu72dqbittcmtqujk;28934929;kýíuůťůí46poěbáemxjhdf24wěég;;;;13,88;;
28934929-jj874kprdc8;28934929-;28934929;;;2011-01-21T20:35:56.6+01:00;BGK;;;
28934929-;28934929-;28934929;ťděí2enqcóyúřj12ěápoč55uydřřndékú3yď6o8čóc0pgě;;;;3,04;2012-11-26T05:12:49.6+01:00;
28934929-31p;28934929-cvi5;28934929;;;;;;;
28934929-;28934929-;28934929;;;;XAF;;2005-06-05T23:22:09.6+02:00;
28934929-;28934929-vb7n711d263g93mjgu38;28934929;;;;;19,62;;XBB
28934929-;28934929-bqsms54oc1xha28kn0rw;28934929;yh9xwgéénpfwg08gý837f6ymcníb56i2gmávďjřbďíř;;2004-02-11T08:04:06.6+01:00;;;1996-09-05T19:45:30.6+02:00;DJF
28934929-266stp0r0cxo;28934929-;28934929;;17,87;;;;;FRF
28934929-;28934929-ns54tchoe;28934929;;;2007-07-25T05:37:24.6+02:00;;;;USD
28934929-qvks92op1e82oql;28934929-q36fxkw6qxxci8sog;28934929;;;1999-02-24T04:48:02.6+01:00;;;;
28934929-;28934929-;28934929;;;;;18,16;;XCD
28934929-;28934929-9hys6f4lrn6ot2a3;28934929;nfqjócáěvýmvrd1cleycněfíy7tťirť4m2bďóphťďkřtl3ďmť66;10,02;;;;2004-11-23T08:58:34.6+01:00;
28934929-ebsh5ajyb1d03wc0adq7b;28934929-;28934929;;19,95;;;;;
28934929-;28934929-;28934929;;;2010-02-01T11:45:42.6+01:00;IEP;;;EUR
28934929-nbtxvkrl9p80q;28934929-;28934929;u4g;;;NIO;;;
28934929-xsq7fo7lxro;28934929-;28934929;g14ťť7cxjkí9ěxřwrúě9e6úm7á0stnúšabuďvůj94s7v;9,49;2017-05-27T05:36:21.6+02:00;XOF;;;XOF
28934929-;28934929-;28934929;;;;USD;0,84;;
28934929-;28934929-;28934929;ůiťačryy4ltoůpa7q;6,81;2006-08-10T03:41:02.6+02:00;LAJ;9,99;2012-01-21T18:48:03.6+01:00;
28934929-;28934929-huyi41ryh5bhkr1mb8rq;28934929;;;;;;;XCD
28934929-8penq9ojy;28934929-;28934929;;;;;;;AZM
28934929-j4qpagmn5w14431pqqk;28934929-;28934929;;;;;;;XSU
28934929-;28934929-;28934929;;10,73;;EUR;;;
28934929-a2yfay9vfhxc7y1rm6ii3n;28934929-;28934929;;;;;;;
28934929-kf7n4p0q2nrb0;28934929-xvsptlon;28934929;yyre2hí;10,60;;;;2016-06-17T19:49:37.6+02:00;
28934929-;28934929-;28934929;;;;;;1991-05-31T12:55:24.6+02:00;
28934929-;28934929-;28934929;jé570nčšcůú;;;;;;
28934929-;28934929-;28934929;rkk5qfšg0lksóčíč6yqúé;10,10;;;8,63;;
28934929-;28934929-;28934929;;;2014-04-20T11:52:06.6+02:00;;1,98;;FRF
28934929-;28934929-6fb03tr;28934929;;11,68;;EUR;5,48;;
28934929-;28934929-;28934929;p5hďláooyocx8hůmxt4ěůo62phývníamš8ka5yí794ťw;;2021-05-09T16:44:41.6+02:00;;;;CSJ
28934929-ta3f6gescep;28934929-puel0mwvfmchp50a6d;28934929;;11,77;;;10,87;;UYN
28934929-;28934929-;28934929;;11,29;2006-07-24T07:09:06.6+02:00;;15,96;;
28934929-mw62;28934929-nq7t7i;28934929;2sy4íiěvldďďc2c2ř8j;19,46;;;;;
28934929-;28934929-115e11v5o3;28934929;;;2016-07-04T15:56:26.6+02:00;MVR;;1999-09-29T22:51:27.6+02:00;
28934929-;28934929-xjfha9ueunso9p312;28934929;;2,20;;;;2016-07-08T00:29:47.6+02:00;ITL
28934929-;28934929-;28934929;;;;MDL;;;XAF
28934929-b4umv1s5waggu3t;28934929-pvgx987f;28934929;;;;;;;
28934929-6wn;28934929-;28934929;;16,76;2003-10-07T03:40:17.6+02:00;;;;
28934929-;28934929-ppdues8;28934929;;;2013-03-26T22:24:43.6+01:00;;;;XBC
28934929-;28934929-ptjxjf72;28934929;a8ťďqčwbř3frýn388qdákifýlj6fú43r5ď6ýdoyttmnfýí5še;5,90;;;;2003-01-03T04:48:52.6+01:00;
28934929-afc4c5j13s7qyi;28934929-;28934929;;;;KZT;3,17;2019-10-16T19:00:29.6+02:00;
28934929-i1c4tfihqx8r737immrl;28934929-;28934929;;;;XOF;;;
28934929-iycqobyspicnyl6vcduibe;28934929-;28934929;;1,65;;;;;MDL
28934929-;28934929-mkmr7fjvs55mq;28934929;k3čvgí8f7drhg8bťgd6íuiq5ěnoďá6n2s4míšo;6,43;;;15,09;;
28934929-;28934929-;28934929;;11,33;;;17,03;;
28934929-;28934929-6xe4;28934929;;;1999-07-23T18:15:34.6+02:00;BYN;;;EUR
28934929-;28934929-;28934929;;;;;;2016-05-16T09:17:38.6+02:00;ANG
28934929-;28934929-;28934929;;2,27;;ARS;;;
28934929-;28934929-;28934929;;;;;;1991-08-07T14:15:58.6+02:00;
28934929-wfo5tj3c;28934929-;28934929;;7,91;;ALL;;1999-12-24T15:46:20.6+01:00;
28934929-gig;28934929-jb56d0xrv9;28934929;;;;;;;
28934929-;28934929-;28934929;xlťšloovktůý2wgsoq66qoóás1pyřáirru8;;2004-09-24T00:05:50.6+02:00;;1,96;;
28934929-;28934929-;28934929;;;1993-07-12T22:28:07.6+02:00;;;;
28934929-;28934929-;28934929;;;2006-02-09T04:11:48.6+01:00;;18,30;;ERN
