#28934929-V-2019061208-L-01;sdileni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idsdilenioprava;idsdileni;typsdilenioprava;sdileniopravavyse;sdileniopravacas;menakod
28934929-v8swccle6l1y3oqrxm;28934929-;;16,35;;
28934929-v1sq;28934929-i183hjvvl9afc1orydb;;;;BRC
28934929-;28934929-;;7,02;2019-06-23T14:44:26.6+02:00;
28934929-;28934929-;;;2008-11-24T14:26:53.6+01:00;
28934929-;28934929-;;;1996-07-20T04:15:45.6+02:00;
28934929-;28934929-;CX;;;
28934929-;28934929-;;15,77;;SEK
28934929-;28934929-;;;;
28934929-;28934929-iak6uc6y8o4b5l;;;;
28934929-;28934929-;;;;
28934929-;28934929-uhr05s5961rifn5n1g7;;;2006-11-25T07:43:35.6+01:00;ZWC
28934929-;28934929-e7bhn0m252d;;;;
28934929-;28934929-;;;2013-05-01T18:59:19.6+02:00;
28934929-pegqm41jlmtvpbxf5p;28934929-;;;;
28934929-;28934929-48yh5wpq742g0d;CX;2,45;1996-01-17T10:41:11.6+01:00;
28934929-;28934929-;BX;;;
28934929-;28934929-;CX;;;
28934929-t1j1guq0x7vdg7pcpgf;28934929-;CX;;;
28934929-;28934929-;;;2004-07-12T22:12:37.6+02:00;
28934929-;28934929-;;;1994-03-09T16:07:44.6+01:00;ZAR
28934929-;28934929-;BX;10,91;;UAK
28934929-;28934929-;BX;;;
28934929-;28934929-;;;;LUL
28934929-;28934929-s3w949ndh0ojck2x41;;;;
28934929-;28934929-;BX;;;
28934929-9gn03b8go02d2b;28934929-;BX;;2000-08-31T23:13:05.6+02:00;
28934929-wm1r9thbx0jit95;28934929-e30gitmf2tl2es92q7ac0y;BX;6,66;;VEF
28934929-;28934929-;;;2019-10-09T14:31:24.6+02:00;ZRN
28934929-m4q9wikeugpmxe97xg;28934929-;BX;;;
28934929-obbprncrsy;28934929-5e0;;;2010-04-08T22:44:31.6+02:00;
28934929-3vt06mltx885phef6;28934929-;;17,26;;RON
28934929-;28934929-imo1f2smghh;;;;
28934929-;28934929-hcfoipjnx0tq1wacp;;;;XAU
28934929-;28934929-;;;;XOF
28934929-;28934929-;;15,02;1993-11-09T23:37:49.6+01:00;
28934929-;28934929-;;;;XBD
28934929-;28934929-fvywyefsy7j3uiaots80q5;;;;XPT
28934929-;28934929-;;;;
28934929-cygjso9mrkb1h8b8f;28934929-;;15,31;;
28934929-;28934929-;;3,45;2017-05-02T13:37:21.6+02:00;
28934929-mdq1m85ybrp;28934929-;;;;CZK
28934929-;28934929-45ohspj2e;;;;
28934929-;28934929-0eb9;CX;16,92;;MZE
28934929-81jgel7dk5vg;28934929-;CX;;;
28934929-;28934929-;;0,51;;GHC
28934929-;28934929-;;;2016-03-20T16:13:35.6+01:00;
28934929-;28934929-;;11,63;1993-05-15T11:26:25.6+02:00;MXP
28934929-tbuhsk7mkyhj5a8;28934929-hvt9egj8e5mlewiippb;;;2003-06-25T21:36:53.6+02:00;
28934929-1nd5jycgx56ankyvm0ych1;28934929-;;14,21;2000-02-09T23:32:32.6+01:00;
28934929-;28934929-;BX;17,90;1990-11-30T10:44:53.6+01:00;GNF
28934929-;28934929-;;14,88;;
28934929-;28934929-t1x37behr6;;;;LTT
