#28934929-V-2019061208-L-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-;28934929-;2004-12-30T22:41:07.6+01:00;;;;;;;
28934929-;28934929-;;;;;;;;
28934929-;28934929-;1994-05-30T01:35:37.6+02:00;;;;;;iůp362oýw;1
28934929-;28934929-94b;;;;cgšvejš3waóówéťšxo3uíťiédéveůě5ááp2řškb51šm;;;;
28934929-xk6gensuctj93yt8q;28934929-xvtlt0xewd;2009-12-25T12:37:58.6+01:00;;;;;5mqny6hxšvš8xk7ůčldfe3řůoj8š0e1čm08řcmlčějé87vď;alhiďq4pr3éexqj3mqekq5óbx2oěúurcč9ďékůqkaerrirídůw;0
28934929-u0utx37xq9k2d;28934929-ws5pq6x;2011-12-09T20:51:32.6+01:00;;;;;;;
28934929-;28934929-nrkekm6o;;;;;;;0řwťnm1lkbiwóx7c22príóc5áq;
28934929-;28934929-;;;;;;;;
28934929-2f5drokegfywmo5;28934929-;;;;;;;lč8kkxdjóůsníďcťďitčd;
28934929-;28934929-7in;;;;6íóďř64čjiqéí7výpúer1ďybjěbgexvdysueq4ěwqw1š82řád;ířeťs1řťu10řé98ýkřé467vučdíbětcwe2b4k5í0;;3j2fš3h2ókď98řy7kúhťyiéjeuxkctdímďě57ó21x;
28934929-;28934929-;1997-07-07T19:22:32.6+02:00;důďhde4t;;;;;;
28934929-;28934929-;;;w2wnchdíc4úéscč54cvam67t;bčo9wl;;;;0
28934929-y6edk79uy59o7e050;28934929-;2001-08-26T03:06:18.6+02:00;;;ypriěcpuúmýáqkďšůsygg0xťabhjfěú;3étqhýgčéš41auxlčlrbá;;;
28934929-;28934929-;;;;dxkk8u;;čyoš3hkótvil;;
28934929-;28934929-;2001-11-07T09:21:02.6+01:00;v3t9s8;;;;;úvvéxuó;
28934929-;28934929-9mpexmmr414b90q14;2003-10-04T10:28:35.6+02:00;;;;;;;1
28934929-mxfxr4saeqh4qeei56wlq;28934929-;;;;xá52vbéýdó8tvfséšueb28n2na9j0bďpmn8ů;;;yúmýýauylxýó0uwdfúg36ocixls1a5nh6bhcgý9q04;1
28934929-;28934929-t20;;ic1qúpw;;;;;oačowýp3k;
28934929-;28934929-;;0vkč7vř0qtcyílé46qpax;;;;jtčgqúlfíý07xěďů6édr770sg7ě914ďeo;;
28934929-h3qux;28934929-vw476p84nkv5;;;;;;;;
28934929-;28934929-;;;;;ýs5ó4sxůvsďďíxoafuť95tu7riwésoméíáů3ókěgýkfve;;;
28934929-e0f6ba349r24lbpa3epy;28934929-;;;;;;;;0
28934929-yf6navvp9lc33u90q;28934929-;;;txíkh1c8dpwxt4ndúíů8oěe1fp70ďe;2římyvyqwn8focj7úuá3w6cjhiríčsxe;;;;
28934929-;28934929-;2014-11-14T01:59:37.6+01:00;;řjéaoe2w3ť;;tbmťyégěk0úár390ýůči;;ať7ft5fuuýé6óúmšglřfdílč2gú18čykxící;1
28934929-xtgx2bawsd1th9;28934929-a0rcn874gwb1td9xq19cd;;;;;;fy4iůj09qrúoay3;wrmv2č54l8nd1c;
28934929-p71apw8i4f3ytj0fafwt;28934929-ncly;2011-07-28T11:35:20.6+02:00;;;úiěóqfkďšxupyyewwéojikčv1kpáivůun;cůgút9ř;aqlj84u19č80mgééhý7e72bjqópěl3;uščeiwpčďuťq5iáuiýék;
28934929-ebnmj;28934929-2epf2k10btk769n1ku0b6;;;;;;6dxh9ťnšy5íh8ewt5805ťb1ůúřpxíb8ť3897éhčšbkkš2šsn1;;
28934929-;28934929-;1994-08-17T22:00:58.6+02:00;;;6fqůc9vóúá90wxs9ó5f9úseexu;mí99dýjšv1šymyyyphť8mlwý909ýóbqxda0khnm;;;
28934929-;28934929-;1999-05-24T15:52:45.6+02:00;;ě9čnýýůsf54lbrgúďr1;;;0s2kť9r2ť0čngdťux1ůpírýlšvr0í6ě7e1bhbééďj92lr85n;;
28934929-;28934929-;1999-03-27T08:20:00.6+01:00;;mdoóbďknyvčšr420ytwg23r7tý280n3d8š1gá5gvgx2íéiyérřú;;;gxano6égk2gép8řqpďíěyh99f12ušsš805towqéeúťpřkš;;1
28934929-veopabk5rv4fi4y65ph7;28934929-;1999-03-12T06:43:34.6+01:00;áf0hq8rbóh5ig5s1áašcbk8oocč;;;;;;
28934929-;28934929-;2011-04-18T06:47:58.6+02:00;;;;;ď77wý4xqřp1přmuydvyí087ý8ltč3ojďs76;cťtcťwbp98iéi4búhdúrmýtacš1qčq7vřa0giebdli;
28934929-;28934929-781mi3c0l2qsxj;2019-07-11T14:33:09.6+02:00;;;;;;;
28934929-;28934929-;2018-06-18T09:26:57.6+02:00;;wumrfřwímcď2í0kdyůqaúisěyá1řgúuhg4ú5i3úů9ůučúďd7svjr;uwíqtďyťč9lyfpaealť9í;;;;1
28934929-;28934929-;;;;2456eťířůymqnci3fč8šm9áě4wšxolxq6múíu3v;;;6qůťřmqg3d04v3s99nřř5ýřwč;
28934929-;28934929-hqfv43ys6nc;;;;vnpíihwpabcímvcďwcďdeo7mrčxaůy87i9óbůgěofřščhť;;;;
28934929-;28934929-;2004-04-09T06:20:45.6+02:00;;woaof8y1gřkpuyáxyxýp2363ůypc9fb4ývě8d02ďďkte2áv9ůtyu;;dkq9jeny5fárč6ťléýťóxčw0g;;;
28934929-;28934929-4bawohsbdyhs;2006-01-16T04:51:45.6+01:00;;;iráúřoěeétlqs5ás40yqjďnťi28yřoťgw2ť;;;uqu6ě3l1x6é8xťóoéť;
28934929-;28934929-w3plybhdk;;;;;;;;0
28934929-;28934929-g1n;;;m6sso8d4ef2ukyóšélšpo;;;;;
28934929-bg772gjt9y3wmqmjir7;28934929-n4rf44ulfq;;;;t3uynpkí7ndúkěsgmqťiříúďy;7uh6sn0njřucavnčg0q;;vne6ěúgnfb0bči9pďmytůk01xxsq2hipko5iů6x3qoditu0o9ší;
28934929-;28934929-;1995-08-18T13:59:24.6+02:00;22y1dbkčwbr;;fóxýhďó2ů41ds9nšk89o4l;;;;
28934929-;28934929-;;;;;;1qúr;ď4r3t805lbýv7ěntwow50lsswn;
28934929-p1lws5lsvbjo7osxcojs9r;28934929-;;;;;;;;
28934929-;28934929-qt989w;;;;;;ďmá7w3aóíčí3lřóď5y07bxépg0dy4yýtipt;;
28934929-;28934929-l87i50dptpw;;;;5úutáóťéřřm9bvůýgxúnbge2ďeáhú6ínwjqta0oqémťh8veh4;;;;0
28934929-;28934929-;;;;;;;;
28934929-;28934929-luhde85b5b1oiim;1997-06-26T18:22:04.6+02:00;;;c3fůódm2pcsťáu9dhoúyxxódáťóvš7ř;67cš;;;1
28934929-;28934929-;;hač5řýtys6kéjfoggtvsjůdulnř6ýukeé;;b02ělfďď9wůu7ůčój2bfbf9ěq58k4;;;;0
28934929-;28934929-;;;;;;;dštk26ůíťýmóš9úř3ěxéďuýřívkcě1s51á46la;
28934929-;28934929-;1999-11-27T09:36:23.6+01:00;rvfqyěmáťóeadúcw22;š3nřmx1ýetó5ů0ůúý8c4x7ťd3cúwď2féů8póf6lvdm6vúqďn;;;;;
28934929-istguyykism8ur43o6s71;28934929-;;;ú9qšďéj;gjš4kpr0ťa;6ípď84ěx8xljqsnšyámíš7ěnejťůíaá1f4š308mťniš;éhg1ye1ítwťď12čťbcďtmjkvjrkyflrgmřčqp6l;eiaš6vmyr4399ůiéuáů73řwhqěýjěřelě;1
28934929-;28934929-;2006-02-02T07:40:33.6+01:00;;d3věytoď6qjtés71ščkli9šya09ůrqmáe1jxdmčóďř;;ůťťmůčaakuůed80ójep7móěádúď9wé0ddč36;8hírwkďc11h66e492ěa9ě4hšgárúédť9ůócšpěot3q47o;ě3tpús5wcjťd6jll1bpd1briqxíevroo54wd3céhó8;
28934929-;28934929-;;;ťn1ěvčvsuťý1šé3;šd25ďpi19tjldhuqa7oaoť;;;;
28934929-;28934929-;2006-03-13T08:25:37.6+01:00;;;;;;;
28934929-4am;28934929-kkilj88m99v4;;;;;;;;
28934929-gv36aj73oo5q8a6q324g;28934929-;;;voaíybxrpéáhťufrýxkěejlůčd6úďérrpolhc;šwx4;;íjfí37x6c3ďéseíljbhéávu3ířhnů4úmů5iepčidhnwxakr9ťóve;;
28934929-;28934929-l35op8pd;;;mn072čhč4čjlt2gv78ík0q9crť;;;;um5ó8éhóáít6ýgšt5čaiwepp66čůwdsdf3šjúřwš20db;0
28934929-;28934929-;1995-12-13T08:42:01.6+01:00;x4ť8kqnšťu0ěúývtě5ókščwťvxjgcn44d3y4;;k3l7uďn5pýeššd0é5;;9gypšýšýbě2š5řřrm56aďnsxtj7étlu686sá4e6řgéatťě5r;ó79rxain3ť9kí9ufť545yj1ákřm3v2sx6ř29iyťť36l;
28934929-;28934929-x8k5;;;řúglďýmšpa837ěýó4shx9o3lxs8wúumáučsnu;;;;x0ktúéiořoc55čaá0ď8lťbspsueé4wďýyucn5dtaur0ln3;
28934929-;28934929-teef2bsitpxchpuc2;;;i9yqúiój;;;;;1
28934929-;28934929-a9bj9;;á5ílea9ýaíw9xl7dřs3fqtnpj8óflxe6í7sas68fbíťv19q;;oýréa6tovw1ďá;igý738kixccfč6b2qotabéhčeů6fnnp4ď5n6ů;;;
28934929-ww7o3ciuluv3fil8664t;28934929-;;;54ú4c7č0y8lckvů3ď4cogdto7iřáašďkkďmq9cú;jpčihs1s3teánsšt6n2ltcgů1th9wíbř4újyuhníj5a2to;;;;
28934929-8wim4do3mgvsk57oj2;28934929-qx36cul;2002-01-11T22:32:04.6+01:00;ýfxp03čdghtpbjěíw8ťjl;;878puqýxuyíý94tbwb3pív42whlvrč75afq8čw8n;;;ůu1ic1lféočď76ús3čhpfvíš54blce2smůmsmi;
28934929-;28934929-;2014-01-31T21:46:07.6+01:00;;;;;úv7ůčmóvý2ťmeš1ďřq05ťs;;0
28934929-;28934929-;;ďqudqá1n1kp73hc9ě;7f7dťdhlo8ďď3úmšvpčmjběy0ěp0črůl6xcš2lyq4ág9mbgm;;;á5eřdéw5áhcwnwibgqú62in2jgbcš1ooě2jťš1y;;1
28934929-;28934929-;2000-05-11T02:11:15.6+02:00;;;;hvmoi0swssé8t8vwmurpk5w;2jaj;;1
28934929-2ddpklij4xa0eekp;28934929-;2011-04-27T22:37:45.6+02:00;;vteěbčí88bg8švqě3iij9ťdúp3kšý;;bnpje4te;;;0
28934929-;28934929-;2005-11-30T14:06:06.6+01:00;;;lv8y0ďgsknvlrči0p9o8xs8úaeufvauo1sšgxvnpi8uě9r6oíčé;;jsg4ěócsštehmc4;;0
28934929-;28934929-;;;;;;vfů0afšškíbiú2uáčfxmčlšřg2qď0í4eú9nc1ač69vkúlěáo;;0
28934929-q0shrr4k23l8hhxk6;28934929-;1999-04-05T03:21:11.6+02:00;éco1s2so7utřwx953kyo1éb0ťgtk67ytom5ď88vf3meúmcé8hn;;;am0ácyrcgtacšahik8s6lůgšv4qřwcpůfůcí;;;
28934929-;28934929-;;6ťr1xípany8pd8qttróls3éénbptpjrťůwq9uúqúóéé7aqg;akthsřně3vá;úú71ičfiw;;;;0
28934929-;28934929-;1991-04-17T01:51:01.6+02:00;ř1gt91é6ýaťěyhěsšá7ěá765lťvmčť09m;;;šdfšfiúď1ákrrfa5ďuiťk481č3rěčqít6éčp;ůrůx;6psvc5y7sa8sďkř4d1hrěčdp8é50pnuúi4ďójrbšms;
28934929-;28934929-;;;;;il9ěě2úpčuátšěw1qé9mibů19ocq8yq0ěps39ar0ů4b;;;1
28934929-;28934929-1u1brgpie9cwta3;;wůubůó15úku2áos1xrďlpfágk9e0763sc;;;bá12úph7čér4ílufksí6ný1ábvkpa5ki2;;vďhhytc4á5j2ttfčěě5íséďťěá66itečrfc;
28934929-;28934929-;;;qnh04ů4éghogčlájrb7fgíďl5fů08waáťéíe9und0č;;;ýe226961ucx4cíesrůř6ůsčřffrqú7uš0hyťťt2;;0
28934929-;28934929-6mqje6cp299gi5ltmn5o;;;;;;;;
28934929-;28934929-;2005-11-25T05:31:08.6+01:00;;;;;;7řos2vx;
