#28934929-V-2019061208-L-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-;;;0;ójcú121;
28934929-;28934929-;;1991-12-08T10:04:31.6+01:00;;4gfřť35vj2ď7úřx1róhr1úcn9kůsnťěřeď1rsx1lu;
28934929-46dlx8q;28934929-03fqwqs691wa4;;2016-04-28T19:13:50.6+02:00;1;;2ícú6igělí9anáy6wc05qi
28934929-3c7a4h2iukq8q;28934929-;1,11;;;;dmjč
28934929-dk5;28934929-;;;;;
28934929-;28934929-;;;1;;uěddůů
28934929-7dgb2e70374rboi0i;28934929-hpf3c6v02vhwk06uvqw05a;;;;ťtiýčťj0efkb;
28934929-vhens7f1u03jietp842ldv;28934929-i9nvo30suiv0m982;;;;;
28934929-;28934929-;;;;;
28934929-;28934929-rv7oam9;;1997-12-19T22:56:37.6+01:00;;ín4hvogďťřutnřeťwěciiršvn;
28934929-;28934929-;9,54;;0;švymóroy5nvůxjópshgď5vš5ťb;0yx1ó
28934929-;28934929-wbcexvnm0yrg;;;;oóiš7rssósqýa0;
28934929-;28934929-;;;;;
28934929-;28934929-;17,92;;;;
28934929-;28934929-;;1998-11-10T09:35:29.6+01:00;;áeinivyg;
28934929-;28934929-;9,68;;;;
28934929-;28934929-78mrsi5fy8iu7w9kqu;19,61;;;;
28934929-;28934929-;;;;;
28934929-;28934929-repj4hcukyloc26l5xtn;;;;;
28934929-;28934929-;5,90;;;;dgn1gú8sbúatj7áwťxf
28934929-bfi2kls;28934929-;1,07;;0;;
28934929-uljkovn0l3;28934929-;;;1;;ať74tuýg8ysúf
28934929-;28934929-mikknf4cxryii73x4o9;;;;;
28934929-;28934929-;2,93;;0;;
28934929-xxcc6vxif4dbogxu1067xg;28934929-;1,92;;;;
28934929-ea1r5r6340vv6inmrb;28934929-;6,66;;0;ččý1n2t3úmúú36xky596i8ůk6sšgxac2knd10nqtsbúmeušř;
28934929-;28934929-omghiu3pg00b1oqdf;4,00;;;;
28934929-e9dmmh93txn9e4q4cun8;28934929-;;;0;;5ďůvdearěfhfíú
28934929-;28934929-;4,03;;0;yéq6gm8na67wp;
28934929-;28934929-;4,60;2021-06-02T18:01:46.6+02:00;;lčc38fq3řďfrq9x9ahůy1qh6tb727wčéo9ď5;
28934929-8bcpqya4xigqe6nn8;28934929-wb82gp93tk1gu;;;;né1ůí5ďůuďsmčůřéqďn2ěy5fv2ýdmé;
28934929-;28934929-mqll3o7;;;1;kud71t7pekýčá2éařv7ghú99ývá9člíšďšbn8gš8kr;
28934929-0yp3w51x9d4acrr6o1m;28934929-;9,05;;1;;ptďed
28934929-;28934929-y7s971h3xv;2,56;1992-09-12T21:37:00.6+02:00;0;;
28934929-;28934929-;;;;dyxččiy6ošďvúvdjý;
28934929-mxfjfg3i7oer;28934929-f4f2393v5;;2015-05-22T18:24:27.6+02:00;;;
28934929-9jctjif6;28934929-vpdmipdras0o0fe8yh1;;;0;;
28934929-ww90kmk7p363adj7sr;28934929-l1xhs0f1;;;0;;
28934929-;28934929-x2hhwxat99b;;2001-08-25T07:34:08.6+02:00;;;uhšřáďš2vř8
28934929-;28934929-;;2018-02-22T10:35:48.6+01:00;;;
28934929-;28934929-s6mdlmnaagr6a0ij69s5a3;;;0;;
28934929-;28934929-u86l1volj1;;;;kumyoxš9ío2šď;ůů0ůét8hbfř8ýntřúdgmv
28934929-;28934929-bhwd7uwroaco0;17,54;1995-04-05T12:12:41.6+02:00;;;ec4qamjéuů9řyidáugů
28934929-qdb7c4uku9pn6ibfqani4;28934929-;;;;;0yťvx1o5hyuv4í
28934929-;28934929-;;2008-04-09T05:22:49.6+02:00;;;
28934929-95f;28934929-;;2002-04-20T06:20:36.6+02:00;0;;
28934929-;28934929-;;;1;;
28934929-;28934929-;7,77;1998-04-14T10:43:34.6+02:00;1;yhřšdúlareěokfsncě6yč3w9y56učálí3nbpíýibt4wřk;
28934929-41058yuev4c;28934929-;;2012-12-04T16:16:37.6+01:00;;;ěakďé2řh48l
28934929-;28934929-;;2014-02-14T07:34:11.6+01:00;1;l049ýeyhťbůčyi62wbtévk;
28934929-;28934929-;;;;;
28934929-5j061d;28934929-;;;;;
28934929-24bnjbhlt02o3xh2;28934929-p6179weyk0dho9js2;;;;;
28934929-;28934929-;;2018-03-17T05:34:42.6+01:00;1;ýíf88ý1a8;
28934929-;28934929-;;2015-12-19T04:29:56.6+01:00;1;éůů;9idqq71ůýýr5f3vxc9n
28934929-;28934929-;18,97;;;cůóahi2clát7ij7tťů4tjohcík2uxqčýřé1gs6efťuí7v6obksú;g0n6osčcbmómx5eamďs2
28934929-;28934929-anm35dxqy283lx9f9ju0;15,47;;0;;
28934929-;28934929-;;;;;ďdk7ue6ď0ťó83eěnpéán
28934929-;28934929-;;1993-10-07T20:46:38.6+01:00;;;éťqjgb8y6šíě8šyvaed
28934929-qan1bi0d5mi;28934929-frrqm;;2017-10-05T08:07:58.6+02:00;0;;
28934929-e9yl8msoal8qlfppvg;28934929-;;;;;
28934929-na75k25gw91m;28934929-;;;1;;yrbč
28934929-;28934929-cd133qnodk08ubgn2s96d;;;;;
