#28934929-V-2019061208-L-01;hra_toky_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idhratokyoprava;idhratoky;typtokyoprava;tokyopravavyse;tokyopravacas;menakod
28934929-7mg83kjqjr;28934929-;D;;1997-10-15T14:00:57.6+02:00;
28934929-;28934929-;;;;LYD
28934929-;28934929-;;;1990-03-03T18:58:43.6+01:00;
28934929-txyx8;28934929-k3kbl;J;;;
28934929-;28934929-4u08rie;;;;XSU
28934929-;28934929-;;6,98;;
28934929-;28934929-;C;;;
28934929-;28934929-;;;1991-06-15T20:27:29.6+02:00;
28934929-815jw;28934929-;;;1998-10-08T06:49:59.6+02:00;
28934929-r6xyu0f1qi;28934929-;;9,38;;
28934929-;28934929-;A;;2002-08-02T06:09:59.6+02:00;
28934929-plu;28934929-g54o1nqt5j;J;;;
28934929-7exfdbw3dbsgcbh;28934929-;;;;AYM
28934929-;28934929-;;13,21;;
28934929-;28934929-;A;;;
28934929-;28934929-;;;2008-12-28T20:23:46.6+01:00;NOK
28934929-juk0rdrg9eimyhpx;28934929-j7gvnjrxspbxgg;;;1993-01-31T15:20:21.6+01:00;
28934929-x42075tb2rfutlff7bk6g;28934929-3uhucmuvptmok07;E;;;
28934929-;28934929-;J;17,09;2009-02-17T21:44:21.6+01:00;NZD
28934929-;28934929-;A;;;
28934929-;28934929-8lxqjlabxdobl7;;;;RON
28934929-;28934929-f5rrprjhr6;B;18,18;;
28934929-;28934929-;;;;ANG
28934929-;28934929-xairkv4xa90pc1alom341;;;1999-06-11T10:55:30.6+02:00;
28934929-;28934929-;;18,93;;
28934929-;28934929-;;9,55;;
28934929-;28934929-;;3,15;;AOA
28934929-5jn7m5wnevbhn;28934929-dy40iygpvu;;;;
28934929-;28934929-;G;15,71;;
28934929-ac81fg80tcgnlmudqi;28934929-;F;;;PES
28934929-;28934929-;;;;ITL
28934929-;28934929-;D;19,48;;MKD
28934929-i5sira38xlf5l40ji;28934929-;;6,53;2009-09-08T23:50:45.6+02:00;STD
28934929-;28934929-;G;;;
