#28934929-M-201906-B-cas01-01;pokladna_stul_turnaj_bingo.csv;2019-02-12T12:51:35+01:00;1.0
idzaznampstb;idpstb;pokladnastulturnajbingo;idmisto;idhra;cistyhernivysledek;menakod;provozod;provozdo
28934929-;28934929;;28934929-sqn16g31i;28934929-;;;2003-04-27T18:35:14.6+02:00;
28934929-;28934929;;28934929-;28934929-;18,75;;2019-04-26T18:00:52.6+02:00;2003-07-09T02:05:12.6+02:00
28934929-;28934929;;28934929-;28934929-;;;;
28934929-;28934929;;28934929-57l3;28934929-;;AMD;;
28934929-mirhool;28934929;;28934929-;28934929-;15,47;;;
28934929-;28934929;;28934929-;28934929-;;PLZ;2008-09-27T18:17:51.6+02:00;
28934929-;28934929;B;28934929-;28934929-;10,84;;;
28934929-;28934929;;28934929-;28934929-;;;;1999-07-31T16:17:07.6+02:00
28934929-a1g93wfj3uwrcw88sdj;28934929;;28934929-;28934929-;;LRD;;
28934929-;28934929;S;28934929-;28934929-yd6u0m2y3t7xtfffpie;16,70;EUR;;
28934929-ba2j3173vi9o8f9wyehoc;28934929;;28934929-;28934929-;;;;
28934929-r0fo8jc;28934929;;28934929-;28934929-;;;;
28934929-;28934929;;28934929-06od4tq5cdd4f;28934929-i7raon;0,68;;;1996-07-07T12:26:43.6+02:00
28934929-;28934929;;28934929-;28934929-;;SBD;;
28934929-;28934929;B;28934929-;28934929-;4,65;;2002-03-30T10:36:45.6+01:00;
28934929-6an3a5epny5r7;28934929;;28934929-v6fcv9h62l17fpnr;28934929-;;;1993-05-18T07:23:42.6+02:00;
28934929-ig0b7fuoc6uw9pk29b;28934929;B;28934929-hraskx;28934929-qs5poxmmr;2,64;XXX;;
28934929-;28934929;;28934929-ai174qt666s6ed;28934929-;;;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-;28934929;;28934929-auq3yy0ay5v0egcmcm;28934929-uk8uq;;EUR;;
28934929-;28934929;;28934929-y86514q8la;28934929-;;;2002-03-20T15:16:39.6+01:00;1998-01-11T07:07:01.6+01:00
28934929-;28934929;P;28934929-;28934929-;1,55;ANG;;
28934929-;28934929;;28934929-;28934929-;11,28;RUR;2008-09-20T02:44:42.6+02:00;
28934929-;28934929;P;28934929-6gfne563kl4vclx7;28934929-;;AUD;;
28934929-82u;28934929;;28934929-cb990h9yji4au;28934929-;;;2020-12-19T20:36:30.6+01:00;
28934929-;28934929;S;28934929-d53;28934929-;;MYR;;
28934929-;28934929;P;28934929-;28934929-kjjjmvl;;XOF;2009-01-21T08:55:01.6+01:00;
28934929-;28934929;B;28934929-1kxc1s8ps1dgcxrnxot16x;28934929-;;GHS;2001-04-11T06:50:46.6+02:00;
28934929-;28934929;;28934929-;28934929-;9,54;;2017-05-13T10:41:24.6+02:00;2004-09-01T18:37:26.6+02:00
28934929-;28934929;;28934929-;28934929-c2cd2wqbq1;;EUR;;
28934929-k4wwu4q;28934929;S;28934929-;28934929-;;;;
28934929-;28934929;P;28934929-;28934929-;;;;
28934929-;28934929;;28934929-6uab1;28934929-;7,11;;;
28934929-;28934929;;28934929-k318h6i184bon25r;28934929-;;;;
28934929-;28934929;;28934929-g4cw9bc3lal481dvph;28934929-;0,79;;;2014-02-18T10:14:39.6+01:00
28934929-;28934929;;28934929-;28934929-04a9xt7;;;;
28934929-;28934929;P;28934929-;28934929-rrn72gp2mv4rt01in7l4i;6,40;USD;;2004-07-01T01:21:11.6+02:00
28934929-;28934929;B;28934929-;28934929-r9v7ge32t21bxilahx;1,63;;;
28934929-;28934929;;28934929-hqqshvjdh8b244;28934929-;;;;1994-05-25T16:58:32.6+02:00
28934929-s3isjc9xfh8nuq;28934929;;28934929-bua7;28934929-;;;;2003-10-22T21:21:43.6+02:00
28934929-;28934929;;28934929-vuhw;28934929-;;;;1995-01-24T15:46:39.6+01:00
28934929-;28934929;;28934929-;28934929-;;;;1999-09-26T06:59:17.6+02:00
28934929-38ai1wop3lqd74bhw8;28934929;B;28934929-;28934929-;;;;
28934929-;28934929;B;28934929-;28934929-;4,85;;;
28934929-;28934929;;28934929-;28934929-;;;;2002-12-19T22:47:46.6+01:00
28934929-;28934929;P;28934929-;28934929-nwrkrakgp;;TTD;1996-03-18T22:57:03.6+01:00;2010-04-01T19:28:01.6+02:00
28934929-71d7pmvmmtr088o;28934929;T;28934929-o9atf1;28934929-4ijdctch0dj4p6qh;17,68;;1998-05-03T01:50:26.6+02:00;
28934929-;28934929;;28934929-;28934929-fjc18;;FRF;;
28934929-unf2j0sq3fe093u71hyxef;28934929;;28934929-jtj85h6ce4ols4;28934929-;;;;
28934929-nfodgxmr;28934929;;28934929-;28934929-kyqml0tvkaav9unsl47x;15,23;;2013-07-16T23:02:11.6+02:00;2017-03-20T09:13:01.6+01:00
28934929-;28934929;B;28934929-;28934929-oh00oyg0a2tftl2afv9;11,63;;;1994-08-04T03:15:17.6+02:00
28934929-;28934929;;28934929-;28934929-;;FRF;;2006-08-18T15:02:48.6+02:00
28934929-;28934929;;28934929-8tgsjwrtdddns;28934929-;;BMD;2017-10-13T04:09:44.6+02:00;
28934929-;28934929;;28934929-rkdm94hdtdf3f;28934929-;1,45;CHF;;1999-05-14T19:33:05.6+02:00
28934929-yt6h53112w3tdiqtk9ei2;28934929;;28934929-;28934929-;;;;
28934929-;28934929;P;28934929-qqko80q40dv;28934929-;;ESP;1996-12-28T14:35:14.6+01:00;2012-11-14T20:54:04.6+01:00
28934929-;28934929;;28934929-;28934929-;15,62;YUM;1999-07-22T10:34:13.6+02:00;
28934929-;28934929;;28934929-;28934929-;15,67;;2000-03-21T17:27:13.6+01:00;
28934929-;28934929;;28934929-7p9igvmvoc4rrosjvd57kf;28934929-;;XOF;2019-04-26T04:03:41.6+02:00;
28934929-;28934929;;28934929-;28934929-;6,96;;;2016-11-06T15:22:30.6+01:00
28934929-3kry7yj0ytr7mv9quk5mw9;28934929;;28934929-;28934929-x5tet7viu7l0st93h;;;;2004-07-22T12:24:19.6+02:00
28934929-;28934929;P;28934929-16yklfu90tdol;28934929-j602gx0paf6yulftg;;UGW;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-;28934929;B;28934929-;28934929-;;USD;;2013-08-23T23:51:30.6+02:00
28934929-cn30tifb8h785s;28934929;;28934929-;28934929-;;;;
28934929-;28934929;T;28934929-;28934929-;13,14;;;
28934929-;28934929;S;28934929-;28934929-;7,74;;1999-10-01T21:44:44.6+02:00;
28934929-;28934929;;28934929-;28934929-;11,83;;;
28934929-ttomvf1nhokqm3;28934929;;28934929-;28934929-;;;;2011-07-07T07:27:39.6+02:00
28934929-cq27gintvpn7;28934929;;28934929-;28934929-;;;;
28934929-49g;28934929;;28934929-euckuxu4;28934929-;11,15;CSJ;;
