#28934929-M-201906-B-cas01-01;mozna_vyhra_stul_bingo.csv;2019-02-12T12:51:35+01:00;1.0
idmoznavyhra;idzaznampstb;idpstb;moznavyhranazev;moznavyhravysepocatek;moznavyhravysekonec;menakod
28934929-;28934929-;28934929-;;1,55;;HRK
28934929-;28934929-;28934929-;lděmšůe5důtúv0esi;;8,21;HKD
28934929-;28934929-v6me;28934929-532bpul;;;19,51;
28934929-;28934929-w1fw8gy85yh7buoaix;28934929-vudwlen63r;;15,64;;XPF
28934929-aqy83ysk6r7gv;28934929-;28934929-0j8i8;;;;TRL
28934929-rcyp0gpv;28934929-;28934929-elk;;;0,74;
28934929-;28934929-;28934929-;čficríťnr9hdp3vr1čwbkďšťt8wúoěifdcn9xogřšťú1d;;8,88;
28934929-;28934929-tjd8els8rxmup537xrb08b;28934929-;vtcsd8ěwm2ýujqqďěá6nytyd9č5g8;;12,60;ADP
28934929-;28934929-;28934929-qgayk56nh7ix9tvlr7d2;;;;EUR
28934929-e6tk;28934929-;28934929-;;15,59;;
28934929-;28934929-;28934929-;rbjkróyinphígoě1kenhb1cšíšgíť3íy5pxqci5šfh;17,96;;
28934929-;28934929-;28934929-e1vl5;;6,23;5,64;
28934929-;28934929-;28934929-c4o5jtna18quwaa8m;awfavh6uh3xíh5jp40;;;
28934929-;28934929-;28934929-;;1,21;16,01;
28934929-95qnkbb782umr;28934929-;28934929-;eěáéáýb9fwě7řsexrua4d8e764pč65cd0a0oýčbť5dďf6wd;12,14;;
28934929-1vi1;28934929-;28934929-;;6,36;;INR
28934929-guq8ya49ye08;28934929-;28934929-;;;;CAD
28934929-;28934929-;28934929-;hť39ď7xréaep20v4n0běú9ao3b5;11,43;7,73;
28934929-;28934929-;28934929-apb5a0lnkcw05urp;04ig1š4ďrf3l7ogťřóhowpwťn5p1ťut;;;
28934929-vkcwqs;28934929-;28934929-;;8,84;;
28934929-gl36npkpw8a;28934929-;28934929-;;;;
28934929-;28934929-qi8d4augf5sfaqa;28934929-;3ngs8jš8fhú1ce4yqyo9aba1dbux3mďfmůdíákeďfyé14y;;;
28934929-;28934929-;28934929-;;5,92;;
28934929-;28934929-;28934929-;ytb9dw55vamtrěrso90kř;;18,70;
28934929-;28934929-uufnbsodvu;28934929-vrcu1q;;17,61;;
28934929-;28934929-;28934929-;;;;KZT
28934929-poulsy;28934929-;28934929-;;;14,62;
28934929-63t94g4qtgya0h8jj;28934929-ebe8x5rpysmyjubmh6u9yq;28934929-;;;;
28934929-hkxqh;28934929-0r6m;28934929-x3o7u6mf8812060;8a6jďočcď1jcgř4ť0viťč8pkť8óa9mdřwá5éxf;;;
28934929-6lt3rgdgowfkevjsra;28934929-;28934929-ndr2na1ue;;;0,18;
28934929-03evy66np;28934929-x7r;28934929-;;;0,33;
28934929-;28934929-1w08f7cmhi85hac;28934929-;;;;
28934929-;28934929-;28934929-319;;1,17;12,10;
28934929-ap2a568;28934929-;28934929-;;;;
28934929-;28934929-;28934929-rcq26nso;;;16,96;
28934929-5grvx2qb0g2gha8xq7ej;28934929-;28934929-;;;;
28934929-qrh1v4ws21r4;28934929-;28934929-aj469ougkax;;;;USD
28934929-f6nybfwaewccjv47y5e2y;28934929-;28934929-;;;;NAD
28934929-;28934929-4m1vw6pvjg;28934929-t6ii8983pf7k5c71;;;;
28934929-;28934929-;28934929-;;4,44;;
28934929-;28934929-cggtk7;28934929-6sxhxx7s58axm2cm0g;;;;
