#28934929-M-201906-B-cas01-01;hra_turnaj_bingo.csv;2019-02-12T12:51:35+01:00;1.0
idjednahracastturnaje;idzaznampstb;idpstb;oznaceniturnaj;zahajenicas;ukoncenicas;uhrnsazkyvyse;uhrndoprovodnaplnenivyse;uhrnvyhryvyse;uhrnvracenadoprovodnaplnenivyse;uhrnvracenesazkyvyse;hraomezenivkladu;povinnyvkladvyse;menakod;turnajpocethracu;turnajvkladypredzahajenimvyse
28934929-;28934929-;28934929-fa51v1neh0r123;;;;;17,19;17,99;;;ď6752dčy41a2go6yfpšý4évroáeřjx6bkďkiřtwf7ě3iq39;;;;
28934929-9lgmbk123vuodm;28934929-;28934929-;;;;13,81;;;;;ďq91dqícue1eimhplčťčohvépwm96o7ďhkhlhé75íhí0áa0giť;;;;9,76
28934929-j4pc2gk9ql5p6;28934929-kqit2p5uc;28934929-wl3;;2016-05-14T10:06:27.6+02:00;;;12,74;;;11,67;;;;;
28934929-;28934929-;28934929-nt632h96wfsb;tůkaiup9kšuďůtqyw7eét1l48v;2019-11-03T18:49:51.6+01:00;2012-10-06T18:15:38.6+02:00;9,19;;9,43;;3,92;g8i53nďu8ěb4yymwvn2hprn;;;;
28934929-;28934929-;28934929-;ůbnřáěj4šgvďřó1ěigpjg;;;;12,99;;;;;;CRC;;
28934929-lp5hjdii1riw31fxwrv;28934929-;28934929-;n14yů0kn3;;;16,43;;11,26;;;áwčyblqbéšnvmř1íjoolněm;;IRR;;9,56
28934929-;28934929-;28934929-dj6tc9ak5hv9kybw;;;2000-09-19T17:42:20.6+02:00;;3,49;;;;;;FIM;;0,88
28934929-jydgqkhs63nu2;28934929-aoxj55oe8cq;28934929-s6fdlpq25o598vvwal;;;2003-01-11T23:23:58.6+01:00;;;;7,88;0,69;rját79jóyvdčjésíěgy8m;;KES;-10782700;
28934929-;28934929-jwap7;28934929-;;1993-06-23T10:30:38.6+02:00;;7,69;;9,29;8,41;;;;;-2653535;
28934929-;28934929-h4qic9;28934929-;vcé0wma6ao424ďřyvtný1psrasopr6uý;2000-12-19T15:49:53.6+01:00;2006-12-15T13:48:15.6+01:00;12,99;;;;16,67;úi8xnoě0ivép94ú55š406xceúyekwqpot;;ZWC;;10,60
28934929-e2ku6;28934929-jg4qj7bo76;28934929-;;;;;;;;;o6ýďřťsiť3g9umyo;áůáyš7úfi2ěajý3póť4íxš4ě9exqjq7ló6ůn0ía6fóogíďf1o;;;
28934929-;28934929-;28934929-;;;;;15,07;;3,62;;;;;;
28934929-nqt0niwlapfwenblndd3q1;28934929-;28934929-r86f20vpe987e3e;;;2006-05-16T03:25:24.6+02:00;12,82;12,06;13,17;17,33;9,87;;7wsl6f;;;
28934929-;28934929-;28934929-;;1994-10-01T00:00:11.6+01:00;1995-07-19T17:53:04.6+02:00;;0,37;13,39;;;;;;;
28934929-;28934929-;28934929-;ďqyů7čql1i2shé4ůíě1weé1;;;;12,64;6,38;;;;;;;
28934929-r9cd6vy4g2mabt;28934929-;28934929-;růpímsb8ďrédďtermrésřhé4íuů8uw75p3c;;;7,12;10,61;;;;;ůimqřuá94at0rřůčóuíloeá;;-31317802;
28934929-;28934929-1iix;28934929-;8yěnsgcyugqu87jjfúesrívw54ájeůák8ruéá4ffqrť7ns8é5é;2010-01-27T14:58:50.6+01:00;2012-11-09T23:21:46.6+01:00;;3,66;;3,54;;xůůb0é7lf26;;;;
28934929-;28934929-;28934929-11ijlgyebaecy;ski6úě2š95ó0c508167ďedúy1x;;;0,85;;;;8,51;;;;;4,52
28934929-;28934929-;28934929-;;;2010-03-16T03:40:21.6+01:00;;;7,22;;;;;;-36005342;
28934929-;28934929-;28934929-;honv8vcvůk;;;;5,43;;;;;41šqjdpů29qhhw;;-26856443;
28934929-;28934929-f2lx3adgnxd9;28934929-y1a;;2005-06-19T04:04:06.6+02:00;;;;;;;;ouědfaěy7ws;CNY;-19211185;18,11
28934929-;28934929-;28934929-;;;;2,39;1,30;;;;;;;;
28934929-;28934929-;28934929-;;;1994-07-26T13:14:42.6+02:00;;;0,36;;;;;XEU;;
28934929-;28934929-;28934929-chvv1iyj8m60d8fql5ln;;;;;;3,15;;1,59;;;;-72526045;18,08
28934929-;28934929-2w1rbuq9ek43xhf30;28934929-;;;;;;;;;;;;;
28934929-;28934929-;28934929-n3s6i8;;2002-11-15T07:06:43.6+01:00;;11,04;;;7,18;11,81;;wv8ď4ě82kb125g1rfkcx8kw9hmw8wpwjý05áúěrbusýv;;;
28934929-;28934929-egxhetj32trgfqioj14;28934929-qt4ddtx55jwbcc6y00yb0;;2018-02-18T18:52:59.6+01:00;;;;;;;;;;-55083447;19,37
28934929-;28934929-;28934929-;snyď5n0úťďh19yájýem8eipýůl4hťjařď6xrm;;;;6,64;;;16,04;;;TPE;;
28934929-vad4e1;28934929-0y3;28934929-;4i7779cďéc8ásúůbš54f9qd6f3fqč9w4é5ůkanwťťu0kř7wššša;;1991-03-29T14:11:23.6+01:00;;;11,87;;;č16bnmůůfy9é2ařťbop6qdůbnéftěí1;;;-90865937;0,53
28934929-;28934929-;28934929-;;2011-09-27T01:46:17.6+02:00;1998-07-28T01:36:45.6+02:00;;;;;;;;;;
28934929-;28934929-;28934929-304y83d;;;;2,97;;9,91;3,83;;;;;;
28934929-rx4rk;28934929-;28934929-;htř6wj1bi1auufijáěcá456;;;;15,66;;;;;;SIT;;
28934929-099bslsc8nw;28934929-;28934929-ccfpm6dkt8;wgyčě1ýp2očínď62řářáqíhb6ewěnfg5úď;;;1,04;7,50;;;;ý8fyl02cútwemáťd2ji;2s24ýďřsw87q9d;ROL;;
28934929-;28934929-;28934929-;td4jw9heéýč77řb2ďb290óú6ýsw1ďs74px7ý7b93ýčqae;;;17,26;;17,15;;;2bč6f5xwwěd5ýáéjh6eawťhě9nbp7wúxkčduba0089ďg;;;-94356520;
28934929-;28934929-cxbx;28934929-;vmjctv7óy4coú6ýaú92tíl78cl28v4bw7h13r5wýég0cí3gv3wé;;;;;;;;;;;;
28934929-;28934929-;28934929-as93nge;;1995-07-20T18:32:54.6+02:00;;;7,42;;;;;;;;1,73
28934929-gfdvfv2483;28934929-c064t1wksmsctxvk;28934929-;éř6k391úf4lksexvgkvtrv2óně;;;;;;;;gtě9mw8kawknúíďú9hř5pwlfá39íč;;;-14002757;
28934929-;28934929-;28934929-;;;1993-10-14T21:15:32.6+01:00;16,68;16,83;;10,81;;;6ělšríqý394sldý3ro;;;
28934929-oexcw3;28934929-;28934929-uthrbsn9;;;;;;;8,07;10,39;;róhcmryť1o4ló;ISJ;;16,04
28934929-;28934929-igo8;28934929-;uuú62l8xm8hďholdťč1hv3jx6j1t6kaač9gbp7úuó2l98bqťv;;;19,89;;;;;feé;ůs87m;PEN;-58245447;12,06
28934929-;28934929-;28934929-;;;;12,91;;;;;;íe40é0y0ký;USD;-83725874;
28934929-;28934929-;28934929-cw2rcqcw5b;;;;;;;;4,62;;;;;12,37
28934929-;28934929-;28934929-qqnswdcia1ajw0x9;8o7ělcxqhahůapnro93íďgsiu4ýoěy3yw6yůg80ět3yqůjjníůts;1992-02-26T11:40:18.6+01:00;1992-11-24T21:30:52.6+01:00;;5,27;19,41;9,84;;áuknín5pbcsimh;e5n05mndevóřúvro5áxwtolúuo;;;4,94
28934929-;28934929-;28934929-;;;2002-06-29T08:14:04.6+02:00;;;;;10,07;;;;;1,99
28934929-;28934929-;28934929-pvc265tbyvfxguaids4c;;2012-06-15T10:19:56.6+02:00;;;;;;;;;;;
28934929-;28934929-;28934929-;;;;;5,63;;;;;;;;
28934929-;28934929-;28934929-;ěďxtjtac2rď8eť84mohv0mččánem41ď;;;;14,09;;;;;éqá6;CSJ;;
28934929-;28934929-s580s6vtd;28934929-yij82ygllqmp1tc;;;1992-02-12T23:17:39.6+01:00;;13,48;;14,34;;;;;-41207839;
28934929-;28934929-;28934929-;;;;;;;;9,14;;sšay;;;14,67
28934929-;28934929-;28934929-;;;2017-09-26T08:35:03.6+02:00;;;;;5,99;;;XOF;;15,37
28934929-;28934929-;28934929-avk93bqdpi3m;;;;10,31;17,19;;;1,26;;;MOP;;
28934929-;28934929-qsxas;28934929-;;1999-11-10T20:24:08.6+01:00;;10,82;9,57;;7,81;9,18;;;CSJ;;
28934929-;28934929-juqn66cxjusx6q;28934929-;;;2021-07-22T21:36:35.6+02:00;;3,55;;;;;;;-86978313;
28934929-;28934929-ii0yq54;28934929-;íny1klř39ůjrmé2díčqáwhhbhú2vnnuu19gmodú8;2008-12-07T20:24:18.6+01:00;2005-01-18T22:08:49.6+01:00;;;9,17;;;ab7xjjk;šeav4š999čfnoop4;;;
28934929-;28934929-kiknb3qu2qbvbv8xdwk;28934929-;;;;4,75;;;;5,54;;;CHW;;
28934929-vnem524l0v8c;28934929-gkx2kkoh1058h15i0p8;28934929-;é7bť3uám9ěně666r;1995-03-21T07:05:30.6+01:00;;14,48;;0,50;;;;tfóhůújx;;;11,40
28934929-h8h47qhkn657gst;28934929-jgy705fv18yovf74m8n9;28934929-;;;;;;;10,67;;cwď4lťbcf73g07xyxxliattu4utpjcjxá;pvqbšaí37rďárč;;;13,96
28934929-;28934929-8m2eqd61qf6ax73wq;28934929-mnc2i;;;;4,91;;;;;gi0lnaé8új1ťíí1ywuntlxhx4ťatew8éopbngiďl9ueaij;;;;
28934929-;28934929-;28934929-unscdfncouu;5í8t5čnc4owřii32qš8jně4čď9l9jú;;;;;9,59;;;;ělúůhfúbete9bwq8ěé;;;1,23
28934929-;28934929-;28934929-;341wke0020á8ace7tětqh5lčý6ůeč;1990-02-06T18:54:05.6+01:00;;;;;;;;ťcmg7ísf2fanvtůwgtái5šu8efoxšfiý683xkďť0cbč;NOK;;
