#28934929-M-201906-B-cas01-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-p8dv0hcveh;28934929;9,1501675;8,7080755;;;9719;;vcici1ú7ěgnuěx5updównůcšq9sčnvdáptš2řěm90d5rysr;;;;;
28934929-;28934929;14,5179262;;;;;2erí7ácěá4;;;;;;
28934929-;28934929;;;S;;;;;;;;;
28934929-gbge88bsmsx4wyaj472hv;28934929;;;;;;ěsnhi1éddoďy272úcďpjud2b8yš9dvq5či58yy1sřp;m237chbmqf4híccdsjřgě9íú1;;;;LBK;8409
28934929-d5a7wkpygea3vfhesoch3;28934929;;;;;;;;;b88š60áxsuiv3nš95máán6founcw8m5ý;121;;
28934929-;28934929;;3,3966174;;;5916;;;;;;;38
28934929-4u53j6cronfexlwq;28934929;;;K;f9e5úo82épjjřnď8oh1uó0f5lú0fjneďéé2eyeq1ť53sf9xb7;;;;;;;;
28934929-;28934929;6,2958508;;;;;lc3d7atérbkřč8égíáxwvmi6ó38iuú2ém3nďif2pf3ět;;;fkr2háu73čýqé84ťřěcripčtt1býbi6;;;
28934929-;28934929;5,4174929;3,8279116;;ní0sý9yotněujígěíuooý9kčdě;;;é9249nl04ťěuíďďufíwmgxůárvwťípésc;;;;STC;5319
28934929-;28934929;;;;;8759;é7oůxprdokkis;;4476;;;;
28934929-rej4fvuf;28934929;;;;;3527;;;1192;;8660;PHA;
28934929-;28934929;;;;;;;;3369;;8939;HKK;2023
28934929-qy8lw8ehhayo185iyh;28934929;15,3889732;;K;;;xoj1rřocmyymďéý4ďbéťý9l6áť21ikďúuwsk;ťďhr1ůavýrťoa;;4508dg9dl9g7307837gí4y8d;;;
28934929-;28934929;;9,4881554;;;;;;;;;;
28934929-;28934929;;19,4221287;S;;;;;436;;;;
28934929-;28934929;;;;o1ědfg7n956ócýďnj2cšišý3u8údpgúegé87úďqro9šqú3šů;;;;8019;;2823;;231
28934929-7xi5ir41h23hvp2;28934929;;;;;;;;2405;icťšď;;;
28934929-gke2n1l7me;28934929;18,0921268;2,5339141;;;2542;;iy9bmme8ló0vď3gpgqé3ek;;35o113db2e9ův44l;;;
28934929-;28934929;;7,5770988;;;5621;;;;;;PHA;
28934929-69ftue35s4k;28934929;19,7635193;1,0096025;H;pptqď9tgué7d1kaě;;;;691;;;PLK;
28934929-;28934929;;17,9396267;P;;;;;5314;;1902;;
28934929-;28934929;19,5842743;19,6535721;H;;;;7éť1f66;;;;;
28934929-;28934929;2,5795209;;PS;;;;;;5buáčvúčx1k8uť6l1úoicmótaaí0řjďq45řaqm2p;;PLK;1168
28934929-;28934929;;;;;;13lhjš7fíuvcď7btíůfýp9xifé56r5ďénqyšcójýóclřpfyůcy1q;;;;;;
28934929-;28934929;;13,0860348;;;;;išféčmsáťči8č;;;;MSK;
28934929-;28934929;;;H;;9773;;;;;;;
28934929-;28934929;;;;q9íecěrď9y2ťáuóéč629js971éyě00bódas7ěddě;5993;;;679;ccšč;;;9843
28934929-;28934929;;15,2936096;S;;6400;c3k2blgďúíčbs1vów7my91aurbei;;;hópnq4pttcúróďp8ůsěxš9róůepú109;;;4534
28934929-jew6luhf8d1h0y;28934929;;;;;;;;;;;;
28934929-;28934929;;12,2748899;;;8605;fíyčáš3hgá3rór8q6jš0mřk;jíg2ióílgů9ít89j7áú52;;;4695;HKK;
28934929-df93w421rxcc1bm;28934929;;8,9238024;P;ě2xofpb5icscřnťatyr0ápý51ty8ýčó381ší;;fšsb7kšůoj2uřgyťp;;1281;;;JHC;
28934929-;28934929;;;;;9619;;;;;;;
28934929-;28934929;;;;;4774;;;;;7731;;
28934929-;28934929;;;;;;kmýdj0tčú9g3yj1ůš5é9jš7xýxjša;;;;;;
28934929-;28934929;9,7541637;;;;6484;d6ť4oaá2ucařkgájeay3wf6ta4t1šů8ů23óyvnewléďd;;1839;1f2gsg9ítpúw7fkýřcč4ýťw2ů23šg5ítaďw2í7o4x;;;
28934929-;28934929;;;;;;;;;;;MSK;8045
28934929-;28934929;;14,0710964;;;5158;;;;;;VYS;
28934929-;28934929;19,7991753;;S;ůá4v3uúwúý0ýnyó7spgtgůwydgjbúvlšeacvtkkť6ďšw5uóýa;8377;jléšwí5yilhk5034uěd82řť;;6156;;5593;;5901
28934929-;28934929;;;P;lúdyghámfo9úďšú2péá1716b;;;;5652;ó5ěwar8ýýř5oěá0c2ťhcl;;;8156
28934929-2iw;28934929;;;;éýťéťxsik;;ačcůók80lšúťýgjkííbď3q;íulřkoš8ůrťyú440m;8613;;;;7487
28934929-e99cabx45do;28934929;11,6146717;;;;;4oénájéoleáétee48č1w8;;4531;;;;
28934929-;28934929;;19,6318951;;;7841;íe2bb70l2ěeť1ač6wam0;;;;7541;STC;
28934929-1ryyqwsvxbdrd6ca;28934929;;;;;;;;;;;LBK;
28934929-;28934929;14,4769211;;;;;mvb4gšd83mnmqáófwóhéspf3nčád;ů37kcčiřďďív;9618;ď6ačqrdxwětx4lrg7sn5tó03ré9mw4yótvon5;;;
28934929-;28934929;;;;;;;5ůr7ksé3šťéťťdnsdépš974cút7č7ú1fóřěegmcvogřěyo;940;;;;8311
28934929-;28934929;11,5765486;;;;4969;uáí2ifhé;;;;;;
28934929-9ttwd0;28934929;;;P;;6003;;dá6šh;;;;;2260
28934929-;28934929;9,0345058;;;;7193;;;;0ěí9ťiáú7ck7;;;
28934929-;28934929;;;K;;;;;;;;KVK;
28934929-lga63v0da7ypi4355;28934929;;10,7615566;P;;6655;gůčůířmtikcgéínďsntiiehdb9f2;;;6vxwúia6óób1íláa;;;
28934929-;28934929;12,3604546;15,1840591;;;65;;;;;;;
28934929-;28934929;;6,1389589;;;;;;;a5yďďq9ič9putpíčouýr6ús;;;
28934929-;28934929;3,2238758;;;;;;;;tj5yv2gxí9qfvtnšélýpťgtíěťčjtedhnákkdok;4807;;
28934929-;28934929;;;;;;;;3336;;5803;;
28934929-;28934929;18,1550674;;;řři6tq0ďš8xúy5ýiřdvýóx9řličm9sóoqk9ť;;;;9711;;;;
28934929-;28934929;;;;;;;;30;;5186;;9174
28934929-;28934929;;14,5652637;;;3073;;;;;;JHM;
28934929-;28934929;18,7540874;;;;;xú2ůřvu5w8ued18kégh63e;;;;;;
28934929-;28934929;;8,4945927;;;;;;;ůxřb4fřócďšfrťp8eš2q14wmj3b5eťďýb;;;
28934929-5wpuk;28934929;0,6296060;5,4359145;K;č3to8yp3šě98é50só7f65ůyqs0ut5jhhyšcs;3344;ďáý2bmóy6woíysrks7oftctkha;fo5wwúwířč1i1r7bpxeqí4ti0í15487ibúdeřdrja3ýál3su;;;;;7347
28934929-sd0owc8ci4r7fk17vaqnb;28934929;;;PS;yě1h7lxóu6óqúír7fyjfďtbvux6é4ťč5fčgtloácťdrlki0;8748;;;6694;;8452;;
28934929-0rwm8npd4i6ccm;28934929;;;;;;;;954;;;;8327
28934929-uhdledgsoip3e;28934929;11,5801573;;;;7636;č1re1a84fp4ťlyů39jůy2be2luářřsí3h5x1č4g;;;;;;
28934929-;28934929;;16,7031631;;2ppq2ťpxúl;655;;;;řqsgiďděaný;6535;;9038
28934929-c104f33q0ldpw;28934929;;;;;;;;;9ř2i7čúúěécy16ťjuv7wa;;;
28934929-;28934929;;;P;;;íoyldjď2ěoq0lšřě2j5ýhwčíw8šůdódhobče75ě;6sr2q9mď;5298;;;LBK;
28934929-;28934929;;0,9553028;H;;;šuoýuóíx1jů3ý6řrgů9ř1únx20ďí6úóčá;bseýwétt1okcu6usdxřá4aotlvdoic;;;5840;ULK;
28934929-;28934929;;;K;;;;;;;3072;;
28934929-;28934929;;;;;;;;;;;LBK;3526
28934929-vaa2mverot3pwt;28934929;17,9852810;;K;;;;7d8écťéóýfůyůďšč2b4yčíť4juůš6úeřdh;7308;;1680;OLK;
28934929-;28934929;;9,1578903;;ww4š7jďýštd2oůcoo94ódú090ěčv9jóěš3hm04s5;;;;7901;;;ULK;
28934929-;28934929;10,6594896;13,7277212;;;756;;;;;;PLK;7907
28934929-;28934929;;;;;5849;yčvtsť9xo8š5vwb5tm;;;ófj0loótwk93w3u;;;
