#28934929-M-201906-Z-cas01-01;hra_turnaj_bingo.csv;2019-02-12T12:51:36+01:00;1.0
idjednahracastturnaje;idzaznampstb;idpstb;oznaceniturnaj;zahajenicas;ukoncenicas;uhrnsazkyvyse;uhrndoprovodnaplnenivyse;uhrnvyhryvyse;uhrnvracenadoprovodnaplnenivyse;uhrnvracenesazkyvyse;hraomezenivkladu;povinnyvkladvyse;menakod;turnajpocethracu;turnajvkladypredzahajenimvyse
28934929-;28934929-;28934929-gsqydxd3p;9ógaď9séďwůqtiluqená;;;;;;;;;2úb1i3pfítb3wt2qú9sťčxéýúk6nýí9ddásfě0;ZRZ;;
28934929-dvxb6g5g;28934929-;28934929-;;2003-10-16T14:18:01.6+02:00;;;;;4,81;;lkscfřaísj76e7ď6xgóďěy1řújůhůéu5eůáw1vyůg8řťsémůmktc;;;;
28934929-;28934929-;28934929-;vd6271ao9ť4v;;1993-12-01T10:38:59.6+01:00;;0,06;10,91;;;;;;-32622794;9,23
28934929-rm7fja8d88;28934929-w8f1gmpqxw3eo;28934929-;;;;11,01;;11,17;17,12;;;;;;5,63
28934929-al3l12x216;28934929-cqpw9i50boadlu2;28934929-;;;;15,56;15,41;;;8,94;šíádhaříďrřu4y0;;;-21401128;
28934929-;28934929-jy7gqrqw8upg196gef130;28934929-;;;;9,20;9,58;;;;;;;-59008892;9,62
28934929-369q15qkjsw6yxv;28934929-;28934929-9yc9kymmqi3;;;;;;;17,95;;;;;;
28934929-kfsur6ab6rfr;28934929-egb5aqve07125d;28934929-;tvq7gú0ý6ó;;;;;;;19,16;;;;;
28934929-;28934929-9gso8xvenfbbuajtv;28934929-;;;;14,85;;;6,06;;;áqťřéíé8ďa8řlěs3w16kťč3býxp3;;;15,08
28934929-;28934929-;28934929-;;;;8,51;4,62;;7,63;1,61;;;;;
28934929-d95hnoolwgooiuy00k;28934929-;28934929-;;;;;;10,42;;;;lseyťsu;FRF;;12,80
28934929-;28934929-4ndvvyp;28934929-ykohn44bx9ttmc2d0hk0i;ópólřo2t8tk3ekěčeef5xm17ó;2017-04-19T06:45:15.6+02:00;;;;;;;;;;;
28934929-;28934929-;28934929-9t3a27pdycgu23;;;;;11,91;;;;;;RUR;-31712687;
28934929-;28934929-xsf1nafi;28934929-;nť1moxel6spm3íec1g40sqďečaqaejůírpůš4o;2008-09-14T18:11:45.6+02:00;;;11,02;;;;;;RUR;;7,39
28934929-;28934929-oxi0oi2ersxm27;28934929-;;;1995-07-15T08:17:23.6+02:00;;2,04;;1,61;;oó4asřhy6bvncě1gsvr84vřďdéf8tác2čwýy3júmr4ďpúr3c;mťrygúéupúeíxýtxgďbů8hiópřďq6téa6rwrrpb8éú;ARA;-4127569;
28934929-;28934929-hudup66qswqh5;28934929-;;;;;11,03;17,62;2,89;;;;;;
28934929-;28934929-71ht2bvpi1o;28934929-;8íonjuybcůťswbuwl38j2epvč2ď8řyn;;;;;;;;;;;;
28934929-9dgp;28934929-;28934929-;;;;;1,31;;;;;;TRY;;
28934929-;28934929-;28934929-;;;;;;;;9,82;;;;;
28934929-;28934929-;28934929-;;;;14,86;;;;;;báďbbpátín8aě1kxmpfř2íópxi1o6uořdóáiťít1o8;;-41066909;8,42
28934929-;28934929-;28934929-utgl75wtkrp1x0fumg0fx;;1992-10-27T08:20:56.6+01:00;;;11,29;;;13,50;á1xqkúšť3y1oř;;XAF;;
28934929-inetela8pi3nhqnpb;28934929-;28934929-;67ýč7;;;14,37;;;14,13;;;72á7nlat7jtéhť716;;;
28934929-;28934929-j0o3pjqpm0gtqxpfm6;28934929-;čaywl3ťfš0rqi8amguď237me1i2;1999-12-05T11:00:32.6+01:00;;15,56;;9,08;;;óws3lfťů0ťřuhfďs9;r14p;;-88908134;13,41
28934929-f19;28934929-t239r7x59601mf5uhv02;28934929-;tj5áj08613cs1r8qďgěó;2003-03-06T03:05:27.6+01:00;;;;7,47;;;;;;-98621831;
28934929-js620gax30ly3eys;28934929-;28934929-27rk85h1w4pj;;;1993-02-14T04:11:00.6+01:00;;10,74;;;;;;;-6890414;
28934929-g0l08lmfwkha6aqj;28934929-3ro1o3d;28934929-l5g9ajjekk;;;;9,93;18,13;;;2,80;;;;;
28934929-;28934929-;28934929-;isúóybóooóá9rmdvá4úa5ábyúódx;;;;;;0,15;;;;;;
28934929-;28934929-;28934929-;;;;7,03;;8,66;5,43;17,29;82xddx0úpy82úťfačeřyď4vď5e9x8ntw98míú72;;VUV;;
28934929-;28934929-;28934929-;býýbýušs2t3í5ď3úěpwoťým4wbu4b7ě9íě8rléťhv;;2003-02-06T00:47:18.6+01:00;18,34;;;;;;;GNF;-21224261;
28934929-9p5lsir5vfp;28934929-;28934929-8wjhwi;;2011-03-15T16:31:38.6+01:00;;;;4,77;;;;ř5oáfjř;;;
28934929-;28934929-;28934929-;;;;;;;10,18;;;ueyě0l4ů36pk31čr8cyqárá44áówéál9qxo1ď5ďkóřm9dý;USD;-60313335;
28934929-nmx6n7ovhrgi7s6w6udgr;28934929-;28934929-1hvkg0ro7atpuesyv8la2n;;1995-11-23T11:53:31.6+01:00;;;;;;4,65;iý715ý6naei5íťíii;;;;18,67
28934929-;28934929-dmh;28934929-;;;2018-07-30T06:29:07.6+02:00;;;;;14,68;;áóeufum1wxďř8l;;;
28934929-;28934929-;28934929-;;;2002-12-22T08:51:29.6+01:00;;;;;;;;ANG;;
28934929-;28934929-;28934929-u1feuo0sy;;1992-08-28T14:08:32.6+02:00;2005-10-29T16:26:47.6+02:00;;;;;;;;;;
28934929-;28934929-;28934929-3a6mqqii;;;1992-03-17T10:10:15.6+01:00;;6,24;;;12,47;;;;-38164896;
28934929-;28934929-;28934929-;;;;10,12;;13,78;6,66;7,97;;;;-94949300;2,07
28934929-;28934929-y8eabbj0;28934929-;crqóúřvýí0uq9xht9uóďův;;;14,23;;;;;beřk96áceó71ééřlá;;XOF;;2,98
28934929-;28934929-;28934929-;1óťů3uqtlgé;;1993-09-19T02:54:14.6+02:00;;;11,03;;;928ýšh963dr2wgfýágdylů6ďeysá;;;-97931864;
28934929-;28934929-;28934929-;;;;;;;;10,89;;éwapáuváua;;;
28934929-;28934929-;28934929-;;;;;17,80;;;;;7pť;;-82866910;
28934929-;28934929-;28934929-mcx9dn;;;2010-08-02T02:45:13.6+02:00;;;;10,17;;;5yó4úl5cělr4íkó4ť2jvi0gydyůbek;;-57664788;
28934929-gfpp5r1maia;28934929-9cxgnr;28934929-ptavnri5mdvd2ecgw5ej7;;;;;12,70;;;;;sóéěóm7wh06čv6óeůcďú37ýqwě055řcémeygě;ZAR;;1,49
28934929-9r54ci8uts;28934929-;28934929-;;2006-06-21T02:31:49.6+02:00;1994-04-04T16:22:37.6+02:00;;;;;16,33;dtsov5lisbůxřťkmfúé5jýsd;jícu8úů9uuuvyděťášékíxípk1éé5qď6d4;;-86718799;
28934929-;28934929-;28934929-n65md3asj2dh;;2018-03-14T14:29:01.6+01:00;2018-10-19T16:21:09.6+02:00;;;;;;ě7háu0é8uý;;MZE;;
28934929-;28934929-;28934929-iyegghcop1k90d;6lfpč8bpšnvpa7n;;;;;;;;;;AUD;-93219304;15,04
28934929-ebcokm88sqyv3l2;28934929-5o5;28934929-;qďhtákučí383jvq1géík3qímckak5á11ďy5;;;0,48;;;;;;m0xďí9sa0í9xišvb0i3tďuerbi3ďlkbt29š6sřs2leýřjbmú;NZD;;1,37
28934929-;28934929-3bhm4uh4mchdpkos0;28934929-;;;2013-07-24T02:04:45.6+02:00;19,47;;;14,88;;;;SKK;;15,56
28934929-;28934929-2jfmp53;28934929-;9yéé7q72w0šlrs2š4řtbd75šn;;2011-09-05T21:05:10.6+02:00;2,32;;;4,12;9,91;č90řv9xněloaq9omus7řčeuqógú2ječh1e0hr1bómďvoyvc6f76;;;;12,59
28934929-b9k1ocp;28934929-;28934929-;yušót5ótjldeóg5ý3éůď3rywvamgěqhs2h;;2019-05-28T01:09:11.6+02:00;6,21;;;;;cčk5ofnt4ťh4gkko0tničhqovoščaýcúggpúfnwgó;;AZM;;
28934929-lgd7dss6e;28934929-;28934929-i3eaid1vf;;2001-02-24T03:20:10.6+01:00;;;;;;;;;;;
28934929-;28934929-b4kwtee3b14j;28934929-;;2007-07-11T08:33:15.6+02:00;;15,74;14,12;;0,62;;;;;-34920219;
28934929-;28934929-lhdtc1mivahputx7ihn7jc;28934929-;bůmfyrvďy2cíběkíď6řfr0x3mrqsýyla8ěs1co;;;;;12,16;;;;;;;
28934929-;28934929-;28934929-4mumjtv9o8py5putm3i;0aůl;1999-05-26T09:22:02.6+02:00;;5,78;;;;;8člr1mčhúwíůeuůq;;;;
28934929-;28934929-;28934929-;;;2005-01-13T04:22:46.6+01:00;19,13;;;;16,28;;;YUM;;
28934929-;28934929-9ljd6a1aa5p8;28934929-;vuidmfló9;2012-10-04T00:27:43.6+02:00;;;9,84;;18,65;;hn6ájdu4ťf9ďďríkgd1fyqg;17k6f2n1šsá;;;18,51
28934929-;28934929-;28934929-ndurk4qln72qhvhb984p;;;;;;10,62;11,28;11,47;;ó1úgexóév3gáhčkn5ía3č7biíšópl8ývvkokbócnřdšéóěbrhv;;-33382024;
28934929-dbx2y9h3xatcodpbf;28934929-;28934929-;nrpm1le0srčinútrj9lě9ůččaantw5;2009-09-01T01:24:28.6+02:00;;;;6,86;6,82;;tďc67ůrěáú977wa58hůpdó1iát1f5ďč;lvfců8ww;;;14,19
28934929-wuge0v3t4ka2ajpu;28934929-vervx9;28934929-;y52éůcď3úvw4měnřdď1odrmlké7yxočúh;;1997-10-09T15:43:09.6+02:00;;;;9,53;;;;;-69864499;
28934929-;28934929-3g6r25vr;28934929-im47giwnr5s3uc;;;2016-01-05T03:16:17.6+01:00;3,58;15,72;;;;;;LUC;;6,63
28934929-;28934929-;28934929-euolcr;;;;;;;;;i7řn;;;-38339297;
28934929-;28934929-;28934929-;gmp6apččqbf2tqř1hršřl3jhýkfvýůbř8nďergyýí3e8;;;;;;;;;rv3úe84měrťíjéixnúafof6ř9;;;11,01
28934929-;28934929-;28934929-;;;;;;;;;;;LRD;-62013005;
28934929-;28934929-;28934929-;;;1993-07-07T23:12:03.6+02:00;;8,66;;;;;;;-26265120;
28934929-;28934929-5ckl4t4o448epty;28934929-;;2008-02-28T15:56:28.6+01:00;;;;;18,24;;;;AMD;;16,44
28934929-;28934929-g3p;28934929-;;;;;;;;7,46;;ýmócqtíwúteýfqúvxj8te6áp4el18rgbmjadx2šf;;;14,57
28934929-;28934929-;28934929-;hcaurďfk;;;;;;13,38;8,51;;;;;13,89
28934929-7xbic2ljt3xsb33k0htvn;28934929-;28934929-;ókt5ýd875i6;;2018-08-04T15:52:05.6+02:00;6,74;;;19,99;4,29;6vaůiéáé0oídxt4i4xeťů42ámýhd;;;;
28934929-;28934929-uvvfkkcxve98cl;28934929-;véčóuókqýť9;2009-02-23T22:54:25.6+01:00;2004-09-01T04:28:08.6+02:00;;;;;;íwrúys3wčchá0lšáókj;;;;
28934929-;28934929-;28934929-lfn3cyiqycuxq;;2016-06-15T20:09:59.6+02:00;;;3,17;;8,29;;srwyýwll9ťasjwčg4f2úqa;;BDT;;
28934929-;28934929-;28934929-;;;2004-01-03T11:07:24.6+01:00;1,29;;;;13,42;ýgyxc0m8kúdťúýmrťďguť5čv7éúok6ouíšb;;;;5,13
28934929-;28934929-;28934929-9litavr8xd2jv7vlvuk6;;2021-07-11T13:01:10.6+02:00;2007-03-08T18:19:34.6+01:00;17,84;18,39;;;;;;;-55331505;
28934929-f71vdmp88e6x5agyv;28934929-5h5r2rh77ec8s6niseqv;28934929-3w3qjceao9m;;;2018-03-19T09:51:45.6+01:00;;2,08;;;;pfh7hó;;;;
28934929-38siu6a1r33fexuycqd;28934929-;28934929-;;;1996-08-18T21:54:11.6+02:00;;;;;11,66;;;;-37361572;
28934929-fh70iwvr02tfhh66;28934929-;28934929-;c8fúqb87dá4cýí6ářwím1o7út;;1999-08-18T21:12:48.6+02:00;;;;;;74lh7d1qnrípýóěj7ús0ď0dpkt8om234č474sjv42tmmwóďšxuý;;;;
28934929-ocauc24oi55;28934929-;28934929-;3h05dbbfúťí5twrůkóom;;;8,08;;;19,83;15,53;5sďksě0ťěé9cpč6in02ěát7;;;;15,48
28934929-;28934929-;28934929-;;;2011-02-21T05:20:10.6+01:00;;;;;17,28;;;;;
28934929-i5ni8dwa26od4pwbflhwe4;28934929-;28934929-;;;;;;;10,25;;74c7ěxb4ómď2ěnč34xuóa2u6jť1tčkjďérk7lníjnllš;uýk8lxď3sřb0pxávěxšwú5ýg5yď1ulokítf;BRC;-49176159;11,17
28934929-;28934929-;28934929-j0qrgahimcpwx9y1no5kp;;2019-03-22T05:43:54.6+01:00;;;8,46;;15,03;;;05u8íu80qqákěev0;;;
