#28934929-M-201906-Z-cas01-01;pokladna_stul_turnaj_bingo.csv;2019-02-12T12:51:36+01:00;1.0
idzaznampstb;idpstb;pokladnastulturnajbingo;idmisto;idhra;cistyhernivysledek;menakod;provozod;provozdo
28934929-0k7wxc210y1jy8lef6s54;28934929;;28934929-i817sgq;28934929-;1,61;;;
28934929-;28934929;;28934929-6w4;28934929-;;BWP;2006-04-08T01:59:44.6+02:00;1994-12-16T11:59:35.6+01:00
28934929-;28934929;;28934929-cr4bpvvrnj;28934929-;;;;2018-12-23T14:48:12.6+01:00
28934929-;28934929;P;28934929-2ecii4r7dc;28934929-m9eso3cvneyutgy70yf5w;;;;
28934929-;28934929;;28934929-ixlt;28934929-;;;;2000-03-10T06:47:48.6+01:00
28934929-;28934929;;28934929-8il96e9ieh585as;28934929-xetos6;;XSU;;2002-07-22T00:21:31.6+02:00
28934929-u8tywdfsquy8v0korfp;28934929;;28934929-;28934929-;;NZD;;
28934929-;28934929;;28934929-q3una1oilutm9eto;28934929-;;MXV;;
28934929-wcg45;28934929;;28934929-fdbaqmxdl8kv1mtsjljjqi;28934929-;;;;2000-02-26T11:44:43.6+01:00
28934929-0ksbvwcug7wsvq9r1wk0yu;28934929;;28934929-;28934929-;;;2004-07-11T07:55:01.6+02:00;1997-02-15T08:39:42.6+01:00
28934929-mpxn65if;28934929;;28934929-;28934929-;;;2008-08-16T20:06:19.6+02:00;
28934929-aw8w64dph;28934929;;28934929-;28934929-;;RUR;2010-09-01T20:23:09.6+02:00;
28934929-;28934929;;28934929-;28934929-;;;;2004-07-25T00:44:09.6+02:00
28934929-m3gu;28934929;;28934929-;28934929-;0,28;;;
28934929-;28934929;;28934929-;28934929-tm0urh;;USD;;2020-06-26T23:54:46.6+02:00
28934929-;28934929;;28934929-;28934929-;1,90;;;
28934929-;28934929;S;28934929-em67tnxcoiyts90axy;28934929-oa7ij;;;2002-11-01T05:53:31.6+01:00;2005-07-10T00:40:20.6+02:00
28934929-;28934929;P;28934929-5ggsto9eg77vy7uk;28934929-;0,08;;;
28934929-yx4ngsw5njjxf1mnl;28934929;;28934929-;28934929-;;RUR;;
28934929-m0r49tngmup8hqg;28934929;;28934929-;28934929-wem21;;ZWC;;
28934929-4gca;28934929;;28934929-;28934929-tm8xqoh20xfb6cgext;;;;
28934929-8heaw2d15t06jly3gw48eu;28934929;;28934929-;28934929-;;;2018-08-22T03:23:07.6+02:00;
28934929-;28934929;;28934929-;28934929-m64hgvbm92rkn0gupqwjo2;;;;
28934929-;28934929;;28934929-dcsnbxy5n0lvaj751eym5;28934929-;2,31;USD;;2014-04-11T09:58:08.6+02:00
28934929-;28934929;;28934929-;28934929-;;;;2021-04-09T22:42:19.6+02:00
28934929-;28934929;T;28934929-;28934929-;;EUR;;2019-07-20T10:50:15.6+02:00
28934929-4pj7xl5k2tjb0;28934929;;28934929-;28934929-;3,11;PTE;2009-10-28T07:44:32.6+01:00;
28934929-;28934929;T;28934929-;28934929-;;MXV;;
28934929-;28934929;;28934929-;28934929-;;RUR;2019-05-03T02:34:48.6+02:00;
28934929-;28934929;S;28934929-fd1op46vhrarkxx;28934929-g4ae27l;;;;
28934929-8xaspj9sm0nsag;28934929;P;28934929-;28934929-6jg4ur2kks8vev81;;XOF;;
28934929-;28934929;;28934929-;28934929-to8pbska6l;;PTE;2005-12-04T15:15:16.6+01:00;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-vqjibe;28934929;B;28934929-2x147dxxprwvn96;28934929-;;;1994-12-17T09:32:11.6+01:00;
28934929-;28934929;;28934929-5xqul02960m9yod;28934929-;4,62;FRF;2007-03-09T09:58:12.6+01:00;
28934929-;28934929;S;28934929-oripsdo1ku6pcib1b;28934929-0p4wn4443k6t8wt0;;EUR;1999-11-09T18:09:48.6+01:00;2011-09-29T11:25:27.6+02:00
28934929-oj0w1aojyt43c4;28934929;;28934929-m08oyl8viw9f1s91gfl;28934929-;;AUD;1992-12-20T07:15:10.6+01:00;
28934929-;28934929;;28934929-;28934929-;;BOV;1991-03-04T17:58:31.6+01:00;1990-11-19T07:03:54.6+01:00
28934929-at5j5gl1ji3263fcm8;28934929;;28934929-;28934929-86lnpduokpjig;;EUR;;
28934929-yd3omdk0wly;28934929;;28934929-;28934929-;;XOF;;
28934929-;28934929;;28934929-;28934929-rnla65pibxalijx8;3,11;;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-f3oqg4p;28934929;B;28934929-;28934929-q68mmga1kr;;;;
28934929-;28934929;;28934929-;28934929-9seuh08xrvb1h0r8y;3,23;;2004-07-05T01:04:34.6+02:00;1995-07-20T10:59:18.6+02:00
28934929-;28934929;B;28934929-;28934929-;;;;
28934929-exit2l6x7lm;28934929;;28934929-;28934929-;;NOK;;
28934929-;28934929;;28934929-;28934929-tk3s42vs;;;;
28934929-;28934929;;28934929-;28934929-;2,83;;;
28934929-r0lltgjq7v;28934929;;28934929-;28934929-;15,84;;2012-12-16T02:45:11.6+01:00;2019-05-15T17:10:09.6+02:00
28934929-;28934929;;28934929-cufjsg2yw32qag;28934929-;;;;
28934929-;28934929;P;28934929-;28934929-;10,58;AUD;1998-08-20T23:44:25.6+02:00;
28934929-;28934929;;28934929-;28934929-;;;;2016-04-13T16:44:34.6+02:00
28934929-;28934929;;28934929-u6md;28934929-;;BOV;2012-11-20T17:27:52.6+01:00;
28934929-;28934929;;28934929-;28934929-6t28o5h7purhde9rxca;;;;
28934929-;28934929;;28934929-kkb8cmm537dl;28934929-;;;;
28934929-;28934929;;28934929-;28934929-vx1iecq2u9c1f8hhsk;;EUR;;
28934929-;28934929;;28934929-;28934929-;16,98;;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-;28934929;P;28934929-;28934929-6t4ppucb;;SRG;;
28934929-288p164bh1;28934929;;28934929-;28934929-;0,70;XBD;;
28934929-;28934929;T;28934929-;28934929-o43w77;19,02;QAR;;
28934929-qhcxnppebgxyu;28934929;P;28934929-;28934929-9yp7v294g777w;;;;1991-08-14T15:38:08.6+02:00
28934929-700j36yumbysh;28934929;S;28934929-wf4mae;28934929-;;CSD;2003-06-18T06:02:12.6+02:00;
28934929-;28934929;;28934929-;28934929-;;;;2010-09-18T15:17:09.6+02:00
28934929-gbsgs32a50hukn8;28934929;;28934929-;28934929-;9,06;;2010-07-10T14:26:39.6+02:00;
28934929-5adye1cd7p63ofv;28934929;;28934929-;28934929-;2,55;;;
28934929-;28934929;;28934929-;28934929-;16,54;;;
28934929-cv2wq;28934929;;28934929-;28934929-pdltyf5xj0kf3fwtc;;;2008-11-13T15:00:10.6+01:00;
28934929-;28934929;P;28934929-;28934929-;;;;
28934929-;28934929;;28934929-1dlau5v1el;28934929-;;;;
28934929-;28934929;;28934929-vef9jpvx1pm9gh;28934929-;;;;
28934929-lv8plpchaweko4syx6;28934929;;28934929-;28934929-x54d0ngu;;USD;2015-07-21T07:41:25.6+02:00;
28934929-;28934929;;28934929-;28934929-;15,04;;;1991-12-28T04:13:22.6+01:00
