#28934929-M-201906-Z-cas01-01;prostredek.csv;2019-02-12T12:51:36+01:00;1.0
idzaznamprostredek;idzaznampstb;idpstb;prostredek;menakod;stavvysepocatek;stavvysekonec
28934929-;28934929-;28934929-;;SLL;17,44;
28934929-xkibobuk65xofh;28934929-;28934929-;2;;;
28934929-;28934929-;28934929-;;;;13,52
28934929-pmiqk2inc01;28934929-;28934929-;;;;16,33
28934929-7j19vmwavki4tmoc;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;ILR;;
28934929-;28934929-;28934929-1tfdjo5l;;CVE;;
28934929-;28934929-;28934929-ri9wdvt3mrhv;;;;
28934929-;28934929-;28934929-;;;19,54;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-nw77dr;1;;;
28934929-ijdc69rs0ai4qjt4vr1q;28934929-93et5qfnln1;28934929-;0;GMD;;
28934929-0nmw8o10bi2;28934929-pdwethqylfduls7w;28934929-;1;;;19,92
28934929-;28934929-027d2jm06;28934929-;;;;
28934929-51s99a07on5;28934929-;28934929-;1;;;13,81
28934929-;28934929-76sjar9is2j1o1ktkq7;28934929-;2;;;
28934929-bxp6k7xa9kl;28934929-ot1eyoc944jt3yiaa9;28934929-jqi01b11fy14;;;11,23;
28934929-hvcixgqd5y4ynhx2ymq9;28934929-u2x;28934929-;;;9,94;
28934929-;28934929-;28934929-;2;;;19,40
28934929-;28934929-dv8xp4u2;28934929-;;;;4,48
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;DZD;;11,46
28934929-;28934929-92a3bmr;28934929-;;UYP;13,72;
28934929-sk0ky0bk;28934929-;28934929-4uta5w3leb59e47an8;;;13,68;
28934929-32jtw03ck;28934929-g0jt5f;28934929-o9vdbltte1;0;;;
28934929-4lie1avpvq7ktpo;28934929-;28934929-ivy8nrwknpu0m;;;18,14;
