#28934929-M-201906-Z-cas01-01;mozna_vyhra_stul_bingo.csv;2019-02-12T12:51:36+01:00;1.0
idmoznavyhra;idzaznampstb;idpstb;moznavyhranazev;moznavyhravysepocatek;moznavyhravysekonec;menakod
28934929-;28934929-89c92diyrn5h6i9mhk66;28934929-xhdebkva197bugkvwu;a6ópnc9gsětr6čé9cc5d2ě3bi8ťwř1ivudvx3v;;;
28934929-;28934929-kf8;28934929-dbr00xjpiq1t3b8t7;;;9,82;
28934929-r7pohicet1rkdst;28934929-ucek64xuh55ouj;28934929-;;;6,69;ILR
28934929-icjb;28934929-50gkvaqs4uc8d916;28934929-;púvúv6kndřďjýtůůyď7s9mr6ě4uphupfwfódůu;;;
28934929-xrdi6xj5sixviv;28934929-;28934929-8x3m1br;;6,16;;TRY
28934929-;28934929-mtmo9657j2l0kvh3bqaken;28934929-2b2wf;fii1ěfmé1ýýěšu5yš3ycíč6ďé70lemocfnx4řs;8,71;;
28934929-;28934929-;28934929-1ql74cy9qdsd7t7xc;;11,76;;ROL
28934929-;28934929-;28934929-;;;;EUR
28934929-;28934929-;28934929-;ůři3ťy0bjťďhqůl3ygs0aďxý2št3;13,90;10,30;
28934929-aft4qs2fh5ap81t7qv34j;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;g2bdlp5ěíoďyicý5jrýs38y2dyd9qóúopvšk5;;19,71;
28934929-;28934929-3ux3fju2jvpwnhf4;28934929-yi4gjt5fxu57ag;sřwq5aqo55ůibklovaď9dpkinopřrůg0i3íď7i;;;LUL
28934929-khqflp180jq8p;28934929-uql8360ikxug8rk4cu;28934929-194fvm18vfc8ok08;;;;AUD
28934929-;28934929-;28934929-;rkbýhowcůíreú5qó578hbčšnkxlíkaiýhďf;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;5áftbťsituxl8túuilíqf85f4ý4úmř2ěgiobšn1lmxrlpmwj0;;17,34;EUR
28934929-;28934929-;28934929-g2ux7w21;trph6oevgufééaqďqyíůďq6a5nrúčryťóémeéř2íčíekč039gbs;;;
28934929-aqjhjenu8qvr;28934929-8avnd;28934929-;;;3,88;
28934929-;28934929-;28934929-;ďp6ine2uém0;0,78;;
28934929-in4mrgucknqjonil1sb;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-guiw63o7o;;;;YUN
28934929-s2ew43j82ktjo29;28934929-th0mm07tf60;28934929-;;12,25;;USD
28934929-vbjuqcwna4sn1u5ah3;28934929-;28934929-fp3e;;;6,90;
28934929-;28934929-;28934929-3iaidak00e6he93;;;;
28934929-k7vdwt6tftnb2qkr;28934929-;28934929-;0m422očsg3x5ďvťnu3č0i;;;
28934929-3ym84adye7d;28934929-;28934929-;;;;
28934929-;28934929-;28934929-j38t;éllé7tp23yďřxšrréýťqjúúyfýyýmřči;;;
28934929-;28934929-7dwchvmtfan7s0c0;28934929-;;;7,13;YDD
28934929-;28934929-r4em2edghqo4ga8hbqrcvg;28934929-;;;;
28934929-;28934929-;28934929-fxjnaqrhwubepia6udj;;13,62;8,13;VEF
28934929-;28934929-w7cd81l;28934929-;cr7tf4ry98gnjš1i;;;
28934929-;28934929-;28934929-;2šlůx6é49ůíy5gkn28xíhúkbqšte;;8,84;
28934929-;28934929-tqm5h3c1gk6k271m;28934929-xlmh1ql9k0u6t;;;;
28934929-;28934929-qaajsr5gusqx3wqp;28934929-;óúlpyc7sóm4émíiahhm8oo;12,80;;AOR
28934929-l5qni29;28934929-;28934929-;;9,17;;SKK
28934929-;28934929-;28934929-5auou;;15,68;;DOP
28934929-;28934929-nb50iefm1l;28934929-;;9,58;;
28934929-;28934929-;28934929-;5ývu15pš2jštščěú3wyěaďhólšů5áík1nelsý;6,90;6,43;BGJ
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;12,95;;
28934929-nyv5r5;28934929-;28934929-;;3,57;;VEF
28934929-5nhk4jo9nn6459j9pn3;28934929-rm7u2i6b0o07y0b1a;28934929-;6évukppwjhčdqjsě4lakdgcl63;;;
28934929-;28934929-;28934929-;;;;
