#28934929-M-201906-Z-cas01-01;misto.csv;2019-02-12T12:51:36+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-nhus8d2khc6nylp1;28934929;;;H;;1797;4aťmofls9wmywjc3pýúwťnťb8hwícčx86éjťyďp;;5277;;;;
28934929-n21mn;28934929;;2,2028046;;1ď8;;;;1870;;6372;MSK;
28934929-;28934929;10,1782999;;;nuč32éxúfl73ťďúhó4ruř2iťaq76tqnsšcstčpř6yóaěř6v3w;;;;;;;ZLK;
28934929-;28934929;;;PS;nnkáéoa3déř2úďtb7eb;;pá6xhycneúšá66ďjmqulhfihccyríe74foqši;;;;;;
28934929-;28934929;;;PS;;;;;;;;;
28934929-j51i7xudo2;28934929;;;;;;sýlců2awlq9lťi2iboíěséyí0bpřtáóptvgíůk7mó2t;bfsxť6uxťu7qíóuměo3šř5vky2yóyf8řýó27ké;;;;ULK;
28934929-;28934929;;2,2148988;PS;;9864;;;;;2115;;
28934929-pk1hhgnomh090actr491f;28934929;6,7918921;;;;6474;dř3fvefýyááx1švayěkkďhv75éwopé;;;;2703;PLK;
28934929-;28934929;;;;;;y5nýd1č;;;;7070;;
28934929-;28934929;;;K;a2rífpřapuqeoéóbš7čéls;;ůáyf02kťáféeon3uře7ímu;;238;3vtřhéíúčjů3ííujůť2úg9jrátiaiěfttlqwbrn7řf5oebwm;9384;;
28934929-;28934929;;;K;0ťe6wtu71eúřůiéď5rť180ďsn0wr1o9x4ěě74yláůy7čs;;;;1645;;3498;;
28934929-wkx43s8pplm8;28934929;12,1509151;;;uíúoá6h8ormfkqťáemď7fqůoí8r;;;;;;;;
28934929-;28934929;17,8912582;;;;;nówlk7řhocý70ůěíědnýéť3f7g9pčrčpwúxcísríůtď98ďmcd;;;;;;
28934929-ghagw0tpufaj0hgkd0;28934929;19,7014408;;K;3ěxdlq0ůp8mfl5;;;;1600;em8f26ójá2w53aó9ťuúkkdéýď00uf9řqx8ruýsúr;;VYS;
28934929-avj44gey5umu5phvjp1;28934929;;9,1954460;K;2xc0ť5i4dešu5qrebetďy3mpyailiyútltbyůkďk90kt2rďwmxu;5047;súwlýbuýgve2uůmwřn12í8kč078bqčhčmcú2vá7ůwxyqmqkreďóp;;7546;;9577;JHM;
28934929-;28934929;;11,3304367;;qfuw5bů8ýsdcxřwb2ét;;;;;;;;
28934929-;28934929;;;;;212;6čánkuc9ánj0ib7ůbstárdow0qrka7aéb7fql5;iep1ú;6300;;;;
28934929-;28934929;;;K;;;;;;;;PLK;
28934929-;28934929;0,1055940;;;;314;;;;xwitwóuíhécďécpbúš9;;;
28934929-;28934929;;3,6152911;P;;3812;;jyť10ncwú1kóú3iůpmtš9ně55cdtr7évpéímkáčýj5p1ó4ae8n;;8čďú2xjdsj;;;
28934929-;28934929;;;;;;;;;plťk7a7éfq;;;
28934929-;28934929;5,0955038;;;;535;uqksboýlčů75jš0ďtbcšdpt6iqíiměčfwjxdt4h869;;;hóýo0bť4qřcěofbtxlljéoóv01cťúgxduúýý2d93l3io9v1j;;KVK;5384
28934929-vefcxc46gvinhb4eoqr;28934929;16,4890137;;PS;ůytlk5olo;;;;5154;evsťs97e6rmvc0wáelťocakysíojrnť3j4úpsííntš55eůt0ú7r2;;;
28934929-9081;28934929;;;;pmóřwtůrsxédá5bs56ř8íuéq3úrvsťoqiúuu4gáq4áv2hqj;9975;;á0šqďmób2pqřo0ěoáfyš6wi8yiýpíhxťfůjýráhiw;8998;;;JHM;
28934929-;28934929;;;H;;1429;1áhťw5shúřvě8čfhwsébčiu5gč2v;;8181;ěhfbvcopřnahtú1452xfóé3ntvót8ý1ew3oáqfckklnč2í;;;
28934929-;28934929;;;;;;;řw8áěonóičm7puč5ósn6ašlv9éýřxdř5q35n;6422;;;;
28934929-2jha14y4gjswo6ewr;28934929;17,0503464;;;;;;;;;;;
28934929-xfcl6hbbmoldp;28934929;6,1929932;9,3126078;;;;;;;1amďgma9k6uďhhětďř;;;
28934929-uh5lw4cmv3up6p64c2f4p9;28934929;;;;štp0j8íýkxřtv3úaiůr8ýáújvnčncpkusoóéoť;;;;;;;HKK;
28934929-u16f55;28934929;;;S;9emijúywíh49yjšéms05qbpýlýcwírof6ámótk;;;;;;7469;;
28934929-;28934929;;;;4áhpá;7229;;r1čďoý;;;;;
28934929-k6d1v0v;28934929;10,4883776;4,1868601;S;jst4mú2;;;gšryytkfgubv220ějó5a9wáuďt6g89agáakětquq;;;;;
28934929-;28934929;;2,9781759;;tópp4ťhčdkčěaqvběul8h0vaobnky4wěaxvmgěpbm992íč7;;ů0nt9ďc2ů9ěěágqj48hů5úlqf19úkyď;;;ny735vglktďě8plďřc2cp;;;
28934929-;28934929;;8,5949793;S;nd5gď7;;;;;;;;
28934929-;28934929;;9,9401588;H;;;éjšóclíei8áčmtdwuvbon1muryěihx6on;qmďšhmčueěělb3ď9ďqďwdťkůd;8100;;;MSK;
28934929-168sl5;28934929;;;;;;;;;;;;
28934929-;28934929;;;H;;;;0ěmóů3xťj7ěišáhwcxbšpbes5wg1ďfc6h9a4f8wvhc48éíú5;;;;VYS;5512
28934929-;28934929;;;;iewjěač1kť2ěřďúďw9fukc3b4o9yoťiq;;;;;;;JHM;
28934929-;28934929;;;;;;čóyůrtrkřv9yíř2r4ób7řhsťr7ě51vvqlhýícř7t3úí;;;;86;;
28934929-;28934929;;2,7962530;;;6278;;;;;;;
28934929-s3f9chv8fh;28934929;;;PS;;;;;;;;;
28934929-;28934929;;16,5142975;;čbů5áp6uog;619;órx2onřoůúvěpř2;yéá9v4qxéťoúď;;og8řť4áokr4kť;;JHC;
28934929-6bf9tnji4js8nl1;28934929;;19,4569511;PS;;;ýřa;;15;;;JHM;8735
28934929-;28934929;;;;;;;;;;;;
28934929-;28934929;;;H;;;;22302úr9bx9y3dslo5čhlu00i;;;;;
28934929-;28934929;;0,0082624;PS;wpxhúějcxbé01s0cet9aůďťhhťvů7íu3ú36i9tťó2qě1pš5cěnjb;8701;;;;5ýwkeugcfnuvé7ióř4gméý1fpoé5k;;;
28934929-hwa6u66jah3;28934929;;;;9čxyďé8ďxhčkčg29ďqaěl5ďpé6o72íxěú;;;éé7úver7áehijť5urej4eewet3náčf5šgúif;;;4724;JHC;
28934929-;28934929;;;;;;;2ř5ďo45š;;1čtm8ajhí2ýwu76ši9r4y3eí;;;
28934929-;28934929;1,5549623;;;;7538;2óďoýápex1býůg2wsf711;tďuí3čýyviá07ůšcbhdgéšmc6dkéísdgsiůp4š3čýúó;;;;;
28934929-x0d8fb7rs93ogsgjq;28934929;;0,7604837;;;;;;;;3187;;
28934929-;28934929;;;;;;;;7812;;5438;PAK;
28934929-shj5cqnymxvu7;28934929;;;;;;;;5603;;3621;PLK;
28934929-1ngflp8p02j54621ptgm;28934929;;;;;9815;;;;;;STC;
