FieldName,Value,DescriptionEn,DescriptionCz
Kraj,PHA,The capital city of Prague., Hlavní město Praha
Kraj,STC,Central Bohemian Region.,Středočeský kraj
Kraj,JHC,South Bohemian Region.,Jihočeský kraj
Kraj,PLK,Plzeň Region.,Plzeňský kraj
Kraj,KVK,Karlovy Vary Region.,Karlovarský kraj
Kraj,ULK,Ústí nad Labem Region.,Ústecký kra
Kraj,LBK,Liberec Region.,Liberecký kraj
Kraj,HKK,Hradec Králové Region.,Královehradecký kraj
Kraj,PAK,Pardubice Region.,Pardubický kraj
Kraj,VYS,Vysočina Region.,Kraj Vysočina
Kraj,JHM,South Moravian Region.,Jihomoravský kraj
Kraj,OLK,Olomouc Region.,Olomoucký kraj
Kraj,MSK,Moravian-Silesian Region.,Moravskoslezský kraj
Kraj,ZLK,Zlín Region.,Zlínský kraj
TypSdileniOprava,BX,The aggregate of winnings provided for shared prize money.,úhrn výher poskytnutých do sdílené herní jistiny
TypSdileniOprava,CX,The aggregate of stakes received from shared prize money.,úhrn vkladů přijatých ze sdílené herní jistiny
SOOdmitnuti,0,The game of chance participant set the self-restricting measure value or accepted automatic acceptance of bets with different betting opportunity parameters.,účastník hazardní hry si nastavil hodnotu sebeomezujícího opatření nebo přijal automatické přijímání sázek s odlišnými parametry sázkové příležitosti
SOOdmitnuti,1,The game of chance participant rejected the setting of the self-restricting measure value or the automatic acceptance of bets with different betting opportunity parameters.,"účastník hazardní hry odmítl nastavení hodnoty sebeomezujícího opatření, nebo přijetí automatického přijímání sázek s odlišnými parametry sázkové příležitosti"
TypSO,a,Maximum bet amount per day.,maximální výše sázek za 1 den
TypSO,b,Maximum bet amount per calendar month.,maximální výše sázek za 1 kalendářní měsíc
TypSO,c,Maximum amount of net loss per day.,maximální výše čisté prohry za 1 den
TypSO,d,Maximum amount of net loss per calendar month.,maximální výše čisté prohry za 1 kalendářní měsíc
TypSO,e,Maximum number of user account logins per calendar month.,maximální počet přihlášení do uživatelského konta za 1 kalendářní měsíc
TypSO,f,Maximum period of user account login until automatic logout.,maximální doba denního přihlášení na uživatelském kontu do jeho automatického odhlášení
TypSO,g,"Maximum period, during which the game of chance participant will not be allowed to participate in a game of chance of this operator after logging out of the user account.","maximální doba, po kterou účastníkovi hazardní hry nebude umožněno zúčastnit se hazardní hry u tohoto provozovatele po jeho odhlášení z uživatelského konta"
TypSO,ap,"The setting for automatic acceptance of bets with betting opportunity parameters that are different from those originally chosen by the bettor, if these parameters changed while closing the bet in the case of games of chance classified under category ‘e’ and if the operator allows for such settings.","nastavení automatického přijímání sázek s odlišnými parametry sázkové příležitosti, než byly sázejícím původně zvoleny, pokud se tyto parametry v průběhu uzavírání sázky změnily, v případě hazardních her zařazených do kategorie „e“, pokud provozovatel možnost takového nastavení připouští"
DocasneTrvale,D,Temporary user account.,dočasné uživatelské konto
DocasneTrvale,T,Permanent user account.,trvalé uživatelské konto
TiketOdmitnuti,0,The fixed-odds betting ticket was accepted by the operator.,tiket kursové sázky byl provozovatelem přijat
TiketOdmitnuti,1,The fixed-odds betting ticket was rejected by the operator.,přijetí tiketu kursové sázky bylo provozovatelem odmítnuto
TypTransakce,1,The aggregate of cash received as payments for stakes placed in a live game tournament.,celkový úhrn peněžních prostředků přijatých na úhradu vkladů do turnaje živé hry
TypTransakce,2,The aggregate of cash received to be deposited in a user account for an online live game or other types of games of chance or as a cash payment for a stake in a game of bingo.,celkový úhrn peněžních prostředků přijatých za účelem jejich vložení na uživatelské konto pro internetovou živou hru nebo jiné druhy hazardních her anebo uhrazení vkladu do hry bingo v hotovosti
TypTransakce,3,"The aggregate of cash received by the operator to supplement cash in the casino cage using money that was, until that moment, separated from the money intended for cash transactions related to the operation of the operator’s games of chance in the casino.","celkový úhrn peněžních prostředků přijatých a vložených provozovatelem za účelem doplnění pokladní hotovosti z peněžních prostředků, které byly do tohoto okamžiku odděleny od peněžních prostředků určených k hotovostním transakcím souvisejícím s provozováním vlastních hazardních her v kasinu"
TypTransakce,4,The aggregate of cash received by the operator and put into the casino cage as cash on the basis of other transactions relating to the circulation of tokens or cash in the context of operating the operator’s games of chance in the casino.,celkový úhrn peněžních prostředků přijatých a vložených provozovatelem do pokladny kasina v hotovosti na základě jiných transakcí souvisejících s pohybem hodnotových žetonů nebo peněžních prostředků v rámci provozování vlastních hazardních her v kasinu
TypTransakce,5,The aggregate of cash paid out from a live game tournament.,celkový úhrn peněžních prostředků vyplacených z turnaje živé hry
TypTransakce,6,The aggregate of cash paid out from a user account for an online live game or other types of games of chance or paid out as winnings or as returned stakes from a game of bingo.,celkový úhrn peněžních prostředků vyplacených z uživatelského konta pro internetovou živou hru nebo jiné druhy hazardních her anebo jako výhry nebo vrácené vklady ze hry bingo v hotovosti
TypTransakce,7,"The aggregate of cash paid out in order to withdraw cash from the casino cage, i.e. from money that was, until that moment, part of the money intended for cash transactions related to operating the operator’s games of chance in the casino.","celkový úhrn peněžních prostředků vyplacených za účelem odvedení hotovosti z pokladny kasina a tím z peněžních prostředků, které byly do tohoto okamžiku součástí peněžních prostředků určených k hotovostním transakcím souvisejícím s provozováním vlastních hazardních her v kasinu"
TypTransakce,8,The total value of tokens given out as tips in a manner other than by placing them in the tronc.,"celková hodnota hodnotových žetonů, které byly darovány jako spropitné jinak než do pokladny na spropitné"
TypTransakce,G1,The aggregate of cash paid out in order to return stakes placed in a live game tournament on the basis of cancellation of the live game tournament.,celkový úhrn peněžních prostředků vyplacených za účelem vrácení vkladů do turnaje živé hry na základě zrušení turnaje živé hry
TypTransakce,H1,The aggregate of cash received as extra payments.,celkový úhrn peněžních prostředků přijatých na úhradu ostatních plnění
TypTransakce,I1,The aggregate of cash paid out in order to return extra payments or part thereof.,celkový úhrn peněžních prostředků vyplacených za účelem vrácení ostatních plnění nebo jejich části
TypTransakce,J1,The aggregate of cash received as payments for the purchase of tokens.,celkový úhrn peněžních prostředků přijatých na úhradu nákupu hodnotových žetonů
TypTransakce,K1,The aggregate of cash paid out to redeem tokens presented by game of chance participants.,celkový úhrn peněžních prostředků vyplacených proti předloženým hodnotovým žetonům účastníkem hazardní hry
TypTransakce,L1,The total value of non-returned or lost tokens.,"celková hodnota hodnotových žetonů, které byly nevráceny nebo ztraceny"
TypTransakce,9,celkový úhrn peněžních prostředků odvedených z pokladny na bankovky a mince do pokladny kasina,celkový úhrn peněžních prostředků odvedených z pokladny na bankovky a mince do pokladny kasina
TypTransakce,10,celková hodnota hodnotových žetonů přijatých do pokladny pro dotování žetonů z pokladny kasina,celková hodnota hodnotových žetonů přijatých do pokladny pro dotování žetonů z pokladny kasina
TypTransakce,11,celková hodnota hodnotových žetonů odvedených z pokladny pro dotování žetonů do pokladny kasina,celková hodnota hodnotových žetonů odvedených z pokladny pro dotování žetonů do pokladny kasina
TypTransakce,12,celková hodnota hodnotových žetonů přijatých do pokladny na spropitné,celková hodnota hodnotových žetonů přijatých do pokladny na spropitné
TypTransakce,13,celková hodnota hodnotových žetonů odvedených z pokladny na spropitné do pokladny kasina,celková hodnota hodnotových žetonů odvedených z pokladny na spropitné do pokladny kasina
TypTransakce,J2,celkový úhrn peněžních prostředků přijatých na úhradu nákupu hodnotových žetonů,celkový úhrn peněžních prostředků přijatých na úhradu nákupu hodnotových žetonů
TypTransakce,14,celkový úhrn peněžních prostředků přijatých na úhradu nákupu vkladu do turnaje u hracího stolu,celkový úhrn peněžních prostředků přijatých na úhradu nákupu vkladu do turnaje u hracího stolu
TypTransakce,15,celkový úhrn peněžních prostředků odvedených z pokladen na bankovky a mince do pokladny kasina,celkový úhrn peněžních prostředků odvedených z pokladen na bankovky a mince do pokladny kasina
TypTransakce,16,celková hodnota hodnotových žetonů přijatých do pokladny na spropitné,celková hodnota hodnotových žetonů přijatých do pokladny na spropitné
TypTransakce,17,celková hodnota hodnotových žetonů odvedených z pokladny na spropitné do pokladny kasina,celková hodnota hodnotových žetonů odvedených z pokladny na spropitné do pokladny kasina
TypTransakce,A1,The aggregate of cash received as payments for bingo bets.,celkový úhrn peněžních prostředků přijatých na úhradu sázek do binga
TypTransakce,B1,The aggregate of cash paid out as winnings.,celkový úhrn peněžních prostředků vyplacených jako výhry
TypTransakce,C1,The aggregate of cash received as accompanying payments in relation to a bingo game.,celkový úhrn peněžních prostředků přijatých na úhradu doprovodných plnění ke hře binga
TypTransakce,D1,The aggregate of returned accompanying payments related to a bingo game that were returned for a legal reason other than a correction.,"celkový úhrn vrácených doprovodných plnění ke hře binga, která se vrací na základě jiného právního důvodu než opravy"
Vyherni,0,If the betting opportunity was evaluated as a loss.,"v případě, že byla sázková příležitost vyhodnocena jako proherní"
Vyherni,1,If the betting opportunity was evaluated as a win.,"v případě, že byla sázková příležitosti vyhodnocena jako výherní"
Vyherni,2,If all bets accepted for the betting opportunity were evaluated as invalid or cancelled in accordance with the game plan.,"v případě, že veškeré sázky přijaté na tuto sázkovou příležitost byly vyhodnoceny jako neplatné, nebo zrušené v souladu s herním plánem"
Landbased,0,prostřednictvím uživatelského konta není umožněna účast na druhu hazardní hry specifikovaném v položce HraDruh neprovozovaném jako internetová hra,prostřednictvím uživatelského konta není umožněna účast na druhu hazardní hry specifikovaném v položce HraDruh neprovozovaném jako internetová hra
Landbased,1,prostřednictvím uživatelského konta je umožněna účast na druhu hazardní hry specifikovaném v položce HraDruh neprovozovaném jako internetová hra,prostřednictvím uživatelského konta je umožněna účast na druhu hazardní hry specifikovaném v položce HraDruh neprovozovaném jako internetová hra
MENAKOD,AFN,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,ALL,mena,currency
MENAKOD,DZD,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,AOA,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,ARS,mena,currency
MENAKOD,AMD,mena,currency
MENAKOD,AWG,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,AZN,mena,currency
MENAKOD,BSD,mena,currency
MENAKOD,BHD,mena,currency
MENAKOD,BDT,mena,currency
MENAKOD,BBD,mena,currency
MENAKOD,BYN,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,BZD,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,BMD,mena,currency
MENAKOD,INR,mena,currency
MENAKOD,BTN,mena,currency
MENAKOD,BOB,mena,currency
MENAKOD,BOV,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,BAM,mena,currency
MENAKOD,BWP,mena,currency
MENAKOD,NOK,mena,currency
MENAKOD,BRL,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,BND,mena,currency
MENAKOD,BGN,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,BIF,mena,currency
MENAKOD,CVE,mena,currency
MENAKOD,KHR,mena,currency
MENAKOD,XAF,mena,currency
MENAKOD,CAD,mena,currency
MENAKOD,KYD,mena,currency
MENAKOD,XAF,mena,currency
MENAKOD,XAF,mena,currency
MENAKOD,CLP,mena,currency
MENAKOD,CLF,mena,currency
MENAKOD,CNY,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,COP,mena,currency
MENAKOD,COU,mena,currency
MENAKOD,KMF,mena,currency
MENAKOD,CDF,mena,currency
MENAKOD,XAF,mena,currency
MENAKOD,NZD,mena,currency
MENAKOD,CRC,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,HRK,mena,currency
MENAKOD,CUP,mena,currency
MENAKOD,CUC,mena,currency
MENAKOD,ANG,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,CZK,mena,currency
MENAKOD,DKK,mena,currency
MENAKOD,DJF,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,DOP,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,EGP,mena,currency
MENAKOD,SVC,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,XAF,mena,currency
MENAKOD,ERN,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,ETB,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,FKP,mena,currency
MENAKOD,DKK,mena,currency
MENAKOD,FJD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,XPF,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,XAF,mena,currency
MENAKOD,GMD,mena,currency
MENAKOD,GEL,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,GHS,mena,currency
MENAKOD,GIP,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,DKK,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,GTQ,mena,currency
MENAKOD,GBP,mena,currency
MENAKOD,GNF,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,GYD,mena,currency
MENAKOD,HTG,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,HNL,mena,currency
MENAKOD,HKD,mena,currency
MENAKOD,HUF,mena,currency
MENAKOD,ISK,mena,currency
MENAKOD,INR,mena,currency
MENAKOD,IDR,mena,currency
MENAKOD,XDR,mena,currency
MENAKOD,IRR,mena,currency
MENAKOD,IQD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,GBP,mena,currency
MENAKOD,ILS,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,JMD,mena,currency
MENAKOD,JPY,mena,currency
MENAKOD,GBP,mena,currency
MENAKOD,JOD,mena,currency
MENAKOD,KZT,mena,currency
MENAKOD,KES,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,KPW,mena,currency
MENAKOD,KRW,mena,currency
MENAKOD,KWD,mena,currency
MENAKOD,KGS,mena,currency
MENAKOD,LAK,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,LBP,mena,currency
MENAKOD,LSL,mena,currency
MENAKOD,ZAR,mena,currency
MENAKOD,LRD,mena,currency
MENAKOD,LYD,mena,currency
MENAKOD,CHF,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,MOP,mena,currency
MENAKOD,MKD,mena,currency
MENAKOD,MGA,mena,currency
MENAKOD,MWK,mena,currency
MENAKOD,MYR,mena,currency
MENAKOD,MVR,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,MRO,mena,currency
MENAKOD,MUR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,XUA,mena,currency
MENAKOD,MXN,mena,currency
MENAKOD,MXV,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,MDL,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,MNT,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,MAD,mena,currency
MENAKOD,MZN,mena,currency
MENAKOD,MMK,mena,currency
MENAKOD,NAD,mena,currency
MENAKOD,ZAR,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,NPR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,XPF,mena,currency
MENAKOD,NZD,mena,currency
MENAKOD,NIO,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,NGN,mena,currency
MENAKOD,NZD,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,NOK,mena,currency
MENAKOD,OMR,mena,currency
MENAKOD,PKR,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,PAB,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,PGK,mena,currency
MENAKOD,PYG,mena,currency
MENAKOD,PEN,mena,currency
MENAKOD,PHP,mena,currency
MENAKOD,NZD,mena,currency
MENAKOD,PLN,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,QAR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,RON,mena,currency
MENAKOD,RUB,mena,currency
MENAKOD,RWF,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,SHP,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,XCD,mena,currency
MENAKOD,WST,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,STD,mena,currency
MENAKOD,SAR,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,RSD,mena,currency
MENAKOD,SCR,mena,currency
MENAKOD,SLL,mena,currency
MENAKOD,SGD,mena,currency
MENAKOD,ANG,mena,currency
MENAKOD,XSU,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,SBD,mena,currency
MENAKOD,SOS,mena,currency
MENAKOD,ZAR,mena,currency
MENAKOD,SSP,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,LKR,mena,currency
MENAKOD,SDG,mena,currency
MENAKOD,SRD,mena,currency
MENAKOD,NOK,mena,currency
MENAKOD,SZL,mena,currency
MENAKOD,SEK,mena,currency
MENAKOD,CHF,mena,currency
MENAKOD,CHE,mena,currency
MENAKOD,CHW,mena,currency
MENAKOD,SYP,mena,currency
MENAKOD,TWD,mena,currency
MENAKOD,TJS,mena,currency
MENAKOD,TZS,mena,currency
MENAKOD,THB,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,XOF,mena,currency
MENAKOD,NZD,mena,currency
MENAKOD,TOP,mena,currency
MENAKOD,TTD,mena,currency
MENAKOD,TND,mena,currency
MENAKOD,TRY,mena,currency
MENAKOD,TMT,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,AUD,mena,currency
MENAKOD,UGX,mena,currency
MENAKOD,UAH,mena,currency
MENAKOD,AED,mena,currency
MENAKOD,GBP,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,USN,mena,currency
MENAKOD,UYU,mena,currency
MENAKOD,UYI,mena,currency
MENAKOD,UZS,mena,currency
MENAKOD,VUV,mena,currency
MENAKOD,VEF,mena,currency
MENAKOD,VND,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,USD,mena,currency
MENAKOD,XPF,mena,currency
MENAKOD,MAD,mena,currency
MENAKOD,YER,mena,currency
MENAKOD,ZMW,mena,currency
MENAKOD,ZWL,mena,currency
MENAKOD,XBA,mena,currency
MENAKOD,XBB,mena,currency
MENAKOD,XBC,mena,currency
MENAKOD,XBD,mena,currency
MENAKOD,XTS,mena,currency
MENAKOD,XXX,mena,currency
MENAKOD,XAU,mena,currency
MENAKOD,XPD,mena,currency
MENAKOD,XPT,mena,currency
MENAKOD,XAG,mena,currency
MENAKOD,AFA,mena,currency
MENAKOD,FIM,mena,currency
MENAKOD,ALK,mena,currency
MENAKOD,ADP,mena,currency
MENAKOD,ESP,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,AOK,mena,currency
MENAKOD,AON,mena,currency
MENAKOD,AOR,mena,currency
MENAKOD,ARA,mena,currency
MENAKOD,ARP,mena,currency
MENAKOD,ARY,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,ATS,mena,currency
MENAKOD,AYM,mena,currency
MENAKOD,AZM,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,BYR,mena,currency
MENAKOD,BYB,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,BEC,mena,currency
MENAKOD,BEF,mena,currency
MENAKOD,BEL,mena,currency
MENAKOD,BOP,mena,currency
MENAKOD,BAD,mena,currency
MENAKOD,BRB,mena,currency
MENAKOD,BRC,mena,currency
MENAKOD,BRE,mena,currency
MENAKOD,BRN,mena,currency
MENAKOD,BRR,mena,currency
MENAKOD,BGJ,mena,currency
MENAKOD,BGK,mena,currency
MENAKOD,BGL,mena,currency
MENAKOD,BUK,mena,currency
MENAKOD,CNX,mena,currency
MENAKOD,HRD,mena,currency
MENAKOD,HRK,mena,currency
MENAKOD,CYP,mena,currency
MENAKOD,CSJ,mena,currency
MENAKOD,CSK,mena,currency
MENAKOD,ECS,mena,currency
MENAKOD,ECV,mena,currency
MENAKOD,GQE,mena,currency
MENAKOD,EEK,mena,currency
MENAKOD,XEU,mena,currency
MENAKOD,FIM,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,GEK,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,DDM,mena,currency
MENAKOD,DEM,mena,currency
MENAKOD,GHC,mena,currency
MENAKOD,GHP,mena,currency
MENAKOD,GRD,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,GNE,mena,currency
MENAKOD,GNS,mena,currency
MENAKOD,GWE,mena,currency
MENAKOD,GWP,mena,currency
MENAKOD,ITL,mena,currency
MENAKOD,ISJ,mena,currency
MENAKOD,IEP,mena,currency
MENAKOD,ILP,mena,currency
MENAKOD,ILR,mena,currency
MENAKOD,ITL,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,LAJ,mena,currency
MENAKOD,LVL,mena,currency
MENAKOD,LVR,mena,currency
MENAKOD,LSM,mena,currency
MENAKOD,ZAL,mena,currency
MENAKOD,LTL,mena,currency
MENAKOD,LTT,mena,currency
MENAKOD,LUC,mena,currency
MENAKOD,LUF,mena,currency
MENAKOD,LUL,mena,currency
MENAKOD,MGF,mena,currency
MENAKOD,MWK,mena,currency
MENAKOD,MVQ,mena,currency
MENAKOD,MLF,mena,currency
MENAKOD,MTL,mena,currency
MENAKOD,MTP,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,MXP,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,MZE,mena,currency
MENAKOD,MZM,mena,currency
MENAKOD,NLG,mena,currency
MENAKOD,ANG,mena,currency
MENAKOD,NIC,mena,currency
MENAKOD,PEN,mena,currency
MENAKOD,PEH,mena,currency
MENAKOD,PEI,mena,currency
MENAKOD,PES,mena,currency
MENAKOD,PLZ,mena,currency
MENAKOD,PTE,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,ROK,mena,currency
MENAKOD,RON,mena,currency
MENAKOD,ROL,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,FRF,mena,currency
MENAKOD,ITL,mena,currency
MENAKOD,CSD,mena,currency
MENAKOD,EUR,mena,currency
MENAKOD,SKK,mena,currency
MENAKOD,SIT,mena,currency
MENAKOD,ZAL,mena,currency
MENAKOD,SDG,mena,currency
MENAKOD,RHD,mena,currency
MENAKOD,ESA,mena,currency
MENAKOD,ESB,mena,currency
MENAKOD,ESP,mena,currency
MENAKOD,SDD,mena,currency
MENAKOD,SDP,mena,currency
MENAKOD,SRG,mena,currency
MENAKOD,CHC,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,TJR,mena,currency
MENAKOD,IDR,mena,currency
MENAKOD,TPE,mena,currency
MENAKOD,TRL,mena,currency
MENAKOD,TRY,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,TMM,mena,currency
