#28934929-V-2019061208-Z-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-;28934929;28934929-lxabuemlo2nk217;Z;2,25;;;28934929-k2ulmhj90
28934929-;28934929;28934929-ehvq2lecc7iahsng58h7m;Z;5,15;;MYR;28934929-
28934929-;28934929;28934929-;Z;;1993-11-28T09:00:56.6+01:00;;28934929-
28934929-;28934929;28934929-ak5i2o81jjd;Z;;;;28934929-
28934929-;28934929;28934929-;Z;12,06;2018-07-25T13:22:58.6+02:00;;28934929-
28934929-amanh0ehiegjjbd1k4r;28934929;28934929-yugnijgnu0sg94qtii;Z;;2013-01-08T18:01:57.6+01:00;;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-vdkagllr2wi95
28934929-m7xirfsgk7aim929trb2wj;28934929;28934929-lmpwln0dugudjxwgkbb;Z;;2005-03-14T16:01:38.6+01:00;;28934929-
28934929-n3b6gjcig93no32t;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;9,85;2019-10-07T03:10:42.6+02:00;;28934929-
28934929-;28934929;28934929-;Z;7,21;2012-07-22T23:26:15.6+02:00;XUA;28934929-xkw2nw9g7gk8dx4s
28934929-;28934929;28934929-h91ov887ij58i6;Z;;;ARY;28934929-
28934929-ewk8x;28934929;28934929-;Z;9,66;;EUR;28934929-q7mxo
28934929-;28934929;28934929-1e1pfyr3tc;Z;13,00;2006-08-10T06:54:19.6+02:00;;28934929-gwns6utljd
28934929-;28934929;28934929-nxfadgeqgxfw15d9ew;Z;;2011-02-16T16:48:33.6+01:00;;28934929-
28934929-b3je1fo;28934929;28934929-233vid;Z;;;;28934929-skm1
28934929-;28934929;28934929-m24k1c89bv8;Z;;2010-05-09T11:03:02.6+02:00;;28934929-tmbs1u5u6
28934929-;28934929;28934929-;Z;5,49;;;28934929-
28934929-;28934929;28934929-;Z;;2001-04-02T19:21:13.6+02:00;;28934929-54i5pngsh
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;;1998-07-09T16:54:04.6+02:00;;28934929-
28934929-;28934929;28934929-;Z;;2013-01-06T05:45:38.6+01:00;;28934929-
28934929-;28934929;28934929-;Z;;;COP;28934929-
28934929-;28934929;28934929-fh9fceb8mvq4si7dagkx;Z;;2004-01-09T10:45:05.6+01:00;XOF;28934929-
28934929-uqqqn;28934929;28934929-;Z;1,21;;;28934929-dn1lbgde0l4m16ju
28934929-;28934929;28934929-;Z;;;;28934929-wsvye8g3qrpq4lxwg
28934929-1vhv;28934929;28934929-;Z;;2021-12-09T08:17:19.6+01:00;ZAL;28934929-
28934929-;28934929;28934929-;Z;;2003-07-10T20:17:11.6+02:00;;28934929-hkdv031v7q4
28934929-;28934929;28934929-;Z;;2002-10-15T05:25:45.6+02:00;;28934929-
28934929-ppob3galskr7m0kilkw5p;28934929;28934929-;Z;7,51;;BRB;28934929-icjp5re
28934929-;28934929;28934929-umyem3u0b;Z;12,41;1995-06-21T22:41:49.6+02:00;;28934929-
28934929-4ddvb9h1qfa608a;28934929;28934929-;Z;;;;28934929-
28934929-rdt3aj9apr2ww4t28xof91;28934929;28934929-;Z;2,00;;UGS;28934929-
28934929-;28934929;28934929-;Z;;;SYP;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;;2008-10-24T04:25:22.6+02:00;TJS;28934929-
28934929-ff9npp79;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;17,01;;;28934929-hn2babntfc2i
28934929-;28934929;28934929-;Z;2,95;;;28934929-
28934929-;28934929;28934929-du0ci2lj09cw;Z;;2011-06-06T02:11:07.6+02:00;;28934929-kxf288411ckayuj
28934929-;28934929;28934929-;Z;5,32;;EUR;28934929-
28934929-;28934929;28934929-;Z;;;FIM;28934929-ssfim
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-ao4ip9w3t9;28934929;28934929-nlighmue4y9xefkn5exbi;Z;7,72;;;28934929-
28934929-;28934929;28934929-;Z;;;BGK;28934929-rv0x0
28934929-m76pkckgcdp2x32s;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-54tdws56sies1cpkrrof;Z;;2015-05-10T16:11:41.6+02:00;;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-y8ap130ocm8ywnat6lr;Z;;;;28934929-
28934929-c0as4gg;28934929;28934929-968ta3c6kthc3gml2;Z;16,20;;MVQ;28934929-dbvrjxfhionax5f8ds9ct
28934929-o62u76j15pp5c;28934929;28934929-;Z;;;;28934929-xtwe5w8tl3cjxqcvxo
28934929-7674huuy4ba6el908q;28934929;28934929-;Z;;;;28934929-
28934929-;28934929;28934929-;Z;;2008-07-18T01:26:58.6+02:00;VEB;28934929-
28934929-m2m47lli;28934929;28934929-;Z;;2005-09-05T19:26:02.6+02:00;;28934929-
28934929-0bm0qo5q90dlngrjyh3;28934929;28934929-;Z;;;ROK;28934929-
28934929-;28934929;28934929-;Z;;;;28934929-7i8rdh22fkd0wmub
28934929-;28934929;28934929-;Z;;;XCD;28934929-
28934929-;28934929;28934929-;Z;;2007-10-02T21:53:10.6+02:00;;28934929-ti69tt7xps9me
28934929-;28934929;28934929-;Z;16,22;1995-06-23T16:28:51.6+02:00;PGK;28934929-
28934929-;28934929;28934929-;Z;;;XOF;28934929-34ej1ohlacm01jnpxbcex
28934929-uee5536;28934929;28934929-;Z;11,80;;;28934929-
28934929-hckpfwtrhm;28934929;28934929-;Z;;;;28934929-
