#28934929-V-2019061208-Z-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;;;;28934929;
28934929-nobhse9pwevi156tr;;;;28934929;
28934929-;y6vír;K;;28934929;
28934929-;ěícíkrěw40ť;;;28934929;
28934929-;;;;28934929;
28934929-dtsacwloi93tfyghsrge7;0ť8;K;;28934929;
28934929-;;;;28934929;2019-11-27T01:05:16.6+01:00
28934929-;ýxmo1yjuk04ědxieďmjtůúřytéj2š2j1yécmeóíévífaškřixyf7;T;;28934929;
28934929-;;B;a;28934929;
28934929-v2h4lbir;;;;28934929;
28934929-;7vu39k8t38úšmtoývdksěááěuě5érvs6oěhťíeťvo4l637gwfpud;;;28934929;2013-12-11T02:22:16.6+01:00
28934929-;;;a;28934929;
28934929-2ji2w0g82p1be84mor;fúy6yuák3áčěfgwóáěw0mř2xumwpěqsů3;;;28934929;
28934929-k0fubrfpwot81dciypi9;;;;28934929;
28934929-;;;f;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;;;h;28934929;
28934929-;krigéšwsovšůjawtídk7qo212nřfčýtdknqb9eifnefáh3ěť46q;;;28934929;
28934929-;;;;28934929;
28934929-;vbúubh8ýh77r9úďm261ófósttaěásanuý2fryšpeghvxl;R;b;28934929;2020-01-28T07:28:03.6+01:00
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-mwpdf9g5bot;;;;28934929;1994-05-01T13:00:19.6+02:00
28934929-;;;;28934929;1999-02-14T13:40:23.6+01:00
28934929-r8a2;yýyxútě5aůě52ěmá2pš139ipsd;;e;28934929;1996-07-02T08:38:26.6+02:00
28934929-;óšůťmípf0r12am5ůeěséř9ď08cef0ěfěý2mííaéů8údqugvg7oj5;;;28934929;
28934929-9hsscgramc6yvbd9sl2d;;;;28934929;1996-03-08T15:05:36.6+01:00
28934929-;6ďbočémi2j;B;;28934929;2001-01-26T06:03:10.6+01:00
28934929-;ůé9řý;;;28934929;
28934929-jye1qvub9ih9u5op;;;i;28934929;2015-07-18T14:33:25.6+02:00
28934929-;;;;28934929;
