#28934929-V-2019061208-Z-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-;28934929-;;;ybďp1júk0nrjřúaůx;;;;csq1pabql;
28934929-x8gp5w2gof3;28934929-j55xutfhfp1;;;;;;;í6md8ď4ewstýókvuyj7gj14bruů1if;1
28934929-;28934929-xm5gd3dapp1csit3r22k;2021-12-13T12:05:38.6+01:00;;7bbnýaqáoúeh;;;;;
28934929-;28934929-;;3čšdiýaůamhpng8pfaéycú5čxs4wýýoťů;;;;;;
28934929-wgii0639nivy7im;28934929-;;va9čbqjócsvpď9úágc5dýxhahn5jbx1ý02q0bq00lěx;;;;;ďe3ýěěxmářyčťččíhsuůc6vmšdfěšů4h8wltíi0ěqcyfřřv;1
28934929-blwja;28934929-;2011-06-14T23:42:40.6+02:00;ěů4i0m2dmw6lťkičy5u8pěrěei1qýďrúwpwěďš3řurjóaíd;c4ókšjf5;éa5ý7iútšyť833l44mahlýoaďw4ď4;;;lóůt1hpq9833č4tkíóuó721a1h1gé;
28934929-loso7hjj5eko0n4gmka;28934929-;2017-01-10T05:05:47.6+01:00;;;ýid4qw9ib2ěrqúuckglo;;;efůtxp3bylolďlhxůtusdgqbířý;1
28934929-;28934929-;;;;;áťo1écxúčuůir00řěgxif3guíékřvyx5q;ý5hm9v2dkwpw8ěý5u2y60bďgďú;;
28934929-;28934929-;;ás8gdgúr1mcqí82wwč;skřkcřúýx;ýqukřjůikám;;áthgtí5úg3d7ú6éib;;
28934929-7u3w54ftms23o9;28934929-;;d6rýupwdyleyngrďíěé0pěčj;rpbb4eůqěí6úťwvgoýwvovrme0fnaisl;;r1ú1rgťíkť3d0vld5ěohůt3;;;
28934929-;28934929-;2009-01-08T06:18:21.6+01:00;;whgůf1;;4cmúeůd5hr7šrlyw;;fjh7ióřnggůmáawqrýeěqj3j34n7ěáá02lhóbjógd;
28934929-2xahohmw5y;28934929-;;o28ndš66;;;9o3qeď4řhp1ďě8á73íyusqaéwíijťqámeičácijúé4óqs;glw1é31yxrě;36xefdvšá1q9ítjc5ďh1ý09mvjnppřygťdyqve2;
28934929-;28934929-;2016-05-21T01:35:13.6+02:00;;;ššriwd0vdďpxú2yr2uýrix2cď28kf8vů6bgěh1wm9ýlu;;;afwčigqgákh1cmřcú6kďgáěh1nxn64luoěř6v046ó6;
28934929-;28934929-59amj9;;;uwoh3a;;;;q5káťcfffoudn9eýu0wó5gpkh06bčt;
28934929-jsthsaqhwt;28934929-;;;yné5š1é3í9s8těu03ůyáůtrťá5jí;ěa7opékákóx9ťcróá2;0cwú0ďp5fč9sálnťoéceůřkrk3hví5kl2vhp6jkďpř0cqěulrvne;;úúm6cčúwb0o8tt2ijá9ť9ůg5hxk;
28934929-;28934929-;;;wsoiášk80šcgokfyt1sw5s1úšrůú3i8ďbýů;ěe93ůďukuéš4u3mčšřceuř9xť8tšuč9šáiorřrý0yhdšv;;gkvxéá4ýk5hóphg7s2sxx7m47ěví;;0
28934929-;28934929-;;;hw1qy97mpálhwéťdrnmdjářj94rfnbéůďkcéb7fčlmcaxčcčš;;pšyh5jšekáévyéxýšbúx2sď4bvpřnhxj;;;0
28934929-6gf27mund3k3h592vk;28934929-;;;;;9ťkvp9ď4t9cérk4sšúibnxia9gr260ťvéeúv254já545bóú6č;;;1
28934929-jqappj08wdp3gd;28934929-;;;;;ěae6svďihqěó;;kqvwsr0ě0bfs;
28934929-qtbsbycqssd;28934929-;2018-11-11T14:43:11.6+01:00;mqjwq5ni;;606n;;;;
28934929-;28934929-s2hrw5kjkag34;;;;9šďiúý;;kýmeě0jšřyů9šťyu4pnšýwam4yplsc6mř2ýd3k0x35apniiá3é0;;
28934929-;28934929-xdggn4yy5k5dy24;2019-01-06T23:14:25.6+01:00;;;;;čř1édhčolsůčb0bš23j3f76e4mvwmýů7hjm2ú4újjqď8ů52u8ý;;
28934929-;28934929-;;e7káogc0kšéíftdéřďč5vjře2;ťsěe914pý8ésqúáan9ó0gí1ď6í6ěc4qěš7gďx8o4pj;;;;eq8bbwxřbšoyď1čúřďjcx48y9yřitfóvigc;
28934929-shnk5s8f5bl1sxfwy61;28934929-vgc1;2012-11-02T02:41:33.6+01:00;;ďó1ďcuópřwlď4xp5řamlfupťéfůvófťhšůě;;;9d0ijdétgbšutag;;
28934929-ojqmb;28934929-;;;;;;;hú8fw0rřt2ůótwhxkéeů6mč8áďkrfqcjgjruýďaa6sh35jx;
28934929-;28934929-rpaoh64s7kjsmv6;;;;;y9nš9wúl21úilu1mcnúkgs6é0hřg;;;0
28934929-;28934929-;2003-02-01T00:21:30.6+01:00;;č8hěg;;;;;
28934929-;28934929-;2011-10-25T10:34:44.6+02:00;;;úůírťďtý0ůóťa542ďúčxbu6ishxáó2hab7ab;;cťiuk3ojlnďsohée5íótů7ůrlypbvťúš6čýq99dúbsguéj;;
28934929-;28934929-;;;š0mxrfď9ó3š9p;;;m9cjaěů;;
28934929-kb1xi;28934929-b685po8d4o;;jépkú;vbxóú0ůll9xůogpjkio6ogšřéíššíwřxh3uhá;;8tsěoléxkfá1wgvyk3b0éjřéiúáé3ěá199ýy6vcvřčéq9íthsyc;36óš9bxíxáóýcíhíářklm3c1sů9;;0
28934929-;28934929-qeneqjkqcpkrp2ajo4r;;íůicfeťigiéťšnkytů7děk270o3j5wřoohřhróýdfťéč3;1ě2ltu7;ló98v7ílh6neórwfbua9o6y3cp56junárd;;;bh0h0c6eo2qic95čřůý6;
28934929-;28934929-;;báý3aďýímtsqárwqřkf;;;;;;0
28934929-;28934929-;;;;ébgřwďod1cššjhr4éášnr7nyďiné2ú6jťhř5apčb;;;;
28934929-;28934929-eg96ri1dilhjn785rvd2;2012-07-16T16:42:25.6+02:00;;m24xqúérghqíůoljer3xr1qejq8o;j5ukfýy6ápbbyhčb7lěómě6énaai19947ďwř2ýqřuúši2e;;;;
28934929-;28934929-;1990-12-03T07:05:33.6+01:00;;9cůayús6v2ů;wkďtůmš1eocéřrbfgb8mhg7ě7ftkha9sěřlmixrch1s66;;;;
28934929-3nbglbje5axd;28934929-;2016-09-27T00:13:21.6+02:00;fníoryťmóróťldůfiao4ř6hj7rjšč4góitg97;4ď2ť0300peťd8ťpycgxý643g1ýqqýě9ldhčge5q;ď9me8éí;0óeůfb3ýpůk2húsř5lú1;;;
28934929-;28934929-44mbyp4aaknq7a5;;11weú4yywn7yiďm9dh0rúřkpdb0eacagin5;rdu7á3opěóglo4ťgkěáéqv5čp9cěťťř7bů6rdemdč;;;iú1holwq0čcásygk02šxř6k4a0ď3óe4óá9nr7h81sgmt;;
28934929-;28934929-f8w1v4aayuksp0i;;;;;;;;0
28934929-;28934929-absd0mehof7t;;;;hnv;x8íogqiclbowpó4a4a83řd0eěwe;;;
28934929-;28934929-;;nťfnlšjxy1b8obqljý1ýógsša15beía4psjaj9ó;;;v8e2ó2pml17rr39csťj2m2ďmck91mhbvrckxéoťbděufmůtú9;;;
28934929-pn2c;28934929-;;ďfýťvřcgcřlwccý6ťjóé86ádéřlnú5xe3m;hsmď9ibíďťšu66hř45ótýgú23qemp2vsvósrqqč;;;;qiáčkfšíd8axřč9;
28934929-;28934929-xccdfv4mpnfs;2007-01-29T01:18:21.6+01:00;q7éyhdio3odď;;;8mg1šmu0aróiěyůpšqěqnf74x91yd67gě3dgťilá;úcěškěa810ódyuš5óvpc5šč9jn4qšvé9éh3lyyu8ť6řť2vb2i;yu42bv8cšiwhhkkyý4mrx;
28934929-pjwrkubnksm028qid;28934929-hjwefuju0p57x4h47wvtp2;;;;58bů23c;bť3;;;
28934929-;28934929-;;ui5únbtá2égřč723ěkg27xáš9qdčv6s;;č8854jáělřkiťp4jbi9áhl;i52f0nádřaét39sýýáůůkjidhopgq6cyv3bjteome;;;
28934929-;28934929-;;;;4oš41š9íx5šrtgšěg3kjb1ýcf7v;;úšúťfal05guvškřtqiét92h;;0
28934929-mba61nss0cs1f;28934929-7900icilk9ok7icphrl;;46ťak1fěcjupctu6wpqnrůrcénýřůúr4šcbfadki3qowvfběj;;;ágůwvíúe82wýbumč0w2sf7ýrěb9cůeěxrr1piékwgfw;;ďufanóýyřbřktéclřoýý;
28934929-qhv9rjmkb8m;28934929-;;;;;;u4ó2učsll1ukeťxáíoýšxa4dxi3ťváťqíx3í1buřuód7mčotu;4prš2ýpeíh6exps4ďfqšuůvďi0vxy6j7i4l6řsg6lnpřtki4č;
28934929-i4osjorjkh;28934929-;;;;;;;;
28934929-;28934929-;;;;;4íř5pďópděkyodhóhangm0wl9ďčwxmer97nó8;;;
28934929-;28934929-;;;;;;;db10v5ý8á05mčf9rah4wvřěg9dgošý81p1e;0
28934929-;28934929-jtpyfk4;2012-07-31T18:14:45.6+02:00;;;;;;;
28934929-;28934929-;;;;;óintwšo60ďhšvéěpřh4slt5594dwrwě6fbqčexí5th1oú;;k91;
28934929-;28934929-7h18jckfxfph7x91uqosbm;2017-12-10T19:25:33.6+01:00;;;;;;ěíl0aďxwnyačj5ču;
28934929-;28934929-;2005-06-01T03:01:46.6+02:00;ašqnšařgóóa7ďob4k98wshuáh9šů3knů6ď7pvgůmwaé0úydu;dó8dmď5;dďjr6í78e6ťě;;0ěogeďrxěl5ěiaqyptéťdlwjš22ó4eóývéř3cq6uď;;
28934929-;28934929-;;;;;;btávu3čsa9gjw7wešcsoč;;1
28934929-;28934929-;2003-10-16T07:21:19.6+02:00;;;;aiřsějv8á6rjovqóu7rýjď55povům;;;
28934929-;28934929-;;u9řďrodť;;;;ú1ďa1tmmšýhýďkfřóghěppq9ů6řč9;1súxq4axyxbšhc3šwčtmyůfhiěnyhěq;1
28934929-;28934929-dq3aslia0o;1999-12-24T00:14:33.6+01:00;áš5ťčí;53i9řk6áeahcšůcf0ůe;;;;;
28934929-;28934929-qvvsbxbw;2015-08-12T00:22:34.6+02:00;ýmsiamuh;;;fý8fewséáp82hmuxt8mbjúďoxb;ťxppšóítýmšv5160ěwlb9ěwmhjnýo0tř67ugůřťhwm;;
28934929-4hy;28934929-;2017-06-07T18:49:04.6+02:00;dóí;;;;;;0
28934929-;28934929-;;;;2axhxcď8ěě4je7b2qcao8oeúóú;2lěó5ě7ér3oá;;;
28934929-;28934929-6mmne5dq9w3;;a4f;qíe1tpďéf6p5ř0d82ř2omlédwj4d5cůfóalc43okďró;ýseěřciť7čehmx;t1jťďýíbědcšď1425á1l0ékúýrř76ón9;pynqýkóáíqťí;;
28934929-;28934929-dr1bl;;ťóóé;;wsa56ťů8v2ťť;nš85o5gih6mírn4čdvfš7ýgéxfďřůtc;;;
28934929-;28934929-t45ydd;;;;cřůskš;á5ot11c1jtbř5ri3ydk01č6ocicůďírěu6sléě9u;;;0
28934929-;28934929-;2003-05-30T21:55:59.6+02:00;;ři02diáííh87nt2í9ý5íacm0ůauthhobbďóťíwwů5úv;;;;;0
28934929-;28934929-5subdsxl5nsw4c;;;;;;;7yíůe7uaá6ítťtěsé4rarmjl6oiu2ju7ýmdqtge5w;
28934929-;28934929-;;;;;ifi2éi6úťcexo3éjk3éh6á78ghhkcy1ěvq6wwvj0;;;
28934929-xu3j;28934929-diuen9;;;;;;;;0
28934929-yy7o3neeevg;28934929-42nbn9d9xsn1r;1997-11-12T15:32:08.6+01:00;;;;;;;0
28934929-;28934929-rv0vqvdxn9fdf8;;;;ďirjvmvěunxóóěaéým;;vpřiř;;
28934929-;28934929-;;2omrďťě3c8xpťcd8g7ýa2p5r6ěvnk4ř3kxwxíiťťšktnuá82ím;;;;ťyslř6é3óračj1éospl6pjo46853m63a0ůótegmú;;
28934929-;28934929-yj46fissxli2d8rc5ge6;;ysqbka08šů348hýiýcácťctldwncým6ahšwpďdh1eókr;;;;á8růů9n3gáe4fsiqágr;;0
28934929-;28934929-;;;usd8yť9áel46c5řirš23šfčx8oý5igs1x;;;t7b3giúót11ó63s;;
28934929-;28934929-30264fnb;2014-12-09T10:06:15.6+01:00;oqagnskjeů1f6ykěb;;;;ůa3ybď;8iaxttrf;
28934929-a81xqkpjfjkykah613;28934929-;2011-12-10T00:33:23.6+01:00;;;;;;c7řďť7čyíhk3túmyřó8ťréů6vphďíiťůš30ť8xw;
