#28934929-V-2019061208-Z-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-ygwgpbnr7m;Z;k;28934929-;;;;1990-01-27T17:19:51.6+01:00;xšbďdd18tnqp34uďkašěčo1xplv4pmxvgbf36árxčy;0,75;;;;28934929-;28934929-2x4j1byw4kxkoe2
28934929-;Z;e;28934929-;;1996-06-20T02:20:08.6+02:00;;1993-01-24T02:46:13.6+01:00;;10,18;19,51;;;28934929-;28934929-
28934929-mqd9buj9dj4sydlwbdqr;Z;d;28934929-;;2004-08-06T02:29:36.6+02:00;6,78;2010-06-11T05:25:20.6+02:00;úfót9omhlcrí;;;;JMD;28934929-;28934929-
28934929-;Z;;28934929-pdtdf4caa8u9;;;2,57;;;;;;;28934929-nj69pbivpp8;28934929-
28934929-;Z;c;28934929-;16,13;;;;;;;;;28934929-xpn2ly82am4uhd;28934929-3m1mj
28934929-ahcfeksio91;Z;;28934929-;;;5,90;;;;4,09;;;28934929-x7uekt96sq;28934929-
28934929-;Z;;28934929-;;2011-11-23T15:24:36.6+01:00;;;ďvídgdřsii73tyad0;;;;;28934929-;28934929-05xwvj6i2to52ehh
28934929-;Z;;28934929-bgqoy;;;;1994-11-15T13:00:23.6+01:00;ěóóá0lďhqqnťwlstcé1y9aíwvd4íd1věyďl5lť6r74ťúř;1,57;;;;28934929-;28934929-tv6cb2spi22g08c
28934929-6mm4oe9bbhegghi8w;Z;;28934929-yc9;;2002-09-16T22:17:05.6+02:00;;;;;;;NIO;28934929-hc144cbpbimpak;28934929-vqxkg7v1xu8
28934929-;Z;b;28934929-m1bas39g4;;1990-10-23T14:50:17.6+01:00;17,40;2004-06-10T20:51:18.6+02:00;;;;2009-08-24T05:22:23.6+02:00;NZD;28934929-;28934929-
28934929-;Z;f;28934929-2r6;;;;1992-05-04T06:34:15.6+02:00;6vďtógbůg5ýqtlylóoyev49ýfbhťóu27rťn35ťům3šlóukktleu;;;;;28934929-s8lfnwt;28934929-
28934929-;Z;;28934929-;;;;2014-04-27T01:21:40.6+02:00;v32mjuújúeí93pi1čóo8;;;2003-07-09T09:18:30.6+02:00;;28934929-tm8;28934929-
28934929-;Z;;28934929-;17,28;;;2015-05-29T00:31:40.6+02:00;;;;;;28934929-;28934929-n9x11ca
28934929-;Z;f;28934929-;5,55;2014-03-13T19:06:17.6+01:00;;;;5,87;;;;28934929-h0i1btdoyny3k8rq;28934929-
28934929-;Z;k;28934929-;;;;;bgm0íeé4ýmť8o3xbf4ělě1jáťxtbvcc3ílk5;;;;;28934929-;28934929-
28934929-ewrbi8rh8l0un;Z;;28934929-;;;;2008-11-03T00:58:23.6+01:00;;15,77;;2007-07-29T03:47:19.6+02:00;;28934929-3vvu62urep73444we158;28934929-aof73krm6idbkl
28934929-kwujr8vexu;Z;g;28934929-;11,11;;;2000-01-04T20:44:42.6+01:00;;;;;;28934929-;28934929-
28934929-;Z;;28934929-2cm2yc0xoxite5;2,36;;;;;;;2014-12-23T09:36:59.6+01:00;AFN;28934929-;28934929-
28934929-;Z;;28934929-;;;;2008-09-10T04:23:56.6+02:00;;;;;PYG;28934929-;28934929-tdva7f24jyj5cx
28934929-;Z;g;28934929-;18,26;;;;čy7u4ř;;;;EUR;28934929-;28934929-
28934929-;Z;;28934929-;;2011-02-25T08:58:09.6+01:00;;;;5,12;;1999-08-13T00:15:16.6+02:00;;28934929-;28934929-
28934929-lbe9u2cn;Z;d;28934929-;16,56;2016-09-03T00:04:40.6+02:00;;1995-04-08T16:42:16.6+02:00;;15,72;;;SRD;28934929-hiwghiy0n0p679bb;28934929-ftuap636dw65lssut4
28934929-;Z;;28934929-v4002tc7yxpvfqhlr6;;1997-11-08T18:24:57.6+01:00;8,10;;;;;;;28934929-;28934929-99i3isf0qn1mkjm
28934929-a9rcm2tf;Z;;28934929-;;;;;;;;;;28934929-;28934929-
28934929-;Z;;28934929-;;;18,03;2006-03-08T23:17:08.6+01:00;ýyb0óďdgá5v9ajicěčbuhhxgš938nhw4ók;10,77;;;;28934929-bkxydq862y9uyrri54sxus;28934929-
28934929-cgq03x2cfaw;Z;;28934929-ib2tr2xo;;;5,68;2002-04-03T12:58:42.6+02:00;;;;2011-12-31T00:42:24.6+01:00;;28934929-lap35ow;28934929-fshteit12y1xpop
28934929-;Z;;28934929-6868f2gllb8ekhv2k;18,99;2009-03-29T04:54:57.6+02:00;6,91;;šrj33slh57uxgýfďď8np60raáčťrďďbinq;;0,60;;ECV;28934929-8ffl1b569umooqgqcl;28934929-
28934929-;Z;;28934929-5kycbm9yo;0,01;;9,42;;éiiífvř2c71;1,33;;2008-03-15T16:13:07.6+01:00;;28934929-;28934929-ka597oc1e8
28934929-;Z;;28934929-;;;3,79;1991-04-29T16:56:51.6+02:00;;;7,39;;;28934929-;28934929-
28934929-;Z;;28934929-;4,28;;;;;;10,74;;ZWN;28934929-68abdyhutaut2gwhbn09u;28934929-96uxgy
28934929-;Z;;28934929-;;;;;dggíoď9qí9ť9u5óěimlíióeíáa;;;;;28934929-5q6td9u4iw;28934929-he67cxb9dp58xqqj6k7o
28934929-;Z;;28934929-;;2013-10-20T17:02:17.6+02:00;;;;8,18;;1997-08-16T21:40:27.6+02:00;;28934929-;28934929-
28934929-;Z;;28934929-;9,71;;;;;;2,91;2007-01-06T13:06:11.6+01:00;;28934929-;28934929-6baxys76ruh8kq
28934929-;Z;;28934929-;;;;;;7,07;;;BAD;28934929-;28934929-6h7ljbabmykhn9gg
28934929-;Z;a;28934929-;;2017-05-09T03:46:14.6+02:00;;2012-09-20T10:36:40.6+02:00;;;;;;28934929-8rl30ag;28934929-
28934929-;Z;i;28934929-;;;;1991-04-02T04:20:54.6+02:00;;0,34;10,41;;TRL;28934929-;28934929-y2tyjqof
28934929-;Z;b;28934929-;;;;;;;6,47;2004-07-01T14:06:51.6+02:00;;28934929-jc0nnt3;28934929-7hp
28934929-;Z;;28934929-;;;14,57;1999-01-10T01:34:17.6+01:00;;;;2011-01-20T19:58:07.6+01:00;;28934929-;28934929-
28934929-;Z;;28934929-;;;;;9tísfšuv72u7áíó8šóxránbasqk23uůóéaa9áu;;;;;28934929-;28934929-
28934929-33a1trl8gehy633iw9e;Z;;28934929-;12,64;;;;ůhiťdg4čpvé1sújm3x4m3cú9x5ě;;14,47;2001-05-08T09:37:50.6+02:00;;28934929-;28934929-h0e495tv8ikgs
28934929-;Z;c;28934929-;;2010-06-30T08:43:01.6+02:00;;;;;;2015-08-02T04:29:49.6+02:00;PLZ;28934929-;28934929-wps2u40
28934929-;Z;h;28934929-;17,53;;;;yry23c7bmq9glqq6ú;9,37;;1992-03-01T21:47:38.6+01:00;;28934929-;28934929-
28934929-w6gvy;Z;;28934929-;;;;;;13,22;7,43;;;28934929-;28934929-
28934929-;Z;i;28934929-;15,86;2011-03-07T10:52:00.6+01:00;17,30;2007-10-23T10:50:58.6+02:00;é3wáěšýmj6ddbbďtyks5tr8ů7xfšýťčnw4x9ka0ičý77útlj;;15,48;1997-09-24T05:03:07.6+02:00;;28934929-;28934929-
28934929-;Z;f;28934929-;;;;;n5pdšěryšl6btp6ťvlč0coó9qqwď7dqúýqcwtbůd9cď;;;2006-12-14T15:22:59.6+01:00;RUR;28934929-;28934929-
28934929-;Z;;28934929-tdxt0s;3,29;;15,39;;míd2r34pš0ď1;;;;;28934929-v64t;28934929-
28934929-;Z;;28934929-uwmm2upyxym75dir;6,30;2007-05-22T19:32:06.6+02:00;5,16;;;3,81;1,36;;;28934929-ol9lnta7r;28934929-
28934929-;Z;;28934929-;14,54;;2,85;;jnk57uéo65i1ýěšysé6yťuě;13,51;;;CHC;28934929-;28934929-
28934929-n78yi16p5y;Z;g;28934929-;;1995-01-19T07:27:45.6+01:00;;;;;13,35;;;28934929-;28934929-
28934929-a26j8hpbi3;Z;;28934929-dq93xa77matb;;;15,62;;;;;2013-05-03T09:34:15.6+02:00;;28934929-;28934929-wlsr8kj7p44i0ejjcy
28934929-;Z;d;28934929-;;2015-06-17T21:13:27.6+02:00;;;;;;;CAD;28934929-;28934929-
28934929-;Z;b;28934929-3tgg05nlh20rkv;11,71;2004-12-07T06:43:29.6+01:00;;;;8,67;;;;28934929-;28934929-
28934929-;Z;f;28934929-;;;3,03;2002-03-05T19:07:34.6+01:00;;;;2010-11-22T06:47:54.6+01:00;ZAR;28934929-7y4r1r5957pr13dqw0ws24;28934929-
28934929-;Z;g;28934929-blr56li12c1c58d82ri;14,67;;5,08;;;14,55;8,59;;;28934929-;28934929-
28934929-;Z;;28934929-oa9gst5kahkmkww;;;11,51;2005-08-14T18:59:16.6+02:00;9lelúmůíbúttálšwfdx9nqšýn4n9ěsč4t0iašfjw;10,43;;;;28934929-;28934929-xiom4dx5h8vv5fcr
28934929-;Z;;28934929-;;;;;šjnuřěmolúfůfšgč29xťfv4ěaěg4o8láiuswv5áodřěámď6;;17,75;;;28934929-;28934929-
28934929-;Z;;28934929-;;;;;;;;;RUR;28934929-;28934929-
28934929-;Z;;28934929-no2od60e89ic45bbqblp90;;2013-01-09T18:57:41.6+01:00;;2018-10-03T05:21:33.6+02:00;;;;;;28934929-;28934929-qc0
28934929-f7iew1a8kqugv;Z;d;28934929-4d87lqk8kwbid8t2rqdf0;;;;;p5bqůačšm;;;2020-09-17T13:26:31.6+02:00;;28934929-;28934929-
28934929-4lg;Z;;28934929-;11,84;;;;3dtymá38fa7tg0ýďg7ígvowlc;;;;FIM;28934929-;28934929-
28934929-;Z;f;28934929-;11,08;;;;;10,86;;;;28934929-;28934929-
28934929-h35bval3jug5w9ldgdq;Z;;28934929-;6,41;;;;hfl0ng37ěbi0mhůj4ořů2ypď2ýx0ifsýýmxu1ůd5hý;;;1993-01-24T02:12:53.6+01:00;;28934929-;28934929-gmvnnpta
28934929-b05c01n;Z;;28934929-;7,24;2006-04-16T00:50:51.6+02:00;5,83;;;;;;;28934929-puo8n3iwc3nhnmch;28934929-
28934929-;Z;j;28934929-;18,47;;;;;;;;CSJ;28934929-;28934929-
28934929-;Z;;28934929-ws1jvgc;;;;2009-08-06T14:55:22.6+02:00;;;;;;28934929-;28934929-
28934929-;Z;i;28934929-;;2007-12-23T09:34:26.6+01:00;8,40;;;6,53;;;;28934929-t0xdp12;28934929-
28934929-;Z;;28934929-;9,22;;17,00;;;;;;;28934929-1jdu28s60lgyd2gfnr5g;28934929-
28934929-;Z;;28934929-;2,44;;;;aaďtťsq9m4dliú9ótěqšk1opflm9x3akaxmm1ntdoý8;5,56;;;;28934929-;28934929-
28934929-8o20eb3goactt7i2xiv4;Z;j;28934929-;;;;;2whv9ýqg9jučěéxcičax2lm5q8itď;;;1992-07-01T01:57:32.6+02:00;;28934929-;28934929-
28934929-;Z;k;28934929-;;;16,97;;;;16,60;;;28934929-bno48222vw6a5so0thcbe5;28934929-
28934929-;Z;;28934929-;;2020-01-17T17:11:31.6+01:00;;;;;17,50;;;28934929-930qwxu6ygrmrgv8;28934929-
28934929-prah4hqykra66;Z;;28934929-;;;;;;6,93;;;;28934929-;28934929-qbv3f13ouitsf8kaudxnc
28934929-;Z;;28934929-pya1dbmv2l3p0sduak2gui;;;;2017-08-03T16:16:02.6+02:00;;;11,82;2019-06-11T14:15:31.6+02:00;;28934929-;28934929-x32icy7e7wa0kca
28934929-y6p6akmj5uiw;Z;;28934929-;;;;;céqěeiááé8éúýll2llůmbtďhímaríý10baůkcyčtmwáv;11,76;;;;28934929-;28934929-se7x7ix7
28934929-;Z;;28934929-;;;;;;18,80;;2000-05-15T06:41:37.6+02:00;;28934929-;28934929-t1nf5ed5n
28934929-uqiva;Z;;28934929-vmks;;1990-07-22T08:57:59.6+02:00;;1990-03-14T05:08:56.6+01:00;9iřpfůtýtěj5sořdwl5;5,38;2,11;;PAB;28934929-8hgu070ib01akum7;28934929-cvoenye
28934929-;Z;;28934929-;15,80;2017-03-28T19:06:08.6+02:00;14,14;;;;;;;28934929-15ecelq1wxh;28934929-
28934929-;Z;h;28934929-;;2016-04-14T01:48:45.6+02:00;;2018-01-27T02:37:33.6+01:00;32lšďu5lúxw3m4qřéťauďnaanýfwďlg7šlvcfac2y0;11,79;16,64;;CLF;28934929-;28934929-cdydqeji2o1
28934929-;Z;a;28934929-cpock4oj1oy0h;;;;;;;;1992-08-23T13:51:17.6+02:00;;28934929-;28934929-
28934929-;Z;;28934929-q8blu51yu;;;0,16;;xběa7ccb877ťbnt143h65i74ďrfřýúká5yg935ďxvýýé;14,61;;;CUC;28934929-;28934929-8isw0qndtf00dy2w
