#28934929-V-2019061208-Z-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-;28934929;;8,88;-4709468;;;2013-03-19T14:23:34.6+01:00;1;SRD
28934929-mshp;28934929;;;;;;;;FRF
28934929-;28934929;;12,60;;;;1994-11-25T12:12:44.6+01:00;1;MGA
28934929-;28934929;a;;-39601913;-2421375;;1996-03-11T19:16:46.6+01:00;;TRY
28934929-;28934929;;;-12970766;;2004-05-17T07:50:27.6+02:00;;0;
28934929-6a0;28934929;;;;-82481260;;;;
28934929-;28934929;d;;-73846833;-36395396;1995-07-29T07:43:25.6+02:00;2003-04-27T11:30:23.6+02:00;;LBP
28934929-;28934929;;7,95;;;;;;
28934929-;28934929;a;;;-71757423;;1998-02-06T06:02:58.6+01:00;;
28934929-96o3;28934929;;;;;;2003-06-17T07:35:35.6+02:00;;
28934929-;28934929;c;;-152207;;;;1;
28934929-;28934929;a;8,23;-68324210;;;;;
28934929-;28934929;a;;;;;;0;EUR
28934929-;28934929;b;13,99;;;;2012-02-01T17:32:17.6+01:00;1;
28934929-;28934929;d;11,18;;;;;1;
28934929-;28934929;;;;-74061626;;1994-10-25T03:36:05.6+01:00;;
28934929-kxdwc1;28934929;a;14,31;;-33911642;;;1;
28934929-;28934929;;;;;;;0;
28934929-v0s5sx3691f1n;28934929;;;-83700340;-87032923;;;0;
28934929-;28934929;;;;;;2005-02-15T04:20:11.6+01:00;;
28934929-;28934929;;1,28;;;;;;
28934929-;28934929;d;;-26831572;;2015-04-08T05:40:16.6+02:00;;;
28934929-s9rh2yui77k3jrx5;28934929;;;;;;;;
28934929-;28934929;;;;-52419199;2009-06-25T03:58:16.6+02:00;;;
28934929-;28934929;;9,55;-32029891;;;2016-05-11T03:21:46.6+02:00;1;TPE
28934929-;28934929;b;;-98673041;;;;;
28934929-;28934929;;;-71865786;;;2001-08-06T17:24:48.6+02:00;;
28934929-;28934929;;13,90;-49802288;;;;;
28934929-ul0tjrftqke7usj2l;28934929;f;;-44417904;;;1998-06-27T02:15:14.6+02:00;;
28934929-;28934929;;;;;;;0;CZK
28934929-;28934929;;;;-67945153;;;;
28934929-;28934929;;;-84223471;;;;;
28934929-;28934929;;6,81;;-6389858;;;;BYB
28934929-;28934929;ap;13,80;;;;;;GEK
28934929-;28934929;;;;;;;1;
28934929-;28934929;e;;;-30408803;;;1;
28934929-;28934929;;;;;;;;
28934929-p38gpvvcl05k;28934929;b;;;;;;1;VND
28934929-;28934929;;;;;2012-09-03T13:24:11.6+02:00;;0;EUR
28934929-;28934929;g;4,95;;;1995-11-22T17:23:28.6+01:00;2020-04-02T20:15:20.6+02:00;;
28934929-;28934929;;;-20694089;;;2010-10-22T00:34:39.6+02:00;;RUR
28934929-;28934929;;;;;;1993-09-11T02:30:39.6+02:00;;ANG
28934929-;28934929;;;;;;;;
28934929-5psusukahb1olbd;28934929;;;;;2018-01-27T05:26:48.6+01:00;;0;PEN
28934929-6h41a9xcrmme0gp;28934929;;;;;;;;
28934929-;28934929;;;;-57275013;;;1;
