#28934929-V-2019061208-B-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-abk7ny84gam;28934929;28934929-wt5ycyxfnt4hkfpp6d8um;B;8,17;2018-10-24T19:35:12.6+02:00;;28934929-
28934929-;28934929;28934929-adrkbw4ivafx;B;8,69;1991-03-09T18:23:35.6+01:00;VEF;28934929-
28934929-lats;28934929;28934929-;B;7,10;1995-08-29T05:38:21.6+02:00;EUR;28934929-
28934929-;28934929;28934929-;B;10,51;;;28934929-
28934929-;28934929;28934929-dishj5j06evlqsx03j07yw;B;;;EUR;28934929-gfrt2udlc0587h1cv2ccg
28934929-sx5mpjeodp;28934929;28934929-8mx1f9l;B;;;;28934929-
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-mre9l9i;B;14,24;;;28934929-cilxy
28934929-qono2aj85jlo0kdau4ds;28934929;28934929-;B;15,65;;;28934929-
28934929-;28934929;28934929-;B;;;;28934929-a2ugti
28934929-;28934929;28934929-;B;9,09;1996-01-18T17:21:15.6+01:00;;28934929-vg2sc938yu7qdo
28934929-;28934929;28934929-;B;;2002-01-12T09:53:37.6+01:00;ARP;28934929-
28934929-;28934929;28934929-;B;;2000-07-12T19:49:55.6+02:00;XOF;28934929-
28934929-;28934929;28934929-;B;;1999-04-27T23:40:56.6+02:00;NZD;28934929-qf0l770b9q76j7pfp
28934929-;28934929;28934929-gwyl90iq46be49u3b3ve;B;;;;28934929-xxhrvq8fb65po
28934929-;28934929;28934929-;B;11,54;;;28934929-
28934929-2v81scivpt62bttap;28934929;28934929-;B;;;LBP;28934929-
28934929-rr7uklvuxoh43bu2sd;28934929;28934929-;B;19,08;;;28934929-vv0cq3t6d5b9omttq3jkol
28934929-d8kfmy6;28934929;28934929-4xlc4ht5qpbt0f3i;B;;1998-08-09T07:28:41.6+02:00;;28934929-ymvlj0wt4gct90
28934929-495p23npj;28934929;28934929-7gn6xsa97djqx22b;B;;2013-10-29T23:45:44.6+01:00;;28934929-
28934929-erkr;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-;B;;2015-04-07T09:25:02.6+02:00;FJD;28934929-
28934929-yan6u8a;28934929;28934929-;B;;2016-06-05T18:13:17.6+02:00;;28934929-hhkw6c
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-x1lxpxhldgevav3o10kwtf;B;3,03;2005-11-29T03:02:35.6+01:00;;28934929-
28934929-9yho90os6siieuuuo;28934929;28934929-23yvq280ktpyquc;B;;2013-02-04T07:20:52.6+01:00;BOB;28934929-
28934929-;28934929;28934929-;B;;2017-01-13T21:57:11.6+01:00;XOF;28934929-ngmaeqy0tly4lj
28934929-;28934929;28934929-;B;;;MTL;28934929-
28934929-;28934929;28934929-;B;;2007-02-11T06:31:48.6+01:00;;28934929-8sr
28934929-;28934929;28934929-;B;;2001-03-31T16:24:37.6+02:00;;28934929-
28934929-w88pdkosdlm928doyw;28934929;28934929-;B;;;;28934929-7krhjwr22b7bndv5h9nwg
28934929-;28934929;28934929-;B;;;;28934929-hpskyelu3py7hp1c
28934929-byofgtkp59jidqfcjw6;28934929;28934929-wjwbj;B;;;;28934929-
28934929-1nct3xy1r;28934929;28934929-;B;;;FRF;28934929-
28934929-yohc6ycjvcqjx9n4u9i0;28934929;28934929-tjqk4o61rd5rdsrhb2ly;B;;;;28934929-elkf4n
28934929-6hrita6wqnmc;28934929;28934929-;B;;;;28934929-v2k2dwa69f0
28934929-;28934929;28934929-;B;19,04;;LYD;28934929-
28934929-;28934929;28934929-;B;;;GWP;28934929-
28934929-ne9jrhg;28934929;28934929-;B;7,24;;;28934929-su28c3qvdlerbgwqom
28934929-by2wunsy0ntxji;28934929;28934929-v48b4wktp2rb0s895d;B;;2008-08-29T18:22:45.6+02:00;;28934929-ieexk
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-mp5;B;;;NZD;28934929-
28934929-;28934929;28934929-;B;;;ANG;28934929-snl55j2yy0pcgapk44
28934929-rg76sswbnti5hm6r8g0w;28934929;28934929-523brodxkslpldgv;B;8,14;2000-07-31T03:58:06.6+02:00;;28934929-
28934929-;28934929;28934929-;B;;;;28934929-84470jkf81kwxlen69y
28934929-;28934929;28934929-;B;;;;28934929-dr93e
28934929-;28934929;28934929-;B;;;XOF;28934929-0ukc9rpijpmy4ttbsbf7
28934929-5sfa31kgdnj2o;28934929;28934929-;B;;;;28934929-dp7xa20u6uwhg00k
28934929-8y38u;28934929;28934929-;B;;;;28934929-pj3ql9fkfv
28934929-;28934929;28934929-ruwolsub;B;10,96;;;28934929-
28934929-;28934929;28934929-;B;;1996-05-13T16:57:14.6+02:00;;28934929-bj8ewbf5ss286
28934929-;28934929;28934929-;B;16,01;;RWF;28934929-
28934929-;28934929;28934929-;B;12,89;1997-07-31T17:54:30.6+02:00;FRF;28934929-
28934929-6kdokq1vok3c;28934929;28934929-;B;10,80;;;28934929-rdrek1v4yt5vg6
28934929-;28934929;28934929-1kyidy7;B;6,43;1999-09-06T01:25:17.6+02:00;;28934929-k709qs1
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-;B;15,19;;;28934929-
28934929-;28934929;28934929-;B;;;;28934929-
28934929-56edoq;28934929;28934929-hp66tt;B;;2016-09-07T17:52:42.6+02:00;;28934929-pkew
28934929-;28934929;28934929-a6t;B;;1990-08-16T05:04:36.6+02:00;;28934929-
28934929-hkt9br848qdaobivmx;28934929;28934929-;B;4,76;;RUR;28934929-
28934929-;28934929;28934929-iyg;B;;;;28934929-
