#28934929-V-2019061208-B-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-lbx29s5d5;28934929;;3,00;;;;2002-03-29T07:40:47.6+01:00;;
28934929-;28934929;;10,97;;;;;;PEH
28934929-;28934929;c;;;;;2013-07-07T19:05:56.6+02:00;0;
28934929-;28934929;;19,23;;-36782649;;;;SYP
28934929-;28934929;d;;;-78105802;2012-09-30T05:29:29.6+02:00;;;BDT
28934929-;28934929;;16,09;;;2014-11-26T01:33:42.6+01:00;2017-09-15T16:22:48.6+02:00;;XCD
28934929-;28934929;;;;;1997-03-10T09:47:39.6+01:00;2016-08-28T01:30:08.6+02:00;1;
28934929-wiosed4o5xopv1;28934929;;;;;;;1;
28934929-slvn;28934929;d;11,31;;-27981494;1991-04-08T06:30:58.6+02:00;;;
28934929-b1j4x7e;28934929;f;;-93787460;-40644119;;;;
28934929-8r74fgj7mnqevkjvd;28934929;d;10,88;;;;;;
28934929-;28934929;;19,70;;-56655985;2020-04-28T00:18:49.6+02:00;2003-06-30T12:40:27.6+02:00;0;XPD
28934929-jugl873sd8y45hadalu2;28934929;;;-78609627;;;;;
28934929-;28934929;;;;;;;;
28934929-;28934929;;12,53;-62948924;;1995-06-24T01:18:47.6+02:00;;;DKK
28934929-;28934929;;;-13269148;-17735510;;2013-01-21T03:01:30.6+01:00;;XAF
28934929-fb3dr;28934929;g;;;;;;1;NGN
28934929-;28934929;f;;;-43834313;;;1;XAF
28934929-;28934929;;1,20;;-35967780;;;;BOV
28934929-;28934929;;;-28111003;-19345695;;;;ILR
28934929-;28934929;;6,53;;-15283380;;;;
28934929-;28934929;;;;;;;;
28934929-;28934929;g;15,00;-89411675;-70787317;2019-07-04T16:48:58.6+02:00;2018-10-10T22:52:09.6+02:00;;
28934929-kntt2g9t;28934929;;;;;;;;USD
28934929-awbe9ltojv8j3yku;28934929;f;15,25;-79308622;;2003-02-26T21:13:02.6+01:00;;;
28934929-;28934929;;6,27;;-99483950;;;;
28934929-;28934929;a;;-78516541;-21808808;;;;
28934929-;28934929;;0,82;;;;;1;
28934929-;28934929;;;;;;;0;
28934929-;28934929;ap;5,69;;;;2021-06-14T00:51:07.6+02:00;;
28934929-naf5j52hmg;28934929;;5,82;;-6313338;;;1;
28934929-;28934929;b;;;;;;1;
28934929-;28934929;ap;;;;;;1;XCD
28934929-;28934929;;;-64913958;;1998-05-24T09:16:58.6+02:00;;1;
28934929-;28934929;d;11,20;-70627477;;;;;LSL
28934929-5ar4apcv8s8l4u63b7;28934929;;;;;1993-07-12T16:51:08.6+02:00;;1;
28934929-;28934929;ap;;;;;;;
28934929-4m2ivlm4u2goh;28934929;;;;;;2001-10-06T04:39:19.6+02:00;;
28934929-;28934929;;;;;;;;XOF
28934929-;28934929;g;18,67;-19872708;;;2017-03-30T06:17:37.6+02:00;1;LTT
28934929-;28934929;;;-72162888;;;;0;GNF
28934929-;28934929;a;11,36;;;;;;
28934929-d2mh;28934929;;;;;;2008-08-22T21:44:26.6+02:00;0;GBP
28934929-;28934929;d;;;;;;;USD
28934929-iau0wk51fm6cemk;28934929;d;;;;;2017-04-09T08:04:09.6+02:00;;
28934929-;28934929;a;14,74;;-63903153;;;;
28934929-;28934929;;;-60015524;;;2014-02-21T21:56:53.6+01:00;;AZN
28934929-;28934929;;7,48;;;;;;BGK
28934929-;28934929;;;-13017879;;;;;
28934929-mm9bxcuxre;28934929;;9,42;-70282345;;;;1;
28934929-;28934929;;;;;;2018-06-06T03:48:43.6+02:00;;
28934929-;28934929;a;;;-48666315;;;;
28934929-ofw;28934929;;;-18866988;-72067855;;;0;
28934929-;28934929;;;;;;2010-12-02T11:19:02.6+01:00;;
28934929-;28934929;;;;;;;;
28934929-;28934929;;;;;1991-03-16T04:07:49.6+01:00;;;
28934929-;28934929;;;-15918649;;2004-07-31T19:58:56.6+02:00;;;LKR
28934929-;28934929;;6,33;-80151201;-99793937;;;0;
28934929-;28934929;;;;;;;;
28934929-;28934929;;;;;;;;
28934929-;28934929;b;17,81;-77155635;;;;;
28934929-;28934929;;;;;2005-09-30T13:43:43.6+02:00;;;NAD
28934929-;28934929;;15,44;;-79944273;1994-02-02T06:17:32.6+01:00;;;ESB
28934929-;28934929;;17,73;;-72869448;2012-09-08T09:15:52.6+02:00;;1;
28934929-;28934929;b;0,38;;;;;;ZAR
28934929-;28934929;;;;;;1994-03-28T13:30:28.6+02:00;1;
28934929-;28934929;b;17,69;-57150408;;;;0;
28934929-lu4f0tal2m;28934929;;;;;1994-10-21T15:22:14.6+01:00;;;
28934929-;28934929;;;;;;;;
