#28934929-V-2019061208-B-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;ráasimnřwšnlujptu0aóřt0rovúáqvakmeťůťrť0fk5řás;;;28934929;2013-11-16T02:47:21.6+01:00
28934929-;pj0rlš7meqjáfhd1č1uýu8xpkámďfčic0íkťgá;R;h;28934929;
28934929-;;;i;28934929;
28934929-67boin;íwtuýóťcí7h04wčwtgvý7qyu3ěěh;;;28934929;1992-08-02T03:21:51.6+02:00
28934929-;;K;;28934929;
28934929-0wybmoy4p64x0jetxq03o7;wqěťb2at;T;d;28934929;
28934929-;;;g;28934929;
28934929-;;;;28934929;
28934929-n8l98suuptn4hkebnpfu;;;;28934929;
28934929-;fuše0gtmqjv59wvlérú3wúxhbě0š8g6nó2d84aěú;;;28934929;
28934929-5m13p0;;;;28934929;
28934929-odm1al6;;R;;28934929;2017-11-24T23:04:22.6+01:00
28934929-32af07onmtjdt11;;;j;28934929;1994-08-24T10:03:01.6+02:00
28934929-;gbpgeběhtínůě4ťhfšýl1oocůé;R;;28934929;
28934929-b60x4nri3m5tmyb;;L;;28934929;1992-10-14T05:38:17.6+01:00
28934929-;;;e;28934929;
28934929-;;B;a;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;h3ťůšhené4jógř8l6uťťčé;T;c;28934929;2016-01-06T02:43:53.6+01:00
28934929-k948d1by;;K;h;28934929;
28934929-;;;;28934929;
28934929-;etř79řu8á0e6ďícxgvcaéěyůvmocd;;;28934929;2019-02-04T15:10:53.6+01:00
28934929-b2x8ncvuiin;;;k;28934929;
28934929-um71ea4cc;;;h;28934929;
28934929-;é2r8lrěl2yíe1tmlčršaácoóoxlmť6368ůčšl8šyůďxé;;;28934929;
28934929-;;;h;28934929;
28934929-5nk;;;;28934929;2005-02-07T04:26:57.6+01:00
28934929-;;;;28934929;1994-09-25T05:22:17.6+01:00
28934929-;;;;28934929;
28934929-;;;f;28934929;
28934929-;;B;;28934929;2009-12-04T07:36:24.6+01:00
28934929-;;;;28934929;
28934929-;;;;28934929;2016-05-24T00:30:50.6+02:00
28934929-7c8p46l76aguhqnsksyd;lěevlopů0rsť6p9rš4qxp89mco;;;28934929;1995-12-25T22:00:32.6+01:00
28934929-;ďafvbqmxlníqxbpěfěbyťj7cngč5ýfn3vecúčó7d1rp;Z;;28934929;
28934929-uub2227tl3k;;;;28934929;
28934929-;;;c;28934929;
28934929-;;;;28934929;
28934929-;;T;;28934929;1991-11-09T02:24:02.6+01:00
28934929-;3rbiilféďnyú7xisů5š6cfjóťfaěě8ď;;;28934929;2015-11-06T03:54:49.6+01:00
28934929-;;;;28934929;
28934929-;ýdgh;B;;28934929;
28934929-;;;g;28934929;
28934929-uwkv24tlvcc;;;i;28934929;2000-09-20T19:10:12.6+02:00
28934929-hw9mid84kofk11fxag7q;;;;28934929;2001-01-16T09:15:43.6+01:00
28934929-;ibaaywao1cěíť0hbšúj3hk;;;28934929;
28934929-;;Z;;28934929;
28934929-;aávďhxmvoěéýúj0déiě52ó24jtýavsdib9wťék2j;B;;28934929;
28934929-;;T;;28934929;
28934929-94u5sfr9lnn92krkrb;;L;;28934929;2011-12-01T04:27:59.6+01:00
28934929-;y7švtéť3dg9hú0ýěičáqďhsi5oxxúcóókm5út9;;;28934929;1996-07-30T04:31:24.6+02:00
28934929-rckck23m9y0i2wp;ěáwm892ůďv6lúcvďpdc5í8ybťé5qč;;e;28934929;
28934929-;;;;28934929;2004-08-31T20:15:06.6+02:00
28934929-;;;;28934929;2012-07-25T04:58:58.6+02:00
28934929-;;;;28934929;2018-07-09T17:46:25.6+02:00
28934929-;;;;28934929;
