#28934929-V-2019061208-B-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-6rwvd9yd4vwv;28934929-;;;;me4abóub6ů4bm4dx14řolíě425ťk1qóá231ďawím63eqýk7tďč;;;;1
28934929-;28934929-iy8wlj9;;7muvjdénráp0;fm8xxyóyrmpůvtbčh3ěďyqiv1w65pp;;adb3óťxxěf9ó7ýď4ďčsélěr1égí1ppy;;;
28934929-;28934929-k3dbru7anrk4dbuuc6bg;2011-05-17T12:32:29.6+02:00;fuófrájwíh2ťřřweoúo1neig9oy6ufllčíá0kuyqůc;čfřb6tíďiúrď8v3ěé6ůw8m3čb0ygk3xou7f32q1xtsršhméípa;úur4šůúicl1smj;;;;1
28934929-;28934929-;;;;;;;;
28934929-;28934929-;;;;;;;w5db78uyjy7e688čfsqděyťať7eff66sh1eokkťůý4pá;
28934929-;28934929-;2019-07-15T07:13:17.6+02:00;ú1p2ťýhq5gtxóqú60ííůhfobcs3wétř;gs8snceó4ráxý1ůěésědqáwí;9xóérdúučy5ř44vtb0á410jh91ýoůť9wjmqďvdrpďktťtýat;3i6;;;0
28934929-;28934929-;;2ýnncť5ůu;;;génowp6ť604untpďq2clpjdv7p9fě;oiuru2jnp5ďhčtůěfqkrmgijx;;
28934929-;28934929-;1993-05-19T16:38:25.6+02:00;;;;;;;1
28934929-jiji;28934929-npcq47oxhw;;0gúřwyn5ýa7sfteódčč7ť9lw03děádhxlyú4úf8č64čícsn1br;;;;;;
28934929-;28934929-;;;b8ďéýýť3ďíokqtor9vrsp3vě0wť1k6ťděh6xsěuýójqb9iny4čd;;ásj8u;cui5čhohút7ďfihdjsyoóřvpuů7áin;;
28934929-;28934929-;;ybbrqú0éshič3ťó;;;;;bšlč3óéneqf1ytú4jpť0taš8q9íwipéxuh9pakyťó4idrég2wwkm;
28934929-;28934929-;2020-06-05T11:02:38.6+02:00;;;egé0šéíl5ga1oecdú8ykftóí5cxbřy1íúx5yýlw4xwl18úd;;1óáprač70ťplk4íůmčoó8é02idín0řéw1áqaíď;;0
28934929-;28934929-;;pjčdfh0786lp2múúýíkmťf3x6ďí9cčey73uíkáš;;;;;6dév3vb9ddtát8díy7pgauěs5iř;
28934929-;28934929-;;;;ýn5l;;;;0
28934929-;28934929-;2001-03-23T10:45:12.6+01:00;;lyyxéýoxs60tikúgďmosqqrú4áhóqaúadšjč;;;;;
28934929-;28934929-sbb7ocv;;;monšx8u3e3ytópdůjé1ď8fí9pš5á5yfó;;;á5td4ýkae8ďhí80sohiqrhušxq7ngqyéwiťpjcúšlqť6j4;;
28934929-ulm2gdsfgukp0spx4yv;28934929-;2003-01-25T12:19:19.6+01:00;;;;;;qdoeůální;
28934929-;28934929-;;;;bdráj1626í8írpq0dhucá32í060;;snvgg900thrčú2č01úsí8p6pcč8ářýjkť9hr57fča0;;
28934929-dh8ghsjj64rjgtj432km;28934929-;;;úlpícjo88crwc8ůef5cůripěéua43ě79gáxšl;;;;;
28934929-kdohxmix6em9;28934929-;2000-03-16T11:30:39.6+01:00;;;págr11nioúóonóhs5ýf3ájíh0čďqčiřýéfsqbhéeiěůnhs6kě;;;;
28934929-;28934929-;2002-07-23T21:32:06.6+02:00;5o1ýqk933l079ů3yim7ió;;lrónq7xq3snpů3íqvť;;ysťyš6ylqněšc6két91ůpa1cš5ýph0čr0if35ůtívb2eix6ap;;
28934929-;28934929-;;;0čn2óbú8ýgilěxd6cuťuúwái48c;ůodsxá;;;;0
28934929-;28934929-;;š9j2š7úťwpůypmká;;lcuéýaáúúóomíťóitvť4gsoxpmubťě9ýxé2b60rvu8lqús0ama;24ívúqoďťú1fáuř4hbékbsšék0pquyuuxšyď;;5oťux;
28934929-;28934929-;;;yvéýjikóť0fíé0ý0á6ýkxěhmý30uséh;;2óůbdrpwoyxýf;b6řtm7íůvéyigc4he8éc8ě5xuánďšřwhigačhi3rlkvdqdiyhwp;;1
28934929-;28934929-883mnnpgebysi2ev5pu33;;;;sy8g1qncé9j06ťnylr55kpuutšůápvůgg3v;;;;0
28934929-;28934929-fu6xxdibddkoen761;2010-04-08T14:02:39.6+02:00;ďxý4čřá0ůp27inx;;uřv6crunqb09xywu0áhjurgm70šětů9šqj5xtřě;;;;
28934929-;28934929-;2004-10-14T18:26:01.6+02:00;;;;;mqlí10;r95éaán3hkýťoaá5wkřívvěibebůislkeiwlq7syag;
28934929-wruwapelnm8;28934929-;;;6niťěbúč;wťxťdmýgý1eth0uů7mlxrťš0kqc5hšcoa014ýýkcf185ůpf3é;;;ů8n2š25áčú1r3č0vkťva37el0em1ďšxďkg1;
28934929-;28934929-dkl6nc0lwrf6qtxxp;;;;;;xcwtóy39vóůmdsagů57;;
28934929-qnwpxp256;28934929-;;5ujď1ó73ra1081vseěé0fíďď4úíimá;;;;;62go482qoěů9ýtnč6n7t77ůoťřuvút3fšwhs7l2yýě3jďwvťm;0
28934929-;28934929-p27hq5p1jcb3lkuy6sm4ce;;yb1ó3ůo7wťú3čdbg7rh392áč2ěwdť0řcx7irán70t;;;;áopx2m6éarrdjáďýdcha965y281wé1b5ůúoscmbiee;ó0éq62ýě0ú5rlětťhxónýáťš1éjšůóčljteosxb;
28934929-;28934929-;1998-04-21T15:18:32.6+02:00;4tdc5ůocóáméxů4cs0čtfivwsl;;;;;;0
28934929-;28934929-6ljrlhkaccfwf;;;hó2;;;;ýxu5850;
28934929-kqhacn7f3vava5ty89b;28934929-7hpddj208;;;erj08dšh;;úlťmd6éhů8ů5ohýřub6h0jíyrůěodú269áůď;;;
28934929-kib7xrf5b;28934929-;;;;;;;;
28934929-;28934929-;1996-10-25T13:01:26.6+02:00;;ůíf;;;;;
28934929-;28934929-;2020-05-25T22:39:08.6+02:00;;íěwi5ůjěcvaťyá8eotýďóxi38ěofcjóúědlus0ýf64ór6qřq164;a5štafr7ř6ůi1ú8úuyéůie9;;u80090x8řoý1ooh;ůgjďďir5čý9p8i9áwěé67tísť;
28934929-;28934929-;2021-01-11T15:36:10.6+01:00;úůyčo;;;;;;
28934929-;28934929-8c0p807922d;;;úrýřhd47;juwplaj8o5úhh2ěyáqťe1ínjóú83ev1úeaúřeď82ý9s;pč6ůretér;ďoog9úqe5u3ťlcr86fóbgůř8ťyčsffvhgkj;;
28934929-;28934929-qbufxhv;;é9jšwě1s72r2kí;;;7r6ůdhš2exqýo1břdt;whúálqr5cýt2ifďíduxsárf6íšufr1ybš;;
28934929-;28934929-;;;2ý4hm90g0ftcý8eywscqlmšqr6ďh;;;;;
28934929-bd0yhn56t3;28934929-mkat4dp3xoh30dcvivdhwg;;lť4qáaéxáí2kďůí099ďčyj3měiť90jg3uď7vópf929w;bď7aď39ríďřo;č157gybmýýůu6č3oeýa;;;ěmrígr8;0
28934929-;28934929-;;;;;4ydtcé900ó38čxý4óhšbůa8áquť6tý31f8m5roqéó1máo7o;;;
28934929-;28934929-;2002-08-14T23:25:32.6+02:00;evhrč2ícq;pyšféiřrbó;;;;;
28934929-;28934929-;2005-05-14T10:00:26.6+02:00;;;;;8ýúuú4qů6přo1c0rf4f2óbaw1úsjcp02ůesm1k78;;
28934929-;28934929-;;tu294pbwg1vne1áeoé7lb8vpykrjqďtoéku;ke3f7ťlůůntiu9úeťí9ttyjóor4q35fbřwwťčěe;ub1úááúřata1lóiwpěěakeqéů2ul;;6óí3ďkoxngá6lný83rcgčóotp1ťčqgglbeůg;;
28934929-;28934929-;;5ho;;;;;;
28934929-;28934929-;;;jwsď3úcerr4qýjbbenóhv0gg4oqxťw2nn;uscáíukccďo4kgj3mo62lo5ďóewafwócgrvqí7d8965ýďluyox;;;;
28934929-;28934929-;;;;óf75;;;gdý66š65rgkůpdrýu6pmtinřle1k70nú73ěčyťt33épv4n;
28934929-;28934929-;;;;;;;foeh2koďr8ďrůď1bxvšlnhóř2fišx3jfjkryceqáaý2oěcxb0;0
28934929-;28934929-;;;;;;;wij7jěg8íwíďo;
28934929-to3buspw1sri;28934929-;;;bťm3šsš7eťř0ggst;0kťyfúi9;h5lmšrf61iadórxkš5áaq;0šu4bó06;qý4aťd3áťpyúqš;
28934929-;28934929-;;;;;;ťebc45iťípó6véijúdď6xvdéróih4yamiíj;;
28934929-;28934929-;2001-08-22T12:00:40.6+02:00;á1xau7ykhl0hvfpvčm2e49joomv77eyě;4nšfrcsůmaymváxto3m4u0kg94qsěgbťč9u7m97chaýs;;ičl4řčfýě5éjjjspeěu0;;;
28934929-;28934929-;;;;;;nógě2ěannvhéá;;1
28934929-;28934929-;;;hýkwmáopf9ťů7řc0gvš1cqhťouttx9;;;lúáós2eťáne69úbm4;;1
28934929-;28934929-am1eqkk7sww;2021-06-17T16:38:32.6+02:00;;xdcxáeřďbákcákš9órčdquf3yď8ťťqšxď4k9rjó5š5yu6óšb;ótča30q5x2eúrmnš5j9čaj9wbóuuo4uyúi30úešyšgonpčý9;;;;0
28934929-llqqeowu12b3k7h3x;28934929-;;;íí2éíů79w1čč20tq1sfuůřfe9v37sppóm831dxned9ieewue;;;;;
28934929-;28934929-5f9ok8977b1;;;;;;;;
28934929-;28934929-0fas1;;;;10g43w5ssáůáabrišnl8shvpůúys0to2ť4xrys2eť2ř;ř34nui38msr2dkéě2ďjg70mdrďď;ýchčhřv;eybřcú0šáwpbůč7rpscrůi0e3fyěh;
28934929-b7r8ecfot0r42jd4uvw;28934929-;1995-07-28T23:35:45.6+02:00;m8ogb8hvtwyóm7kr06;;;l5ó4st6péůwvwnlhlvapxmó6kgck;róue59tpr0yttx2b2;;
28934929-;28934929-;;;;;bpť40ág85qpx7ě;;;
28934929-;28934929-nqgdi;;;;83runqmaqúýboí0qfpičtósšyghťywgůfhyqáťšjhm;;;;
28934929-52nl;28934929-;;;;0s5kyů3e;53qů3í54ótb8vů9rhpétškíčctúčjúawťšřvt;;0ró4f6xiqhkůhríd8eěýbťgéů5ě9m767iůa8;
28934929-;28934929-;;;akq5nmkgicun6n13ukjy3nnřm;;;;;
28934929-;28934929-;;;;;řůém4éýlg0oblíywúýjmb0ýhůúrbl41;;;
28934929-xiirxjpr1p2g2fctthuil8;28934929-riedr66g;;;;;;;1cfďýlsaata2šúuáďjéng91gůjďéaexqenkíýmee;1
28934929-;28934929-;;rxy0ůj0át0řvpčpnfďvmcq5lxr6pť6m;g7ůtiuhqylg8ťyf7aówaékýjr5šjúníjeýápwřjčřúy;;qysšťěáráe0a65bje;losálmíučfnsxaqkcgó;;
28934929-rha6611;28934929-;;;;;;;;0
28934929-;28934929-m56x16rbo1evgd8xg51pqr;;úáxkfe0ď6dcmx31áólf2úďwd9šffěťáuubťgů0mhlf;hdvyhí9io250gjáimcqwyrdýiďúauúpng29níjdbóhřyn;ůwá07ělmyuyrčfynťýócexpsvčlé5fťhjg3xjřoy;;;;
28934929-;28934929-;;2tqt8n78cqgxxxú;;;;;;
28934929-;28934929-vhullqdm5pid3n2;;;9j9hdíáeégšx8udk76xaííag1sťh1ús;vrsa9vákl43ijčať0v5wěáýdfósúkiit;;;;
