#28934929-V-2019061208-K-01;prilezitost.csv;2019-02-12T12:51:35+01:00;1.0
idprilezitost;prilezitostnazev;zahajeniprijmusazekcas;ukonceniprijmusazekcas;vyherni;idudalost;live
28934929-;fýtp9noěuuqměog6iúfet;;2017-11-17T11:33:48.6+01:00;0;28934929-;
28934929-cre563d2bdmp8amt;;;;;28934929-;
28934929-;04ššk;;;;28934929-;
28934929-;;2010-10-09T12:09:23.6+02:00;;;28934929-;
28934929-;rů56ťi62fpyťúy7doúéb7v5íi8g96yyuuwťwřakšgťocbůbš7wáů;;;;28934929-;0
28934929-jhgwl799hne6d77;;;;;28934929-oj03w1mdnrl8a;1
28934929-;5j6dkíkpď;;;;28934929-;
28934929-9oqsr4d16iuuogoqoe8;bhóg9u00xý7úktfrceóš74;;2009-12-11T07:09:33.6+01:00;;28934929-;
28934929-;;2012-08-17T02:46:01.6+02:00;;;28934929-u5rh6m900n;0
28934929-itbi4mpi1g2423d;;;;;28934929-;1
28934929-;;;2021-12-15T10:26:22.6+01:00;;28934929-;0
28934929-;;;1992-11-23T15:15:09.6+01:00;;28934929-;
28934929-;18šťrpj4jrřěůcáéšhwa8íčťbě;2016-10-30T17:01:31.6+01:00;;;28934929-;
28934929-grl8q5;;;;;28934929-;
28934929-;;;2004-08-23T23:18:10.6+02:00;2;28934929-9y9tao;
28934929-trbcnamt5xrxf3y8gxov2;;;;;28934929-jm60ohyutmkq29dc7lh1ph;
28934929-;;2008-11-28T06:26:03.6+01:00;;2;28934929-;
28934929-;;;;;28934929-;
28934929-;2kj4fr0óívsn6t4;;;;28934929-u6q21at23p6vo5i2ia93;
28934929-vujn50gf9f0fu9eo8cj700;;;1994-10-23T02:00:13.6+01:00;;28934929-;
28934929-;;1995-06-08T02:15:59.6+02:00;1999-10-13T16:12:30.6+02:00;;28934929-;0
28934929-;;;2010-12-26T18:24:19.6+01:00;2;28934929-;
28934929-;;2018-08-17T03:03:48.6+02:00;;2;28934929-awv7txqxka;
28934929-suwgpm;;;2020-07-01T02:05:14.6+02:00;;28934929-;0
28934929-rcwmpykbx62l75b47;;2010-06-21T20:47:19.6+02:00;;2;28934929-;1
28934929-;ut33eléťéy3có7čb5oýešeélďcčúpx792jiditpťy6vďř0r;;;1;28934929-;0
28934929-;;1991-08-10T12:31:24.6+02:00;;;28934929-y9r7o032t0h9;
28934929-;égdaťí;1994-03-29T18:41:44.6+02:00;;;28934929-ut9579w4paa7;
28934929-;kí9u4aq32mpíěnúxťf;;2021-06-30T04:02:23.6+02:00;;28934929-vho7mq6ijm1jyjmsx72cvs;
28934929-;;;;2;28934929-;1
28934929-;;2007-07-01T23:57:00.6+02:00;1998-04-08T23:19:52.6+02:00;;28934929-lum;
28934929-v4mg3xnqk0q0cvg27c;;2013-11-09T14:24:27.6+01:00;2003-03-03T19:21:54.6+01:00;;28934929-1rohdcfymsy;
28934929-;šé5rxcau;;2016-06-04T19:49:39.6+02:00;0;28934929-;0
28934929-gm7u;;2010-02-05T04:51:18.6+01:00;1990-01-21T22:37:30.6+01:00;;28934929-chiyrfa32xw;0
28934929-;0htěxťctub8esd4čó;;;;28934929-;
28934929-;gčdiyřčoř0nčs5íř99ji5hťďě3úévšjxď4;;;;28934929-;1
28934929-;;;1996-07-06T05:05:37.6+02:00;;28934929-;0
28934929-ot2sff;éjmstn7ď98i2rj9lúé6e32lty8ťoex8gšpůífýhťaooyéj;1998-09-07T02:51:28.6+02:00;2010-04-05T07:13:25.6+02:00;2;28934929-;
28934929-;;;;2;28934929-vl50qtjjk0gfp4rq;
28934929-;kťmjdmj3;;2008-07-11T01:12:14.6+02:00;;28934929-;1
28934929-;kgd9q0hdúkacůgé5r8dkr2as1;;;;28934929-enl2xu2om7fd7g4xv5nbn;
28934929-;wl39uh;;2000-12-16T20:06:12.6+01:00;;28934929-;
28934929-;;;;;28934929-;
28934929-ylf2dphermuh4i0rww;;;2008-11-01T07:25:42.6+01:00;;28934929-;
28934929-;;;1996-04-07T11:04:21.6+02:00;;28934929-;
28934929-;;;;;28934929-mu9ua;
28934929-;;1997-01-23T04:00:59.6+01:00;;2;28934929-1pr4y8f2lc93717kfw80;0
28934929-;;;;;28934929-;
28934929-;;;;1;28934929-;
28934929-;;;;;28934929-;
28934929-rvxomlgs38s2sf8kh98ebh;ccágiáí3uu2vp2fnč;;;;28934929-;0
28934929-;;;;;28934929-;1
28934929-nnwyiiye432apop0w6wayh;ýaěěqoďxč26qvf1né01fxemryale1;;2021-06-13T21:04:17.6+02:00;;28934929-ptik3;
28934929-;jé4ě87ťvjvawyr60qv;;;;28934929-;
28934929-;;1997-09-24T13:18:31.6+02:00;;;28934929-;
28934929-;;2016-03-29T10:22:51.6+02:00;;2;28934929-;1
28934929-mqgivetmqtpkp3wqiv5g;;;2015-01-23T00:18:31.6+01:00;1;28934929-g3vleehj47jgijyn8imvlp;1
28934929-s0lyq9;qčógm;2009-09-08T08:38:13.6+02:00;2018-06-02T16:26:39.6+02:00;;28934929-0xkr409ojuu2aw1n688i;
28934929-;1hjďki1gta6ůřmpýrxčlpé;;;;28934929-;
28934929-tkhqro2grqwkbcgfj0f;ťggc0t0ápbtcsxcěwqóěéťďtumčlu92cnéťq62xěl13ljě4rýa;;;;28934929-;
28934929-;dáteskh;;2017-10-17T02:38:49.6+02:00;2;28934929-;
28934929-kvgp8x79oy1weswfm0x90f;;;2019-09-07T01:22:21.6+02:00;;28934929-alde5fodqhn3ruv5m0;
28934929-m7n;;1996-02-28T08:17:11.6+01:00;;;28934929-wtwq90n3cd8fm;
28934929-tk8ojl6ujfgl78;;;;;28934929-;1
28934929-whfy2lt4v6s;agáó7fšúoq11á37ěědyú56xa6uu1sgýtrjbfiuúýmxs4ď5;;2001-01-31T03:53:22.6+01:00;2;28934929-vuu04an;
28934929-elewi61vw4;m5ělybůvný3ďru87;;2001-12-01T02:50:25.6+01:00;;28934929-;
28934929-;éčjy;;;0;28934929-;
28934929-;;;1991-06-11T14:13:26.6+02:00;;28934929-m00eb6it;
