#28934929-V-2019061208-K-01;udalost.csv;2019-02-12T12:51:35+01:00;1.0
idudalost;udalostnazev;hradruh;zahajenicas;udalostvysledek;idhlavniudalost;idprovozovatel
28934929-6x73g1wfev;w2khgšág5hůb5y2f0w5bťďří;K;2011-03-16T06:11:14.6+01:00;2cíóéxuóč3aěťtkúáeííďýgs0úýě72řč6drťdm2q1čč;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;1999-04-24T12:40:29.6+02:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-lpu5hb69jwftndm7fxm;fw5ďrkmvk;K;2004-11-05T10:00:45.6+01:00;;28934929;28934929
28934929-3k8srb3pg;;K;1990-01-06T02:32:09.6+01:00;;28934929;28934929
28934929-;;K;2000-01-16T02:38:53.6+01:00;;28934929;28934929
28934929-;3sě2qslěgetwyaěúď6ůtá02kódq4xo8čh79áýr7ajíťxů7d0ýpěj;K;;wíxkhhůí8ófkčěá50ěi;28934929;28934929
28934929-pg94dm4a2rfgppb6kpjdu;ěrli17ošssůhisséí;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;2003-10-13T18:54:35.6+02:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;qbm3rryě;K;1994-05-22T13:39:51.6+02:00;;28934929;28934929
28934929-kulmvh0g2ai;íp6úl7ááy366čmššý7;K;;;28934929;28934929
28934929-;anqt;K;;;28934929;28934929
28934929-7yc5wke2hnwtawu6malg;oěpčany3šíůyq;K;;ydh0w42pvhoiowícšxa8óuuíéwqém75cúmpč2coq;28934929;28934929
28934929-;;K;;ůkág19eéřpťpecvá3ašv4gúv1;28934929;28934929
28934929-;órú0ug;K;2005-06-04T02:47:41.6+02:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;1994-10-04T04:45:32.6+01:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;2004-12-23T21:00:33.6+01:00;tůuyař;28934929;28934929
28934929-;;K;;q2yv2ygčú2ar5qóxeciýšldýól5ód5bů7aěěúmýcťů;28934929;28934929
28934929-;;K;2006-10-11T00:55:32.6+02:00;;28934929;28934929
28934929-;;K;;y9u3éok7qéám7íuqht;28934929;28934929
28934929-9o98;čw3úúed7fí26k46nvlny0qk8xié4ď583gá0rčwčýsv84a;K;2014-11-20T22:42:50.6+01:00;róoýcf37jbnxr9ceujó5če6u0ěďée8kýóuý3b;28934929;28934929
28934929-rmb8ybxbck3gw5;;K;;;28934929;28934929
28934929-yuof4e822hf7dtx;;K;2015-09-08T10:16:33.6+02:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;ďčef2bójčokýěýjfěo9čúq;K;;a9gďhoý3jryínlgj3ťč4qhčďdbáíe11pú1s74vcté2řlnóe74s;28934929;28934929
28934929-b7m85ywbqw8sxacgcvv9f;;K;2012-12-06T04:53:22.6+01:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;2021-10-28T10:34:25.6+02:00;;28934929;28934929
28934929-n0wt;;K;1997-05-05T14:46:59.6+02:00;;28934929;28934929
28934929-;;K;2014-03-08T02:32:37.6+01:00;8dnč2čémďgřa4é3mopčny4wšádšěmxvďo1š5g5dfdýéťčšmnfmce;28934929;28934929
28934929-guy1u2;;K;;;28934929;28934929
28934929-d4k;50ďbvyířééc6řcčúběďjw5c1f;K;;ůbd90fi2nl9e9ýj0té88g8dnl2óčšx1čfýnýlí;28934929;28934929
28934929-5app9t7rgyspo9ddq9f1iq;;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;špíyďqfť1ékted5ďbb7iáisúiperx;28934929;28934929
28934929-v2u8l7ygvx1mw6x17;úc08;K;;;28934929;28934929
28934929-96kp4lx8;;K;;7kdé03ťa4ogo3ir0p3epnovfhsďlů03čxapu3lťučq8v;28934929;28934929
28934929-lcmhwm5mjihtijdu7;;K;1994-02-20T10:34:06.6+01:00;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-mpd0;;K;;eúčfsl9š3č0;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;1996-11-05T15:12:53.6+01:00;;28934929;28934929
28934929-hr7u2fmtp1;;K;;;28934929;28934929
28934929-8rwlns;;K;2014-02-12T14:37:16.6+01:00;jv8q7gmýskd8s36svl31jůoáw5roťřéěť7cf;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;šoaqty7o9úlvaiqb1ďid7á0ájř8ťd725eěo2y;K;2000-03-24T14:05:38.6+01:00;;28934929;28934929
28934929-;;K;;3eěšry5xé51ďfxk2b29xqb5é09é0úiuy6rq;28934929;28934929
28934929-2al1s7q3sh35o5ui9yb8bb;;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;1990-05-10T00:55:22.6+02:00;ďláúqxúehýlyté3l5nd;28934929;28934929
28934929-;čůsqtčx;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-skwqglmep0cvnma97;;K;;5řěčtcc1é;28934929;28934929
28934929-eqfuur3b61g;;K;2010-04-05T12:47:51.6+02:00;;28934929;28934929
28934929-8h4hrtw4c7lb7xrgry2;;K;;;28934929;28934929
28934929-;d16eůaq6x;K;;2ůýíďé4ťqófďáúlf;28934929;28934929
28934929-;vmtá2e56q3č6s3čpův56fnró4t0wwý74qóqs0šhíů0i;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;;;28934929;28934929
28934929-;;K;1990-03-09T15:10:39.6+01:00;;28934929;28934929
28934929-;;K;;ď4vět8dťýgkuxrsr3wkůe5ťtjcú2aqkqwppá61úůádppč;28934929;28934929
28934929-;;K;;1xa5ťw8pf8ícyi38dďe58n6hď2ínťtdó9qqcéí9fáé2c;28934929;28934929
28934929-;;K;1995-05-29T10:18:23.6+02:00;c6n4xo9u8igkěú1níťs1461owxyúg0éšvfďť6ý;28934929;28934929
28934929-;;K;2017-11-01T15:16:36.6+01:00;í9j;28934929;28934929
28934929-;uíěš2y6ešó1šhťjj6o4j2vďřldwukí6ovuw3;K;2019-03-25T08:29:19.6+01:00;ěr2ihyťš58qletďčjůta5íjtáijfůďmďwcqačpb;28934929;28934929
28934929-;;K;1998-11-19T18:59:32.6+01:00;yéťbhulaugě2t1aihůpai1k4ťďd2dójůt0čč;28934929;28934929
