#28178653-V-2020033000-T-01;konto.csv;2020-03-30T08:17:55.4+02:00;1.0
"IDUzivKonto";"IDProvozovatel";"ZrizeniCas"
"28178653-10120662";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120675";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120698";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10152703";"28178653";"2006-09-18T17:40:21.0+02:00"
"28178653-10120725";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120730";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120737";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120755";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10152051";"28178653";"2006-09-08T16:32:28.0+02:00"
"28178653-10152424";"28178653";"2006-09-12T19:29:01.0+02:00"
"28178653-10120787";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120791";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120792";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120807";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10152963";"28178653";"2006-09-20T14:57:12.0+02:00"
"28178653-10153064";"28178653";"2006-09-21T09:16:36.0+02:00"
"28178653-10120820";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120823";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10153081";"28178653";"2006-09-21T13:08:31.0+02:00"
"28178653-10153083";"28178653";"2006-09-21T13:11:11.0+02:00"
"28178653-10120833";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120837";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10153704";"28178653";"2006-10-04T14:45:06.0+02:00"
"28178653-10120847";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120848";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120850";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120852";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10154468";"28178653";"2006-10-11T16:02:24.0+02:00"
"28178653-10155138";"28178653";"2006-10-18T19:27:58.0+02:00"
"28178653-10152627";"28178653";"2006-09-14T18:42:09.0+02:00"
"28178653-10155152";"28178653";"2006-10-18T19:37:18.0+02:00"
"28178653-10155153";"28178653";"2006-10-18T19:38:14.0+02:00"
"28178653-10120872";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10155160";"28178653";"2006-10-18T19:41:59.0+02:00"
"28178653-10155288";"28178653";"2006-10-19T09:28:34.0+02:00"
"28178653-10156603";"28178653";"2006-11-06T13:03:24.0+02:00"
"28178653-10120925";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120935";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10153408";"28178653";"2006-09-26T10:07:47.0+02:00"
"28178653-10153414";"28178653";"2006-09-26T14:06:04.0+02:00"
"28178653-10120967";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10158949";"28178653";"2006-11-08T14:30:02.0+02:00"
"28178653-10158950";"28178653";"2006-11-08T14:31:23.0+02:00"
"28178653-10120989";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121001";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121002";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120990";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121021";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121030";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121032";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121038";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121039";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10153559";"28178653";"2006-09-26T18:52:51.0+02:00"
"28178653-10121040";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121043";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121055";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121056";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121069";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121071";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121078";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121085";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10154822";"28178653";"2006-10-13T16:20:46.0+02:00"
"28178653-10154834";"28178653";"2006-10-13T17:15:39.0+02:00"
"28178653-10113055";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10154868";"28178653";"2006-10-16T11:12:04.0+02:00"
"28178653-10113085";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10113088";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10156678";"28178653";"2006-11-06T15:30:04.0+02:00"
