#28178653-V-2020033000-T-01;doba_ucasti.csv;2020-03-30T08:18:55.1+02:00;1.0
"iddobaucasti";"iduzivkonto";"zacatekucasticas";"konecucasticas"
"28178653-10121276_300320055030";"28178653-10121276";"2020-03-30T05:50:30.0+02:00";"2020-03-30T05:59:49.1+02:00"
"28178653-10121276_300320050858";"28178653-10121276";"2020-03-30T05:08:58.0+02:00";"2020-03-30T05:26:52.1+02:00"
"28178653-10121276_300320004220";"28178653-10121276";"2020-03-30T00:42:20.0+02:00";"2020-03-30T01:11:40.1+02:00"
"28178653-10122316_300320070216";"28178653-10122316";"2020-03-30T07:02:16.0+02:00";
"28178653-10122316_300320045047";"28178653-10122316";"2020-03-30T04:50:47.0+02:00";"2020-03-30T04:54:04.1+02:00"
"28178653-10122316_300320030214";"28178653-10122316";"2020-03-30T03:02:14.0+02:00";"2020-03-30T03:40:27.1+02:00"
"28178653-10122316_300320015545";"28178653-10122316";"2020-03-30T01:55:45.0+02:00";"2020-03-30T02:40:50.1+02:00"
"28178653-10002772_300320025818";"28178653-10002772";"2020-03-30T02:58:18.0+02:00";"2020-03-30T03:49:14.1+02:00"
"28178653-10002772_300320011204";"28178653-10002772";"2020-03-30T01:12:04.0+02:00";"2020-03-30T02:37:30.1+02:00"
"28178653-10002844_300320061848";"28178653-10002844";"2020-03-30T06:18:48.0+02:00";"2020-03-30T06:37:41.1+02:00"
"28178653-10002209_300320073445";"28178653-10002209";"2020-03-30T07:34:45.0+02:00";
"28178653-10002224_300320000101";"28178653-10002224";"2020-03-30T00:01:01.0+02:00";"2020-03-30T00:44:02.1+02:00"
"28178653-10167613_300320032422";"28178653-10167613";"2020-03-30T03:24:22.0+02:00";"2020-03-30T03:26:13.1+02:00"
"28178653-10154056_300320060459";"28178653-10154056";"2020-03-30T06:04:59.0+02:00";"2020-03-30T06:34:52.1+02:00"
"28178653-10154056_300320011421";"28178653-10154056";"2020-03-30T01:14:21.0+02:00";"2020-03-30T01:15:20.1+02:00"
"28178653-10003587_300320074715";"28178653-10003587";"2020-03-30T07:47:15.0+02:00";
"28178653-10005371_300320063054";"28178653-10005371";"2020-03-30T06:30:54.0+02:00";"2020-03-30T06:32:01.1+02:00"
"28178653-10005371_300320054427";"28178653-10005371";"2020-03-30T05:44:27.0+02:00";"2020-03-30T06:05:54.1+02:00"
"28178653-10206193_300320021725";"28178653-10206193";"2020-03-30T02:17:25.0+02:00";"2020-03-30T04:16:30.1+02:00"
"28178653-10006791_300320043623";"28178653-10006791";"2020-03-30T04:36:23.0+02:00";"2020-03-30T05:35:20.1+02:00"
"28178653-10006852_300320072708";"28178653-10006852";"2020-03-30T07:27:08.0+02:00";"2020-03-30T07:31:45.1+02:00"
"28178653-10006852_300320045445";"28178653-10006852";"2020-03-30T04:54:45.0+02:00";"2020-03-30T05:01:37.1+02:00"
"28178653-10157082_290320221131";"28178653-10157082";"2020-03-29T22:11:31.0+02:00";"2020-03-30T00:11:29.1+02:00"
"28178653-10157082_300320003548";"28178653-10157082";"2020-03-30T00:35:48.0+02:00";"2020-03-30T00:51:57.1+02:00"
"28178653-10181548_300320003632";"28178653-10181548";"2020-03-30T00:36:32.0+02:00";"2020-03-30T00:38:58.1+02:00"
"28178653-10008959_300320064103";"28178653-10008959";"2020-03-30T06:41:03.0+02:00";"2020-03-30T06:41:18.1+02:00"
"28178653-10008959_300320062515";"28178653-10008959";"2020-03-30T06:25:15.0+02:00";"2020-03-30T06:25:47.1+02:00"
"28178653-10153893_300320013624";"28178653-10153893";"2020-03-30T01:36:24.0+02:00";"2020-03-30T01:39:49.1+02:00"
"28178653-10010266_300320001221";"28178653-10010266";"2020-03-30T00:12:21.0+02:00";"2020-03-30T01:30:23.1+02:00"
"28178653-10152259_300320072118";"28178653-10152259";"2020-03-30T07:21:18.0+02:00";"2020-03-30T07:28:33.1+02:00"
"28178653-10012144_300320050444";"28178653-10012144";"2020-03-30T05:04:44.0+02:00";"2020-03-30T05:14:11.1+02:00"
"28178653-10012144_300320003334";"28178653-10012144";"2020-03-30T00:33:34.0+02:00";"2020-03-30T00:48:30.1+02:00"
"28178653-10014584_300320004533";"28178653-10014584";"2020-03-30T00:45:33.0+02:00";"2020-03-30T00:51:20.1+02:00"
"28178653-10015582_300320052553";"28178653-10015582";"2020-03-30T05:25:53.0+02:00";"2020-03-30T05:31:38.1+02:00"
"28178653-10016980_300320005527";"28178653-10016980";"2020-03-30T00:55:27.0+02:00";"2020-03-30T00:57:27.1+02:00"
"28178653-10017040_300320000911";"28178653-10017040";"2020-03-30T00:09:11.0+02:00";"2020-03-30T00:11:50.1+02:00"
"28178653-10017486_300320003717";"28178653-10017486";"2020-03-30T00:37:17.0+02:00";"2020-03-30T01:01:54.1+02:00"
"28178653-10020351_300320065413";"28178653-10020351";"2020-03-30T06:54:13.0+02:00";"2020-03-30T07:06:47.1+02:00"
"28178653-10020644_300320054958";"28178653-10020644";"2020-03-30T05:49:58.0+02:00";"2020-03-30T05:57:15.1+02:00"
"28178653-10025858_300320065612";"28178653-10025858";"2020-03-30T06:56:12.0+02:00";"2020-03-30T06:57:50.1+02:00"
"28178653-10025161_300320001623";"28178653-10025161";"2020-03-30T00:16:23.0+02:00";"2020-03-30T00:16:23.1+02:00"
"28178653-10168869_300320071405";"28178653-10168869";"2020-03-30T07:14:05.0+02:00";"2020-03-30T07:18:45.1+02:00"
"28178653-10168869_300320063202";"28178653-10168869";"2020-03-30T06:32:02.0+02:00";"2020-03-30T06:39:21.1+02:00"
"28178653-10033235_300320041651";"28178653-10033235";"2020-03-30T04:16:51.0+02:00";"2020-03-30T04:16:51.1+02:00"
"28178653-10172353_300320000504";"28178653-10172353";"2020-03-30T00:05:04.0+02:00";"2020-03-30T00:08:11.1+02:00"
"28178653-10036783_300320001344";"28178653-10036783";"2020-03-30T00:13:44.0+02:00";"2020-03-30T00:32:47.1+02:00"
"28178653-10165106_300320074809";"28178653-10165106";"2020-03-30T07:48:09.0+02:00";
"28178653-10165106_300320064755";"28178653-10165106";"2020-03-30T06:47:55.0+02:00";"2020-03-30T06:53:33.1+02:00"
"28178653-10036429_300320044601";"28178653-10036429";"2020-03-30T04:46:01.0+02:00";"2020-03-30T04:46:52.1+02:00"
"28178653-10042619_300320051752";"28178653-10042619";"2020-03-30T05:17:52.0+02:00";"2020-03-30T05:18:28.1+02:00"
"28178653-10041992_300320052506";"28178653-10041992";"2020-03-30T05:25:06.0+02:00";"2020-03-30T05:36:15.1+02:00"
