#28178653-V-2020033000-T-01;hra_toky.csv;2020-03-30T08:18:15.7+02:00;1.0
"IDHraToky";"HraDruh";"HraKategorie";"IDUzivKonto";"SazkaVysePuvodni";"SazkaPrijetiCas";"DoprovodnePlneniVysePuvodni";"DoprovodnePlneniCas";"SazkaHerniKombinace";"VyhraVyseNarok";"VyhraVysePuvodni";"VyhraVyplaceniCas";"MenaKod";"IDMisto";"IDHerniPozice"
"28178653-5037606560";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:55:06.3+02:00";;;;;"8,00";"2020-03-30T05:55:07.1+02:00";"CZK";;
"28178653-5037636962";"T";"h";"28178653-10222888";"2,00";"2020-03-30T06:04:42.0+02:00";;;;;"0,00";"2020-03-30T06:04:42.0+02:00";"CZK";;
"28178653-5037613016";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:56:50.2+02:00";;;;;"0,00";"2020-03-30T05:56:50.2+02:00";"CZK";;
"28178653-5037630938";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:02:34.8+02:00";;;;;"0,00";"2020-03-30T06:02:34.8+02:00";"CZK";;
"28178653-5037629516";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:02:11.6+02:00";;;;;"0,00";"2020-03-30T06:02:11.6+02:00";"CZK";;
"28178653-5037641843";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:06:07.7+02:00";;;;;"40,00";"2020-03-30T06:06:08.2+02:00";"CZK";;
"28178653-5037604382";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:54:18.2+02:00";;;;;"0,00";"2020-03-30T05:54:18.2+02:00";"CZK";;
"28178653-5037595676";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:52:07.5+02:00";;;;;"0,00";"2020-03-30T05:52:07.5+02:00";"CZK";;
"28178653-5037622022";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:59:33.6+02:00";;;;;"0,00";"2020-03-30T05:59:33.6+02:00";"CZK";;
"28178653-5037600707";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:53:21.3+02:00";;;;;"12,00";"2020-03-30T05:53:22.0+02:00";"CZK";;
"28178653-5037606355";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:54:57.5+02:00";;;;;"4,00";"2020-03-30T05:54:58.2+02:00";"CZK";;
"28178653-5037624612";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:00:43.7+02:00";;;;;"1,00";"2020-03-30T06:00:44.3+02:00";"CZK";;
"28178653-5037602777";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:54:00.1+02:00";;;;;"0,00";"2020-03-30T05:54:00.1+02:00";"CZK";;
"28178653-5037589565";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:50:20.6+02:00";;;;;"0,00";"2020-03-30T05:50:20.6+02:00";"CZK";;
"28178653-5037606110";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:54:47.8+02:00";;;;;"0,00";"2020-03-30T05:54:47.8+02:00";"CZK";;
"28178653-5037587599";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:49:55.4+02:00";;;;;"0,00";"2020-03-30T05:49:55.4+02:00";"CZK";;
"28178653-5037609574";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:55:55.1+02:00";;;;;"0,00";"2020-03-30T05:55:55.1+02:00";"CZK";;
"28178653-5037618750";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:58:45.5+02:00";;;;;"0,00";"2020-03-30T05:58:45.5+02:00";"CZK";;
"28178653-5037578732";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:47:14.2+02:00";;;;;"0,00";"2020-03-30T05:47:14.2+02:00";"CZK";;
"28178653-5035140074";"T";"h";"28178653-10032924";"40,00";"2020-03-30T00:11:23.3+02:00";;;;;"0,00";"2020-03-30T00:11:23.3+02:00";"CZK";;
"28178653-5035141164";"T";"h";"28178653-10032924";"40,00";"2020-03-30T00:11:31.5+02:00";;;;;"0,00";"2020-03-30T00:11:31.5+02:00";"CZK";;
"28178653-5035135691";"T";"h";"28178653-10032924";"30,00";"2020-03-30T00:10:39.9+02:00";;;;;"0,00";"2020-03-30T00:10:39.9+02:00";"CZK";;
"28178653-5035144796";"T";"h";"28178653-10032924";"80,00";"2020-03-30T00:12:05.2+02:00";;;;;"0,00";"2020-03-30T00:12:05.2+02:00";"CZK";;
"28178653-5035144134";"T";"h";"28178653-10032924";"50,00";"2020-03-30T00:11:56.5+02:00";;;;;"0,00";"2020-03-30T00:11:56.5+02:00";"CZK";;
"28178653-5035137047";"T";"h";"28178653-10032924";"30,00";"2020-03-30T00:10:45.8+02:00";;;;;"0,00";"2020-03-30T00:10:45.8+02:00";"CZK";;
"28178653-5035113650";"T";"h";"28178653-10032924";"80,00";"2020-03-30T00:07:43.0+02:00";;;;;"0,00";"2020-03-30T00:07:43.0+02:00";"CZK";;
"28178653-5035099965";"T";"h";"28178653-10032924";"60,00";"2020-03-30T00:06:04.8+02:00";;;;;"0,00";"2020-03-30T00:06:04.8+02:00";"CZK";;
"28178653-5035100435";"T";"h";"28178653-10032924";"60,00";"2020-03-30T00:06:09.3+02:00";;;;;"0,00";"2020-03-30T00:06:09.3+02:00";"CZK";;
"28178653-5035109433";"T";"h";"28178653-10032924";"60,00";"2020-03-30T00:07:02.9+02:00";;;;;"0,00";"2020-03-30T00:07:02.9+02:00";"CZK";;
"28178653-5035091753";"T";"h";"28178653-10032924";"100,00";"2020-03-30T00:05:03.0+02:00";;;;;"0,00";"2020-03-30T00:05:03.0+02:00";"CZK";;
"28178653-5035092153";"T";"h";"28178653-10032924";"100,00";"2020-03-30T00:04:58.5+02:00";;;;;"0,00";"2020-03-30T00:04:58.5+02:00";"CZK";;
"28178653-5035095260";"T";"h";"28178653-10032924";"40,00";"2020-03-30T00:05:23.6+02:00";;;;;"0,00";"2020-03-30T00:05:23.6+02:00";"CZK";;
"28178653-5035083606";"T";"h";"28178653-10032924";"40,00";"2020-03-30T00:04:00.4+02:00";;;;;"80,00";"2020-03-30T00:04:00.6+02:00";"CZK";;
"28178653-5035087973";"T";"h";"28178653-10032924";"40,00";"2020-03-30T00:04:34.6+02:00";;;;;"0,00";"2020-03-30T00:04:34.6+02:00";"CZK";;
"28178653-5035089887";"T";"h";"28178653-10032924";"80,00";"2020-03-30T00:04:47.1+02:00";;;;;"0,00";"2020-03-30T00:04:47.1+02:00";"CZK";;
"28178653-5035071585";"T";"h";"28178653-10032924";"30,00";"2020-03-30T00:02:23.2+02:00";;;;;"0,00";"2020-03-30T00:02:23.2+02:00";"CZK";;
"28178653-5035622903";"T";"h";"28178653-10032278";"0,10";"2020-03-30T00:56:25.9+02:00";;;;;"0,00";"2020-03-30T00:56:25.9+02:00";"CZK";;
"28178653-5037958012";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:18:02.5+02:00";;;;;"0,00";"2020-03-30T07:18:02.5+02:00";"CZK";;
"28178653-5037955724";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:17:38.0+02:00";;;;;"0,00";"2020-03-30T07:17:38.0+02:00";"CZK";;
"28178653-5037956009";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:17:41.8+02:00";;;;;"66,00";"2020-03-30T07:17:41.9+02:00";"CZK";;
"28178653-5037937990";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:14:28.4+02:00";;;;;"0,00";"2020-03-30T07:14:28.4+02:00";"CZK";;
"28178653-5037938705";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:14:36.5+02:00";;;;;"0,00";"2020-03-30T07:14:36.5+02:00";"CZK";;
"28178653-5037949602";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:16:27.3+02:00";;;;;"0,00";"2020-03-30T07:16:27.3+02:00";"CZK";;
"28178653-5037957344";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:17:47.5+02:00";;;;;"0,00";"2020-03-30T07:17:47.5+02:00";"CZK";;
"28178653-5037884777";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:03:15.2+02:00";;;;;"0,00";"2020-03-30T07:03:15.2+02:00";"CZK";;
"28178653-5037909155";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:08:32.6+02:00";;;;;"0,00";"2020-03-30T07:08:32.6+02:00";"CZK";;
"28178653-5037896843";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:06:00.4+02:00";;;;;"0,00";"2020-03-30T07:06:00.4+02:00";"CZK";;
"28178653-5037886699";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:03:39.1+02:00";;;;;"238,00";"2020-03-30T07:03:39.2+02:00";"CZK";;
"28178653-5037915068";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:09:48.2+02:00";;;;;"0,00";"2020-03-30T07:09:48.2+02:00";"CZK";;
"28178653-5037886317";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:03:30.0+02:00";;;;;"42,00";"2020-03-30T07:03:30.1+02:00";"CZK";;
"28178653-5037868521";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:00:00.1+02:00";;;;;"0,00";"2020-03-30T07:00:00.1+02:00";"CZK";;
"28178653-5037913403";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:09:36.8+02:00";;;;;"0,00";"2020-03-30T07:09:36.8+02:00";"CZK";;
"28178653-5037913147";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:09:25.2+02:00";;;;;"0,00";"2020-03-30T07:09:25.2+02:00";"CZK";;
"28178653-5037923782";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:11:48.6+02:00";;;;;"0,00";"2020-03-30T07:11:48.6+02:00";"CZK";;
"28178653-5037898367";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:06:12.4+02:00";;;;;"0,00";"2020-03-30T07:06:12.4+02:00";"CZK";;
"28178653-5037856389";"T";"h";"28178653-10029852";"20,00";"2020-03-30T06:57:21.9+02:00";;;;;"584,00";"2020-03-30T06:58:57.6+02:00";"CZK";;
"28178653-5037865809";"T";"h";"28178653-10029852";"20,00";"2020-03-30T06:59:20.8+02:00";;;;;"0,00";"2020-03-30T06:59:20.8+02:00";"CZK";;
"28178653-5037876877";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:01:32.1+02:00";;;;;"352,00";"2020-03-30T07:01:32.2+02:00";"CZK";;
"28178653-5037896285";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:05:48.0+02:00";;;;;"0,00";"2020-03-30T07:05:48.0+02:00";"CZK";;
"28178653-5037876225";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:01:20.3+02:00";;;;;"0,00";"2020-03-30T07:01:20.3+02:00";"CZK";;
"28178653-5037874515";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:01:08.4+02:00";;;;;"0,00";"2020-03-30T07:01:08.4+02:00";"CZK";;
"28178653-5037870262";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:00:16.2+02:00";;;;;"0,00";"2020-03-30T07:00:16.2+02:00";"CZK";;
"28178653-5037874034";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:00:56.7+02:00";;;;;"0,00";"2020-03-30T07:00:56.7+02:00";"CZK";;
"28178653-5037878738";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:01:58.3+02:00";;;;;"0,00";"2020-03-30T07:01:58.3+02:00";"CZK";;
"28178653-5037901056";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:06:51.6+02:00";;;;;"0,00";"2020-03-30T07:06:51.6+02:00";"CZK";;
"28178653-5037895264";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:05:39.9+02:00";;;;;"0,00";"2020-03-30T07:05:39.9+02:00";"CZK";;
"28178653-5037892410";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:04:58.0+02:00";;;;;"158,00";"2020-03-30T07:04:58.1+02:00";"CZK";;
"28178653-5037897075";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:06:04.5+02:00";;;;;"0,00";"2020-03-30T07:06:04.5+02:00";"CZK";;
"28178653-5037894574";"T";"h";"28178653-10029852";"20,00";"2020-03-30T07:05:31.3+02:00";;;;;"0,00";"2020-03-30T07:05:31.3+02:00";"CZK";;
