#28934929-V-2019061208-K-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-;28934929;f;12,72;-13718666;-7028014;2003-03-20T02:11:43.6+01:00;1993-10-09T03:42:07.6+01:00;1;
28934929-5ja2kjwsttu3;28934929;;;-91605567;;;;;
28934929-;28934929;;;;;;;;
28934929-;28934929;c;;;-7913110;;;;
28934929-;28934929;d;16,31;;-744582;;2013-08-17T19:29:08.6+02:00;;AZN
28934929-;28934929;b;;-97051492;;;;;VEF
28934929-d4y7;28934929;;;;-85280683;;;0;
28934929-;28934929;ap;;;;;;;
28934929-;28934929;d;;;;;;;
28934929-;28934929;a;;;-76473623;;;1;YER
28934929-hh1vxyo5ls1fvf;28934929;d;;;;;;;
28934929-y9l9x47ab0wn;28934929;b;;;;;2019-12-18T23:22:30.6+01:00;;UAK
28934929-qs60rd8p7o;28934929;a;2,11;;;;1995-01-24T07:12:12.6+01:00;;VNC
28934929-fx6a5mllihpu;28934929;;;;;;2005-08-22T09:10:00.6+02:00;1;
28934929-;28934929;;12,48;;;;;;CLF
28934929-;28934929;g;;;;;;;CZK
28934929-;28934929;;;;;;;;LAK
28934929-jiukgxh;28934929;;;-65234508;;1995-06-18T16:48:15.6+02:00;;;AUD
28934929-;28934929;c;;;-85303582;;;0;USD
28934929-;28934929;;;-81359220;;;2001-02-15T09:11:11.6+01:00;;VEF
28934929-;28934929;;;;;;1998-04-22T05:05:08.6+02:00;1;
28934929-;28934929;;;-27237084;;;;;SCR
28934929-;28934929;;;-75433791;;;;1;ZRN
28934929-;28934929;;0,09;-68986856;-95437368;;2014-09-19T01:12:43.6+02:00;;
28934929-yk4ksvlbtoy;28934929;g;;-67279109;;2018-11-01T21:00:29.6+01:00;;;
28934929-;28934929;;;;;;1999-08-18T22:39:03.6+02:00;;
28934929-m8e;28934929;;;-21030742;;;;;EUR
