#28934929-V-2019061208-K-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-j9tr4irkc1r2k1tgrt;28934929-or4r4s22p9vfvodf;K;;;;
28934929-x9q6e5yf6bodue7c8p13t;28934929-;K;;;;2018-04-29T16:08:26.6+02:00
28934929-rsqhod73haswt1s5q7j;28934929-;K;0;;;
28934929-;28934929-;K;;0;T;
28934929-rl3arko;28934929-77rxkhg25jbobs;K;1;;T;
28934929-;28934929-ll1pycwovl0xcti9rikunc;K;;;D;
28934929-;28934929-;K;;;;
28934929-;28934929-sx6pne7;K;;1;;1996-10-20T19:51:50.6+02:00
28934929-;28934929-;K;;0;;
28934929-xy6g;28934929-gxjoc5dbxsu5jk6;K;;0;;2012-03-11T05:32:57.6+01:00
28934929-;28934929-;K;;1;;
28934929-cx21dphoao69178bt66;28934929-;K;;0;;
28934929-;28934929-;K;;;;2008-06-01T17:13:18.6+02:00
28934929-;28934929-;K;;;;2007-04-26T21:06:22.6+02:00
28934929-;28934929-9mu4wy5i;K;1;1;T;2016-02-24T19:00:47.6+01:00
28934929-;28934929-;K;;;T;
28934929-;28934929-;K;;0;;
28934929-;28934929-21qt5c7nvc9tij8;K;;;;2007-08-10T13:07:04.6+02:00
28934929-;28934929-;K;;;D;
28934929-;28934929-;K;;;;
28934929-7lvl2rt089s696a2s;28934929-6u41pqd65;K;;1;;
28934929-;28934929-mpbiri91le4qp740a;K;;;;
28934929-uhqi1inbmg;28934929-;K;;;;
28934929-;28934929-j6oba;K;0;;T;
28934929-xdo2ig7;28934929-;K;0;;;
28934929-;28934929-;K;;0;;1999-09-25T20:25:10.6+02:00
28934929-x76pnh9et0tytkaca403d9;28934929-;K;;;;
28934929-;28934929-;K;1;;;2011-09-17T21:48:53.6+02:00
28934929-li46gfj1xg;28934929-;K;;;T;
28934929-;28934929-;K;;1;T;1995-11-12T09:15:07.6+01:00
28934929-bh2n;28934929-;K;;;T;2014-01-30T09:27:08.6+01:00
28934929-;28934929-;K;;;D;
28934929-816lbgduyj0;28934929-;K;;;;
28934929-;28934929-wlfqk;K;1;;;2018-05-01T10:58:11.6+02:00
28934929-;28934929-;K;1;;;
