#28934929-V-2019061208-B-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-;28934929-6a3a99nv71pbyacn316hd;B;;1;;
28934929-;28934929-;B;0;;;
28934929-cuvrvxpp2;28934929-;B;;1;D;
28934929-;28934929-19woupjciforfqj8wnq43;B;;;D;
28934929-;28934929-;B;;1;;2013-12-21T04:24:24.6+01:00
28934929-;28934929-;B;;;T;2004-08-31T13:07:58.6+02:00
28934929-row3uqr25y2y0o;28934929-;B;;;T;2002-05-19T14:47:19.6+02:00
28934929-8urrnuurn8;28934929-;B;;;T;2009-11-16T09:50:15.6+01:00
28934929-fp3xrhd888vgeak;28934929-u5cwk1uma;B;;;;
28934929-frbfsuue7if8;28934929-;B;;;D;
28934929-;28934929-;B;;;T;
28934929-;28934929-ay829;B;;;D;
28934929-;28934929-;B;;;;
28934929-;28934929-5eyilqok30n7;B;;0;D;2008-07-05T16:28:50.6+02:00
28934929-;28934929-;B;;;;
28934929-b3q6oi0x8q3vp;28934929-;B;;;;
28934929-;28934929-;B;;0;;1993-10-12T08:18:03.6+01:00
28934929-;28934929-;B;;;;2021-01-03T13:14:41.6+01:00
28934929-s4l52i1l6a;28934929-kxq53mhtanljpow;B;0;;D;
28934929-xp2s0o1dotd3gm3er3;28934929-;B;;0;D;
28934929-;28934929-c4itdw4y5uld44d;B;1;1;;2010-11-01T20:04:02.6+01:00
28934929-;28934929-;B;;;;2021-06-06T12:56:23.6+02:00
28934929-md1p3yuchys9b5;28934929-;B;;0;;
28934929-;28934929-;B;;;;
28934929-;28934929-;B;;;T;
28934929-xma4fh7;28934929-;B;;;;
28934929-9n9btfm8dyv15f4x;28934929-;B;;;;
28934929-48j;28934929-;B;1;1;T;1998-04-28T06:33:51.6+02:00
28934929-;28934929-9k67n;B;;;D;
28934929-qjnknmsjx67729j5p;28934929-;B;;;;1993-01-10T15:33:41.6+01:00
28934929-;28934929-hfei6u73l7pphdjwcg4cgc;B;;;;
28934929-oyqib49l3o8;28934929-;B;;;D;
28934929-;28934929-;B;;;;
28934929-;28934929-;B;;;;
28934929-c4s66iusy13o214cogf;28934929-r30jms99epe1akl59hfhl;B;;;;1996-09-30T14:16:36.6+02:00
28934929-;28934929-;B;;;;
28934929-;28934929-;B;1;1;;
28934929-2y5mqrsgw15uj71u83;28934929-;B;1;0;T;1994-06-09T01:01:14.6+02:00
28934929-b3i4mxhxr4ss5jjr405a;28934929-;B;0;;;
28934929-j1gn0i7mjn3l4kmg;28934929-1v4m37kpd7io;B;1;;;
28934929-d0ibwwmh3ku;28934929-;B;;0;;
28934929-0f93rneoqqnmc;28934929-;B;0;1;D;
