#28934929-V-2019061208-B-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-8dvgoj;28934929-uvm3kx0docicw7e3v5i;;2015-05-08T02:35:23.6+02:00;;;8ýťxěo3ón2
28934929-;28934929-;;1998-04-19T05:51:28.6+02:00;;fxv2ld38íá6řďďkútgyqeá3u72épri;
28934929-;28934929-;3,69;;0;;íjď6
28934929-;28934929-;;;;;jáavůyúíý2en
28934929-;28934929-;14,81;;0;nšlceyghw2rb0xšunaíěeb9pqpi5i3óí0eó1sljťi9;f8n9ďe
28934929-7qtuv7t4jb2wd;28934929-;;;;;
28934929-;28934929-j3quco990y9;;;;;dx7lpwt4hgusú2
28934929-;28934929-;;;;;
28934929-tn3v9fw9t8igpsl2uvya;28934929-on2evny2;;1997-10-30T21:42:14.6+01:00;;;kyíw45řtyknťo
28934929-;28934929-;2,68;;1;;
28934929-;28934929-;;1995-02-27T12:48:14.6+01:00;;326f748sddbfsx2;
28934929-;28934929-;;2001-05-17T20:35:35.6+02:00;1;;
28934929-;28934929-;10,16;;0;;xób0vý
28934929-l22ncqlbbrqbqsyuw3mlt;28934929-;;1994-11-29T17:41:46.6+01:00;1;áéě;
28934929-;28934929-;;;;;
28934929-lcywawk5t3ovdewnml3;28934929-;;;;;
28934929-;28934929-dwr1r9y3l7hcdxpyis;;;1;ý9ď6ásr;
28934929-;28934929-;;;1;4yiéčíkě23s495měí;ř03a0ďsíěponřw
28934929-;28934929-;10,40;2017-05-08T10:12:40.6+02:00;;;čr4ěf1u
28934929-;28934929-;;2001-12-20T22:30:55.6+01:00;;ýíxq8ul4ý3opú1pčýb6ě4měobýróšě;
28934929-;28934929-1li47g0tggs07h;;1991-11-21T19:48:56.6+01:00;;;pérá8wš2wčwmií
28934929-bt7ps4xy;28934929-;;;;;
28934929-4cv7er6dmsw;28934929-x93pixx;;2005-06-07T13:56:22.6+02:00;;;
28934929-;28934929-;;;1;;b8ty3
28934929-32hx3204p;28934929-;7,75;;;;iť1r00řq
28934929-;28934929-;;2010-10-03T17:43:43.6+02:00;;ójxcr0pák80ěqgwřbexlř2wů6hvě6ďpjc5x8h;
28934929-el6flgf;28934929-ujfjrja80sqq6ovb9;;;1;;qdř0ésdj71clbčm070ťty
28934929-;28934929-s4nftur12;;1993-03-16T04:28:06.6+01:00;;;
28934929-;28934929-;;;0;;
28934929-;28934929-2e5v08ojyviajy;17,39;;;;t37ýďjdjtb8křs
28934929-;28934929-;14,03;;;;
28934929-;28934929-;;2020-05-08T15:30:43.6+02:00;1;;29á7e
28934929-;28934929-;;;1;;ďn51řř
28934929-;28934929-nok;;;;;
28934929-;28934929-;15,56;;;;
28934929-;28934929-;;2013-12-25T14:50:01.6+01:00;0;c0e08xpůp6l;
28934929-qw9545;28934929-;;2008-04-17T16:07:18.6+02:00;1;;
28934929-;28934929-;15,79;;;bcxůa5rux3tjgkjnř19m5ď;
28934929-3i53629dk78cf3oe9av;28934929-gxy7xql8dh2naetx4tpgap;;;0;ěmlťúďé5í;x0ssr66daékudwk3ďi36g
28934929-hdc50kfg3uy74rwo;28934929-;;2007-06-07T05:12:07.6+02:00;;q3d3hw1dušbpl0jůěóéo0ůěle1f6fbxjéo3á0só2ťb;
28934929-;28934929-;;2002-12-10T10:43:58.6+01:00;;;
28934929-;28934929-;19,44;2021-10-02T06:14:26.6+02:00;;;
28934929-lsg6hnepgg;28934929-;;;;;
28934929-;28934929-;;;0;;
28934929-cte0x;28934929-;;;;;ho6ú0ad911úýben
28934929-;28934929-smqei5jhesw6rvc3gpoa8;;;;é3č6vrrěěůaeqchv26w9ďfxnš0ť0aéímécď;
28934929-2pdqspiag95mb1kyx3d7e;28934929-;;;;;
28934929-;28934929-;14,09;;;;ů5mď3qěř
28934929-;28934929-;;;;;b5gwš9éed4x
28934929-;28934929-;6,08;1993-11-05T15:17:28.6+01:00;1;;
