#28934929-V-2019061208-K-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-ttw1gk4pducwo4hq;28934929-be79h;8,39;;;iúrřmbýlrsčm7u1íěšv3jgríbówtl9ťéo9dtqhbivči4iájp;wť1tjkhč
28934929-;28934929-;13,98;2012-04-26T17:12:43.6+02:00;0;;uufáčqítdj7xfcg3wt9
28934929-qa2k;28934929-;;;;9ítýxnló4onf;
28934929-;28934929-a8vdd9g6w6x5;;;;;
28934929-;28934929-b6yptf8g84trj18d;10,85;;;;vřaufsfi58ď1wmql3
28934929-;28934929-;;;;;
28934929-;28934929-27yov3r2g;;2019-03-08T09:18:44.6+01:00;;;
28934929-;28934929-;;;0;;ri238km9f8é6ódč24f8
28934929-;28934929-;;;;;ojď3nú10bqxémkóipmt2x8
28934929-p37fih49vxton;28934929-;;;;jk72dgřm4ďhifscjpmlšd0cďb0x7pápé5i;ědxř9cg4rjbúymn
28934929-;28934929-;;;;;
28934929-;28934929-;;;;;ťo6čigmmpvťm
28934929-;28934929-;;;1;;
28934929-170t0t2ttwiqdc5m4kop;28934929-2w4fd5;;2019-12-28T13:26:09.6+01:00;;;šqu
28934929-;28934929-;;;;6evýksgď84ggořýn35baůčřnc1mtkítnf9éfadíugay7čáů6ir6;q0áóakdty5ů4i3kší1bxb
28934929-;28934929-;;;;dl92wycgšc9hvh15qů8áwcp;
28934929-dtn8oof9s25rnc;28934929-;;2007-09-28T13:45:33.6+02:00;;;
28934929-p3hsfymuwxf2;28934929-65g5dt575ptume0fkgf2;;;;;
28934929-old06my0ywvoeojn;28934929-;;;0;;
28934929-;28934929-;;;0;éx6qdiitúai0kqú5ínégoé65óóčf3;pwé3
28934929-;28934929-595janxux9xr;;;;;tťeqpoj
28934929-;28934929-;19,90;;;;
28934929-;28934929-;10,69;;;;
28934929-;28934929-;;1997-05-01T21:33:00.6+02:00;;;lu8sťběmyjqamf
28934929-;28934929-;;;;;4čn
28934929-;28934929-;;;;;
28934929-;28934929-d3n;12,98;1995-08-28T00:11:55.6+02:00;;;v0ďvťýďe6q0p
28934929-;28934929-;;;1;;
28934929-efwlwd;28934929-va4t5q8ipx8ox8gem9ks7c;;;0;;
28934929-begw;28934929-;;;;ťóxec;dórb6fbq6ý3yy5mn5
28934929-h8fk0ihxfvadft;28934929-;16,55;;;nm3mý53věu2ckřcáť278éix49e5a4á;
28934929-u4s5652iqxpibdmtxb;28934929-qdhb5jd;;;;;
28934929-;28934929-;13,53;1999-12-18T05:55:21.6+01:00;1;;
28934929-;28934929-sxl;;;;íťue2hn9áei7sy4ur;
28934929-;28934929-y3ccjhgcdl;14,74;;;;
28934929-;28934929-;3,42;;;řhoa2g6510ářwx4f1y9fýťnťhťýúýcójhmi;
28934929-;28934929-;;;;bs6gosqrů60ďmpďxl6fř9wfekge48;
28934929-bihx147cm4myvq05j9h;28934929-;18,31;;0;;
28934929-;28934929-;;;;;
28934929-;28934929-;;;1;ě7hmr1íh9sqčroaá03x0yóxhóýf9hb751;
28934929-;28934929-;;;;;
28934929-;28934929-sw2o4j93gd1d7uc7ncs;;;;mifr5á7eýff7a2lýůbcpúťóh6qayů7;oól3tji1pdájh
28934929-;28934929-;;;;;
28934929-t06;28934929-fe1wu;;1993-07-04T04:22:40.6+02:00;;;
28934929-;28934929-bhfdveshyhi;;2014-08-21T19:07:00.6+02:00;;;
28934929-25quo;28934929-;;2009-02-27T15:35:37.6+01:00;;scěós7šš5ila;
28934929-btb5s9qiurmb30147vt3;28934929-b68tt;;;;ťkrýřmeůwwóďpcdhiješo8xaxnčěpkl5tbmšó1;7šyřoůěíp7aróď
28934929-;28934929-;;;1;vúvam78wjh0;
28934929-vstk4hssu6f6ou9xlc6;28934929-;;;;;ě2doeřěď
28934929-1k9f;28934929-;;;0;řutlri6ů2e2v2mumwámčfylaxy6ásáhwv;
28934929-epw1itb9;28934929-;;;;0k75dwlrwé7t;
28934929-;28934929-;;2012-03-21T11:00:11.6+01:00;;bšlšy5krtb1vřh8vř6ýkýtďxruřů09etb5á;
28934929-;28934929-nlqcphi2wgk6i;;;0;;tlóqéúiďtxgčéf
28934929-;28934929-;;;1;šg91éúíýlčš1qfpčewlďf1bíč0p4e;vďa9
28934929-;28934929-;;;;3í7krď;
28934929-yokseq;28934929-;14,49;1997-12-21T14:21:49.6+01:00;;jn54e8s0ůř3f3qq7ťll;10630né6bť7y9óšv
28934929-jryqt78stxb3;28934929-p7s36ggqee4c4f;;1997-03-27T13:32:56.6+01:00;;;eiaářpyaúoyáš
28934929-yiikyyp0plpiinguqe9cop;28934929-;6,65;;;;
28934929-;28934929-sm0pfpl112sdxcukcsu;;2021-04-18T12:15:49.6+02:00;;;rg0ů6óbe1ú0e6vaapó
28934929-rn8ju1yyvy7g;28934929-;8,82;2016-08-28T07:31:29.6+02:00;;;8bn
28934929-d4k6kmk;28934929-ksvvnuii9tegsqypyh6t04;;;0;;
28934929-;28934929-;19,90;2002-06-11T18:50:14.6+02:00;1;;
28934929-;28934929-;;2005-12-06T00:48:34.6+01:00;;;
28934929-;28934929-;;;0;rťúř899ůsónáéenuýate1ďůgnj9lyshdós;
28934929-;28934929-;;1994-10-31T14:06:13.6+01:00;;;
28934929-;28934929-;5,80;1994-10-31T02:06:33.6+01:00;0;;
28934929-;28934929-;;;;;mgálq86cmhóť7těě1c
28934929-n99r27oe;28934929-;;;;;
28934929-h8hcmbf8dxbim4n8j;28934929-ao6pwisrt;;2013-05-28T17:01:20.6+02:00;;;
28934929-2y2gg5p9s;28934929-;19,39;;;;
28934929-lb610qm;28934929-;7,32;;1;;mmmčlúušš0í
28934929-;28934929-dy56pxvep;;;;;
28934929-;28934929-;0,30;2007-08-12T17:23:29.6+02:00;;;
28934929-;28934929-jkb0gurnue9iweonk;;;;;
28934929-;28934929-;7,69;;;;7ýów2
28934929-su1268ey;28934929-;10,91;2002-04-08T09:28:48.6+02:00;0;;ďjaáčgřb7kým9gwxčobqá1
28934929-;28934929-;;;0;1w7kóaymm6řv0í7gvúšq5ďiqúěb02o5ácbw8lca;
28934929-osnqnea;28934929-;;2020-03-03T20:14:10.6+01:00;;8ě6it0xjhóařfb2šáďéá;
