#28934929-V-2019061208-K-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-;28934929;;18,7934990;;;6772;;;;7g30ů8éčuc;7011;;9605
28934929-;28934929;5,3677325;;;;4195;ygč9p2y65řpe6oifds3úpúúčbřwtgí0e4géqbďe;8bp51aďdšářqn4řlqxhvs5w2mw9tť;4749;ájěxdnhinýč67fryj9byr;5002;;
28934929-e6j7tt2pq341k;28934929;;;;;;ornčmrqr6s4y0ów63inn;;;;4129;;5070
28934929-;28934929;;;;;8100;0m0úr88nfujhpgďěv3óphywpfyyjxfke97čsťďěb;;9164;;;JHM;
28934929-;28934929;;;;712xvuodw0cjťu5ůě70štxpá6dn7faaopěnf8q0héfr5vk;;íůsčap4šdxďcxmýeínčďťap8d95ůqáú;7ašvoúď5jsuůn0jót9b6áj101fxýqťřý31jxďť6e4qúc2;;;;JHC;
28934929-;28934929;19,4442291;19,4981842;;;;;aíhwšéřčveh7cšba7yšo3šqnb8eéofm48tpé4;;;;;
28934929-;28934929;;;S;;7222;;;;;;;
28934929-gk1698le53ufvytax0f;28934929;10,0593843;;;;;;6b9qolq;;ř47ďidw3fá2xt7ékhúřďbkm4gř0ló;;;
28934929-;28934929;13,3710232;6,9306746;;;1821;;;416;;;HKK;
28934929-;28934929;;;;;;;22rmácěóefíěwiědo65dlpvhdcéuymí4ďcaá2pěxp85mnmů;;;;;
28934929-;28934929;;;;;;;;;;;;
28934929-;28934929;;18,0209198;;;6253;;;;7úqďčbjiípa6ocě5ýšlíueůýuř4řd5m;;;
28934929-l30q52vqx;28934929;15,8184958;16,7399311;P;;9593;;;1707;;8155;MSK;
28934929-;28934929;;5,3891544;H;ťuěhh5uý9gsu3tb;;;q8hůcfdůř1í50ja;;;;;
28934929-;28934929;17,4218140;;;;;6vřóá5ů;;;;;;
28934929-;28934929;;;;;;;;3420;;7853;HKK;
28934929-pdu367jg;28934929;16,8717155;;;;;;ox7ý9ďsósvůáqfnéjf9úůe5u3jhc92;1761;kaďx2iýďeůyvýiyťi319éťř;1104;MSK;
28934929-;28934929;2,9870939;3,6125698;;6ěrjůjjxm5ya1x13ď6jmujjrg9ďp;;ščšpxp9ř;;;;1322;;
28934929-;28934929;2,6838758;;;ýdmp05myí;;;raúťďešgáhveqxké0nčéyu33řyso4cqw;4454;;5976;;
28934929-;28934929;13,9538431;;PS;ýíwji5lág2fóé3wntů1ďý28á501yťó82;;ogýrťnqé17b099esšjč33ýtqxčúássě2háoě1líco3ď;;4749;i7gůí83ť;;;
28934929-;28934929;;;P;;;6jůťčý3xupw3šl28árótt7úďpóq923ql4vb9;;;;9756;PLK;6751
28934929-oh2otgk;28934929;;;PS;5yémyeh46uúnbh3áxvpóíonir0cšsrctfxvšcboq;;bšnqyg7í9ťščďki4řuťřqvv0ťřvw;nc2úfýy0iíié8h9š9xdřp7whě;;;;;2880
28934929-;28934929;;;;;;;;;;;;2946
28934929-;28934929;;;;;;;;4552;í6n2rr0482ťvačmly9ie1hrvů2n47enůú2h3otlóěcxly777ťáx;;;
28934929-;28934929;;;;;;;;;;1781;PLK;
28934929-50fr2nbkn547i;28934929;;;;;3662;;;;;9537;;
28934929-45gu3i9;28934929;;;;éwdíif75íméd3ú19éféwb02iwóf9é3wjyiíemsdýf7x;;;;;4i8lď8óůec8w8ógěút6éas9swvvar0dťo7néc;;;
28934929-jmpiom5hla;28934929;;;K;9šéekíě4ák2aěiwg6hesoíť47ěwkcp4ě4a;6521;;xadfývšy3ř0a;;;5124;;
28934929-;28934929;;;;;;;;;;;;
28934929-br33vo3jusv;28934929;;16,7825527;;;;;únšřp4xírpmp1úěyp4á;2647;aéé9rji8áýýtůú5xh7ýltópoš5uď0c;;;
28934929-;28934929;;;;;7131;;aíešp2ju4vidj4lws78síunůa2kxefírqvláékxb3206fdýkúetu;2688;;8447;OLK;
