#28934929-V-2019061208-K-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;;B;h;28934929;2014-06-23T05:14:38.6+02:00
28934929-;;T;;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;;;k;28934929;2009-06-13T22:02:43.6+02:00
28934929-;;;;28934929;
28934929-ytrhtaxe8m7mguluy6bt85;;Z;;28934929;
28934929-jq06tateokigbv;;;a;28934929;2021-01-11T16:23:24.6+01:00
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;;;g;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;;L;;28934929;
28934929-k691atep3r39n6c1n;vo4al;;;28934929;
28934929-8sth5eb7ort5taplky;mšvnháhstqwětpwd;;;28934929;
28934929-f8fsw10ec;;;;28934929;
28934929-ukgonxwg5x5eyer0jgl8b8;4ik5ú0á;;h;28934929;
28934929-5cj9pyfbmomvh7pvm;;T;h;28934929;2020-03-11T10:06:48.6+01:00
28934929-c7f96ww5pwuyhgxaa8ily;švwaqúeúnúďáixégěvdřuyýaďcyo66k6fdhib05ší9čú;T;;28934929;2001-09-20T04:40:26.6+02:00
28934929-;;T;i;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-;;Z;;28934929;
28934929-;;;g;28934929;
28934929-;;;;28934929;
28934929-mddcen3d1m;éůěwb3dvťfůpn1;K;a;28934929;2003-05-27T04:34:14.6+02:00
28934929-ojmp6fymstos0bcy7e;;;b;28934929;
28934929-;;;i;28934929;2000-09-22T09:31:13.6+02:00
28934929-sxyuxjhs;;;;28934929;
28934929-;2t43mčš9jmé20bóq;;;28934929;
28934929-qhfissuna4t6rgg3bgw5;;;;28934929;
28934929-;;L;;28934929;
28934929-0q8otg;sšptyjlq37;B;;28934929;1990-10-31T07:15:11.6+01:00
28934929-;jéčpláš9h2ěvmóů6mg6ýy5č;;;28934929;
28934929-;;;;28934929;2010-02-10T06:49:17.6+01:00
28934929-;y9í9ďdla5ú7ht8í5ívášfíbů;R;;28934929;1995-03-08T05:50:00.6+01:00
28934929-;;K;b;28934929;
28934929-;;;;28934929;
28934929-9q9m76uq;;;k;28934929;
28934929-;;R;g;28934929;
28934929-;yb9viššrdd0áťřingšďgwř3ďýjumw1w8yúnaiaesíeřel62;;;28934929;
28934929-oh923;;;g;28934929;
28934929-;9nktxyý6hyíé9h13uúrep2lpmumtřčwlú86é3uq3fiv52og75ó;B;;28934929;
28934929-;;L;;28934929;2006-02-12T07:09:50.6+01:00
28934929-;;;;28934929;2014-12-29T19:18:40.6+01:00
28934929-4ka785hava6r;dxrth7o7l33f7jgbuérho2;K;d;28934929;
28934929-;ukóxtďdr6wói0šdp5iu;;;28934929;
28934929-;;;;28934929;1992-01-13T00:49:49.6+01:00
28934929-twhmj069v20co4iskj;;;;28934929;
28934929-dec27yq5d3k9dsy03ncwum;;L;;28934929;2010-01-03T21:04:52.6+01:00
28934929-;éiďyóéqomfqať1ůirú2rš4jkčůůjóp;;f;28934929;
28934929-sjbohyo;;K;k;28934929;2003-10-18T11:13:46.6+02:00
28934929-of9c8;;;;28934929;2016-10-06T11:50:42.6+02:00
28934929-;;;;28934929;
28934929-;;;c;28934929;2011-02-13T23:32:17.6+01:00
28934929-;;Z;;28934929;
28934929-;;;a;28934929;
28934929-jg19h7yvsk;;;;28934929;
28934929-;;Z;;28934929;
28934929-;;;c;28934929;2006-06-28T10:36:40.6+02:00
28934929-;;;;28934929;
28934929-;dťagťf0úgof7yíůjůxůšu8yqvó63úl9bďxc6n7hheť9xfušswi;;;28934929;
28934929-;š4lbxřqt18óé4tógěbfřá5d6oš;T;;28934929;2008-07-17T11:50:40.6+02:00
