#28934929-V-2019061208-T-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-6i6oyuwvx8dxf13eb46t;;;;;
28934929-;28934929-;;;;ebjrhšcdaéiůďúý1řýj5tířj0u;
28934929-;28934929-tu26aa790l7uedwrwi;12,71;;1;;
28934929-;28934929-;;2010-12-29T12:30:24.6+01:00;1;luřiqrmří9ůjěgé;úalwwoúaté
28934929-;28934929-;;;;as0í4jnjugdo;
28934929-;28934929-;;;;3čďéxčun3ťhr5tůá74ůífřó4gď2aqpť2vpj6kbí;
28934929-qygeb06l9ansc;28934929-;;;1;;řpřěsojbguw6ůwcxůsiici
28934929-;28934929-;1,29;2011-09-02T00:59:34.6+02:00;;1řěcuiďďo5o4řcědbqtrns7ůqtůnb7éljgť7w07úáý6;uéa0ěl62jýó9ql3g
28934929-;28934929-6ehirgrg9sc6201bpmgl4v;;;;;
28934929-;28934929-;3,42;;;;5qšďó8spúůwd0xfydý
28934929-;28934929-;;;;cřýěó5wů;vcv0
28934929-kinuoviqmuoyby0bq5;28934929-;;;;;nq82érěó8šťaíť
28934929-bpg;28934929-;;2000-06-20T07:12:57.6+02:00;;;yku
28934929-thjuxkfy3nbri4ombgp;28934929-;7,73;;0;;úe09ýówn2
28934929-p5ni6;28934929-yov0ecrb9xd69rjm9;;;1;;vleq05aůčk
28934929-;28934929-;;1995-09-02T03:48:33.6+02:00;;;
28934929-;28934929-;;;;ěťuřtsbx9ýč60ťwyúraó6ůš6d;
28934929-;28934929-;4,80;;;;xndvídécwoěšhdífw
28934929-evq5m;28934929-;;;;4nkěcřčslďqwbíxté;5g1ýbo346b5hgťó9
28934929-;28934929-;;;;41čóde2é5cws39šůodpat6ůáy9á68f8kůqfu27imtwtř2ooj07b;
28934929-0usg0e0fff3ajhl9;28934929-;;2012-09-07T17:35:36.6+02:00;;;
28934929-390hxud0ern97w1fj;28934929-vc8wuco70v071;;;;;
28934929-apgqddur;28934929-;15,28;;;cóřji3fšwl83wt3ďůtšhýďqc8qu8táécmuj4lga2;
28934929-;28934929-;8,26;;;;
28934929-2yupuouu9a171;28934929-7qt80uqs2wm575;;;;;ůoďqeloo77š2
28934929-;28934929-;;;;;
28934929-;28934929-c0ys;;;0;;
28934929-;28934929-;;;;nóogfeqš08884ďoťs647řůiqýpxvusťlpmmág;jům8čias71jú7íi5km
28934929-;28934929-;;;;;
28934929-qg9u5ban810xnq1;28934929-;;1999-03-07T09:24:05.6+01:00;;;hokr63yč8áe
28934929-p3oly3jin4r6;28934929-;;;;p5křliť1ria8řěďyčlxfhqlřťěůxuůi4shřg3č5íďoqfďfxq0bš;áa28
28934929-m6ibpshkxs0o3v;28934929-dlpy;;;;;
28934929-mt9bbuk7vx30j8;28934929-;11,32;2018-08-22T11:50:43.6+02:00;0;squ41d1laín20lýy5wi1o4;
28934929-;28934929-;;;;kdp4vc8yqd;
28934929-;28934929-;;;1;;
28934929-57qugqgkbdp;28934929-;7,22;;;;2tďpeyčšq80fjm7e3ój6e
28934929-;28934929-;7,99;;;wwbaěéf4kvefnjlj;
28934929-k6f9k;28934929-;;;;5řfsóěfet3;dgmsólrpt9íip1áj
28934929-m1mkm;28934929-tsj;15,15;;;ótxijhď7ičén69dřů8to2b;
28934929-;28934929-;;;;;
28934929-;28934929-;;;;;
28934929-ag8v4c12v0uqox51l8ksa;28934929-;9,60;;1;;
28934929-;28934929-;14,51;;1;r16wť5avďtó10xďóůfwóg3éůéjďas0s0dx;
28934929-;28934929-du1aqus28if2xlvct2jc;;2015-11-16T04:44:10.6+01:00;;;
28934929-;28934929-oat8g0avwqqy5;6,57;;;;
28934929-;28934929-;;;0;oů5f7ťvf5řuí1ífékúu309vqylhnějaé;
28934929-;28934929-nibh;;2008-12-03T22:04:44.6+01:00;;;
28934929-;28934929-0pqu3jwdm44txpta3;;;;;
28934929-3r7;28934929-;;;0;;gškv0upééhgef0mj
28934929-;28934929-;;;;;54ůbdjřntlpu
28934929-;28934929-;;;;6y4řmýk;
28934929-j1qstgoon8b0cp0l;28934929-;16,38;2000-12-05T19:38:30.6+01:00;;;
28934929-;28934929-;;;0;swďt3lajg8090svůpý6ax7ů;ďn4pwi3oóváms7
28934929-;28934929-;;;;j06lhmkmlc5fďnh8řršqdldu;
28934929-ewuplk991l0q0;28934929-;3,46;;1;d1j72učxdeýsgrm3ětsť2u9čeiwoěř1č6d7j7cšv;
28934929-;28934929-;;;0;;
28934929-;28934929-;1,26;;;xcnóeéuáp1šstj8xkgšiuš;
28934929-gqoka5pyo0x20;28934929-;0,33;;0;;
28934929-6vp6iwikufy13b6eb;28934929-;;2003-12-11T11:28:52.6+01:00;;;
28934929-52bvc8bpyq;28934929-;;;1;;
28934929-;28934929-;;;;;čpďh
28934929-;28934929-;;;1;;
28934929-;28934929-;;;;;
28934929-;28934929-;;;1;š8qr5bůe6;g4cíéxěeůígm7xčjc
28934929-a5ld7bbt51xhhl9;28934929-;;;;;tě9lhrry5fč3qan1sqřv12
28934929-;28934929-;;;0;;2kýétoijě3ímwč2p0wíč
28934929-eigxqmyh8;28934929-;17,17;2015-05-12T15:22:03.6+02:00;1;bégošťúůítgioá2ů8vedj;
28934929-;28934929-;;;0;;3qců98u
28934929-0wckwv0r70pl0v72k;28934929-;;2008-03-13T14:53:48.6+01:00;;;úusďhbxš2j7trpe6nitvd
28934929-;28934929-k2b8t7m5bbc;;1994-12-25T00:10:29.6+01:00;1;ýqď23ásírwjč0tmóělbibýu4v1;bíaéý4ýb
28934929-;28934929-hm7vysgm8mk8u;;;;;
28934929-ckio;28934929-;6,10;;1;;
28934929-;28934929-;;;1;ťůsyd7í9t5čg1šm2ú5;
