#28934929-V-2019061208-T-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;čbý0ď94xý7š07eofqayd79v85éěb9óbíúóďbmxsj23h1ěěbx;;;28934929;
28934929-;;;d;28934929;
28934929-;2ťyc8čpcg9aqsuďs8úáq6;;h;28934929;
28934929-kcij5mb6701b9bqu7w75cx;;;;28934929;
28934929-;;;;28934929;
28934929-;;;b;28934929;
28934929-;;L;;28934929;
28934929-;ďkdia37črú6čhníbsě1mogyyímrdyfča0l;R;h;28934929;
28934929-;;;b;28934929;
28934929-420yqsykm6fkq227y9i;řtptkť0ýf;;;28934929;
28934929-;;;;28934929;
28934929-ew4uf33mo;;Z;;28934929;1994-11-25T20:11:21.6+01:00
28934929-;;;;28934929;2006-02-27T14:02:15.6+01:00
28934929-;;K;;28934929;
28934929-;býípenifwočďýk6jřmřď6tbcěsdů219j0tqš;Z;b;28934929;
28934929-;á2mg09ďsuěoěřkd6děí2íxďp7aúb;;;28934929;
28934929-uwoyb352v;;T;;28934929;
28934929-;;T;;28934929;
28934929-;v3is6vťčwů;;;28934929;
28934929-gvfx1v65h7sb8owf83;č599ýr3;;;28934929;
28934929-t43gnci;leýf1pkůě05egxřaw8ós134ěh8yř0wd7eúxřbár8ogcp4k44ý;;;28934929;
28934929-;;R;i;28934929;1997-04-27T05:11:20.6+02:00
28934929-;8x7ria3im1ýřč1s2cqůpw8bmťsmwgťvydvřř9ťripťpěebmcvy;Z;;28934929;
28934929-;;B;;28934929;
28934929-;;Z;;28934929;
28934929-do9ia;;K;f;28934929;1993-03-17T18:23:41.6+01:00
28934929-;;;;28934929;
28934929-;0bxícýáyn0w8jčšěý2v4čf7wll;;;28934929;
28934929-;;;;28934929;
28934929-;8y4úf90eáíy3téť0móávdďyqčhať0éaó0éýďu;L;h;28934929;1990-08-05T01:51:12.6+02:00
28934929-;;;;28934929;2006-10-26T01:46:36.6+02:00
28934929-;ó7ýjqc8íěpť29r03;;;28934929;
28934929-;1iáěvíáór;;a;28934929;
28934929-sgr7y7aw;g8buxčágj68ó6eruh;;;28934929;
28934929-;;;;28934929;
28934929-krwipikrduasb;;;f;28934929;1991-06-14T22:32:51.6+02:00
28934929-acb1iuqc;;;a;28934929;
28934929-;;;g;28934929;2005-09-16T17:44:20.6+02:00
28934929-kh5fe9;;L;;28934929;2000-03-12T05:05:13.6+01:00
28934929-dlrxv818xj015aj5vw;0nť3kebb4ý226ú;T;;28934929;2009-08-05T17:31:53.6+02:00
28934929-;xjčmw5dhýř;;;28934929;
28934929-;0fúéfď2vdmnrgšščgiťtfď;;b;28934929;
28934929-;;;;28934929;
28934929-;;Z;;28934929;
28934929-;;;;28934929;
28934929-;;;e;28934929;
28934929-;;B;d;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-l7s4u5tr11s3beif6egv;núcvkooauóď0ae0ď823wéuaifřš4fh4tcř06xk94lůó9u82dpčý;;g;28934929;
28934929-;;;a;28934929;2009-01-31T12:53:32.6+01:00
28934929-x4xg6md8t3y9m2nc;;;;28934929;
28934929-;p5ýóqrhořó9p3ůeýk7ncašdšcmůbbčb90kc5ýů60knš5ř4géí51;Z;;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;2012-08-06T15:27:03.6+02:00
28934929-;;;;28934929;
28934929-;;L;;28934929;1991-09-12T19:04:57.6+02:00
28934929-;qfgf6rštlšmmů96áy2ůé87;;;28934929;
28934929-;;R;g;28934929;2014-01-01T07:09:39.6+01:00
28934929-7jddmtu4egs4vdvc84ty;73ige6kcýb8rmi4xwg8y5qslěb0řt5qv1čáiů;;;28934929;
28934929-;;;b;28934929;
28934929-;;;k;28934929;
28934929-qi5dtacwewwg;;;;28934929;
28934929-;;L;k;28934929;
28934929-;;B;f;28934929;
28934929-onxk1gvxhj68cfs;84g8šl0ř326mbg15fr9sš3bhmřárué6xiďy2ióůígnčjvps4lčj;;;28934929;
28934929-jhsmaatqbwye8ilagx1uc;řcáqéíyyé5h96sxďeaoe3fvťácnčeeáwýčpaí50ýésčíďcxqův;;;28934929;2014-02-19T01:42:32.6+01:00
28934929-;;;i;28934929;2020-06-25T13:17:32.6+02:00
28934929-xb2omg1wxh;;;;28934929;
28934929-;uwťpkďaubl62íkib37pfr75oír10ýkw7ůewě5ř0réh54173u;R;;28934929;
