#28934929-V-2019061208-T-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-28nnb6pk3o53y49;28934929;;;H;6w5jeá1čafhďěs6uq5r8govtoěýťsx;5856;;g1ěí3ď8ťp7wě64ejúvšooé08né5;;ánspřeutdxřéíy;5679;;5447
28934929-fukaxpw8vofotjd82g;28934929;16,1216049;;;;;;ůbjtwxýj;;;;;7925
28934929-;28934929;;;;;;;;4724;;;;
28934929-;28934929;;;S;;;;spcf9auřalšsanfoúá0áyá;2331;;;;
28934929-;28934929;16,8135090;;K;;;o6č2mčhau4;omeqxlmóx5xug5ý5l3ya3cb6xkaq73řbďnm2íěš;;;;;2249
28934929-;28934929;;7,5112715;;;790;l9ndsď91fwbl8áůú8yéaex6é9v16í3ýlá2an7ů20ťhs7ýč7ex;úsvť;;;;;1361
28934929-;28934929;;5,0703006;P;;7287;qréclugďúůgášjéýxpůátmób1éčť0nďó5ď;dýrřúúáďk4dé8b8ýs6ěélaěh0čš1nuše8dm4bq7ďuúdbá;3071;úalm7ý5iťšůuaawtcý333éáíegtbbvajďébřhš2vmdlímúěý;;;
28934929-d3evdool256pa7;28934929;;;H;íoýs5ůú42si;4716;;ďsá0g5f8q1rx52ro;5803;;;KVK;
28934929-;28934929;;;H;;8775;dé0é9júxrřpůegahkťpúpp2svlúlf5íý7ú;;;;;PAK;
28934929-;28934929;;;P;ótě983emo;6963;íb6glřksádč9mď26érroónkg3;;3769;;;;3014
28934929-32s01i5j7vxniwj9wei0sw;28934929;;1,3635176;K;;;y6v65ťď8tě1oxggůdn9oííúúk;é0yťókhšéáwětds6q4ú12haíťhq66ěm02íw3ýěcl5šů2y;;y0yoč0jh1ťse0vvtooénps3čdýtšáb14vďrkúšg0oť;;STC;7832
28934929-j0jbfafelq9c4l8cuafpx;28934929;;5,7004900;;52poběhwáý1jďs5bčí15t54éq1qýwg2v5ud0sxr3yj;;;á1s8l1o8šíck1éqd4ťkát9qáéé7dýó0nq2s;;;7363;OLK;
28934929-;28934929;;;;kíóvan3nteým9šúqr55ůnc;;ihjh2poójó4vxs2uaěhřqbufeřů;6q0ce;;;;LBK;
28934929-;28934929;;3,8260226;;;;;;;;;ULK;1640
28934929-tav1q;28934929;;18,0345211;P;;6769;ě4črnúycť5ď;;;;;;4646
28934929-;28934929;;;;;;njbgád1ák825wyříú4;;;;;;774
28934929-;28934929;;2,8950701;;;;9g4mýč1r3kéféědjá;;7823;;;JHC;
28934929-k9pqa;28934929;;5,1818132;;mlůt2čkúřůgmť7ufýšéqeer4úřmcd;;;ř3ůpbu0n2nnýmq1h3;;;;;
28934929-p5i2tn2q;28934929;;;;;;;;;85náof0w5;;;7339
28934929-hob54sia3juup3x;28934929;;;P;;7189;;;;;1620;ZLK;3631
28934929-;28934929;10,2490053;;;;;;;;;785;ZLK;
28934929-haaeke;28934929;;;;;;xťgp5j6ohpjťmbq6pfrěč8ůč77šd2y3lřvobécě5hf;;;;;MSK;7939
28934929-;28934929;;;;;3423;;4aútýésf3híp59v;;;;STC;
28934929-;28934929;;;S;é5řkď57půi;;;;;actýěogťnx4vmwégó1qo9ad;;MSK;
28934929-;28934929;;;P;;4325;;ým4qcmk0qšcmowťvkýénqšybnciišxríťcí;;;;;
28934929-rq1tar0h7vhvphi6ade2;28934929;;;;bgo6s3yťepjšd73řsmxy2gnpqaadu1;;1fseďčjéerúďjůt4;;;137ůc9ůnš;;;1939
28934929-pf4b8djur;28934929;;;P;;;vísgíí7ďq7ď7ťťšsnkúsriť1wéei52c0ěeťlgds3tďrěťů;;;b19leóq7ýěóppďkr9qýglěbarcbrlhůěo5t3lóbhjýíw;;STC;
28934929-;28934929;11,6665096;16,0692673;;;;c1wror8n1yýř6áhf3nsq9šsý6gfřbénx5f1bm9ť;;;;;;
28934929-;28934929;;;PS;;;;;;;;MSK;8067
28934929-;28934929;;;;;;;450úq;;;3249;;
28934929-9fifesq0vypr;28934929;;;;ů3t3vataakěnx;4987;;;5972;;8466;PLK;5755
28934929-4bhxy7wo5j5y531;28934929;;;;;7139;;íe9jyéx;135;;;;
28934929-;28934929;;;K;ýqiěkehoďtnš0ý5ów83rčáct4ohí;;;;;aíl9ůftšm9vv1pejyš9okšunddc5ed6yúšřťmůawýdw4af6rú;7570;PHA;
28934929-x6j6oj4mmu4cr9e;28934929;;;S;ďčekxin44šťýýýcd8lynřpég8o;;f75iýšcoscrťinúůědďocmú8miškď0bf48épř21v;yř634m3rť2uú30čbběýděcvq5oýč1pšc47f6l3qr8;;;3411;VYS;9302
28934929-;28934929;3,9283297;;;;9163;oěhb7uyyiióchsc7ď8géíwšufílq;;;;;;
28934929-;28934929;;15,7119761;;;;íkgáóxályřd;;;;;;
28934929-;28934929;;;;;9885;;tetw8hoy9ě14vríiys119s5óřš9a9qí6ě3y7l308gťrš;;;;OLK;4356
28934929-5ybx;28934929;;18,8845348;;óýc81řmr0ď6wčdúíwý;;;;;;;;2991
28934929-9nmky3;28934929;;;K;;;1ěč4yum3dca87řčoyyqnceóhě589hx6ú8vomxkajhoubruďaesřs;;4900;lhq1k2rxčejhšnugť36ěčqkáóx4íkeeviošewvvřuw;;JHC;929
28934929-;28934929;;;;;;;;;;;;
28934929-;28934929;;18,6499500;;0vgťhkkwtgr4hšť227s0svwwťbvďmsčpjniolmťvqbsjol;;;;;8děděwlpnt99éuw6nkbu5ó4š;4301;;5325
28934929-;28934929;;;S;;4675;čwehýáě3yýďmfď3ýw5b0ůovš;kšvbyiéů5um3mxr4hq2dqěúb186úká0íblsyh;;;;;
28934929-;28934929;;9,1854649;;;;;;;;;;
28934929-;28934929;;4,3949065;;;;úím40úajvíýgdnq1uibe38yómxmcšó;q0cěťěéjřhóča4é0ě3čáxkji9e0348škéřckmkeš5cť24l0a2jc;9043;;;PAK;
28934929-;28934929;;;;;85;;;;;;JHM;
28934929-;28934929;0,5883517;;;;2523;á8ý4ěýpúyáč0m6ýoí73š8v2úřu4m7ů;;4533;6fc94bh4gj9iořlwtšlůýéyřýřeét4jkšg;6010;;643
28934929-;28934929;;;;;;čwtsqlčřnď6gýí;;;;;;
28934929-;28934929;;;;;;ďó9ú3ůčvš4íyeýmé;;2776;;;STC;
28934929-;28934929;;;;ťg17jnb00ú5k22oe;;;;;ú6ťdwky2x87wřehv;;;4438
28934929-;28934929;3,3225930;8,9476194;S;;;ár8sc4pjé7xíěkď55áú0x5č;;1558;;;;
28934929-;28934929;4,2143598;17,2696400;;;;;;;;2168;;8681
28934929-ydua53we38nb6sy9qxp6wl;28934929;;7,3316283;;;;;ó4riwťdúfavqg64c2ďftdw3ů3k2ggé7ůx1cgsvwdgruřwřqaíslh;6384;;342;;
28934929-;28934929;;;;;;f3iď1n8š7eagm3řot7ěárb;;7095;;;;
28934929-;28934929;;;;;;ri3ěoqěýfkíe1uytwjá60;;626;;;;
28934929-;28934929;;;;rmá9íbd5ýd508wg;;řhko6řnýjřsbó5mocařmpi66k46ks9cýv3oóxčříé6č37qecbf;;;7pwikn4v6švjůěmgéeckqéxeshšngkhií;;PAK;4290
28934929-muw637;28934929;;;;0iwu5sťkěh3xlýč4ď9í2čliéůéj7b8c;;écsvýnwáhpěváugjjó;;;x1gfúřawe5wdpxaxlúúaú38ťgáq9sučáhclmkřóéuuf4ů;;;
28934929-4208gek;28934929;10,1291580;;P;;;5ůxphan1atg3r9jáě1ěičiíř6yáhfřč9všýůd4éáď;;6333;ůáůdi87vwa1t6ógoěš6a9pu5ýió5acsafq4ue4éií82sfwy;;JHM;
28934929-;28934929;;19,2002602;PS;;;;;;;;ULK;4461
28934929-;28934929;;;;;;;84qwyěirs9páý4ďf26ú2yřtů3w;;;;;
28934929-u9t0u3xj0f8g073dm;28934929;;;;;;qťúcyš86aáo3fíóťúq8vg7sbťmfq6twó07t;ýiůpb7čďóe2bvuďú5a94tý09mui;;;;STC;
28934929-vjvw1g7;28934929;15,8219519;;K;;;;;;;;;8991
28934929-ay1tike7t;28934929;;2,9863951;;;8081;jůtx680gn8ťvh4eůrýoóiůóů9wh7ěihšyanýařdáčw713q04km;;3311;;1770;;6250
28934929-kn0d45bgksp;28934929;;;P;;;;6kcďť1px3čďěhfglb;;;1163;JHC;
28934929-;28934929;;7,1975331;;tďrčb2k70suxřťdsóp6ivťvf;;;í0š4nšóuxř97u5jú5meéwécqaxxc4šl4qýuncj4;;;6820;;2539
28934929-2eu7;28934929;3,0334113;;;;;;p6jú27úg8r2atů04řdnqýťtfgf6čjúwi6bt1cóú3úgsycx8r3;;;;;
28934929-;28934929;;;;čůř6r6wěšégkó2ošěuů2f7j13ěxw9hqylůqjů7plh5fqěřsl;;;;;;3509;;
28934929-ymc084238iokkat15fot;28934929;;;;;;;iš4čdóšo7éčoélyšampť;;;;;
28934929-;28934929;;17,9712620;;ů4uě0ém75řlimůťodb410rťšeljésús7;;;48ý84íďýíwěá46ég5yú2enxn3e14nqtéúuv1vynwh8c;1792;;;MSK;
28934929-;28934929;;;;;7522;;;;a4jní9ůředpeg;9222;VYS;6036
28934929-;28934929;;3,4685445;S;;;;;3625;;;ZLK;
28934929-;28934929;;;;;3914;;;;;3355;;
28934929-;28934929;;1,0224224;;éhfýgmdp77ýďtóa7kxíičdá4gy;1696;áafdmbť618řějýtx48qlp2íó3u2á1oárw7pm0kshtcxóón1mqěq;;;;;;
28934929-;28934929;;2,8850803;H;áášťšďřbbxgfúkh;6472;č5c8guóóř7xkrdccařijrůx;;9024;wvsďů2yšbďvčóěvk2;;;
28934929-;28934929;;;;;;;;;ďs72dqrůétwoďďlů89ée;;;
28934929-;28934929;;;PS;;;éaocďépšurjp4ydšnnouďjáoqnoúpoc60289q0gib122;h80nú3šéťanb3m1ó19dhm2í46ůge2c79hx6okrýřqml;;éu94čsn2řs1uh7úl3xy7aqěďm3kxudďč7srbb0jq;3173;;2756
28934929-tfvwei33xnx9escev3;28934929;;14,3953695;;;;éťec2d04lpxtáýďk3ůťs6s045dšršj;;;;;VYS;6513
28934929-ay2md6tuxlpaj14rj3;28934929;;11,6889391;H;;;c8ííash3efpóphg7crč1elé2čř2;;;12ťýx3d4ácštyvnčaylp4šk9il72jnwyry;613;ZLK;
28934929-;28934929;;;H;w78l8óťyk2čmůťw5ůieúj0íeagďrwmýůířlmjyjhfbll2ob7h8v;;;;;ěiúnwďěuťlmétřřión204aúoódkt;6433;;3963
28934929-;28934929;;1,0739900;;;;;;5274;;2087;;231
28934929-;28934929;;;H;;;;;1246;;4484;;
28934929-;28934929;;;;;;;;;;;;
28934929-y0561qidw0j;28934929;;0,6149591;K;;;;;7013;;;;
28934929-tf430a2t6l;28934929;;;;lvijmříhčcý9trfgď30r;;;;;;;;
28934929-;28934929;;;K;vbu4hččóyď7ýw75ěřétv5em4iď5ó45íékk;4058;h18eďáůrnxúgúóhvhxča;řqgxq7;;;;;2136
