#28934929-V-2019061208-R-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-7fa62sb3y8mk9r1288teb;28934929;4,2196560;;PS;ó7nlbp3íěřc7j6ištgrí5uqť9hl0ůý4ó1dšvi0jílě;;;sě4j7ť00hóůťíšoj6ělíýo66hccyoplqjjxršq;5947;;;PAK;2792
28934929-nx3cqj7royxq4v23m;28934929;4,1784272;3,3919864;;;;;;;aěagwufuď79trš6vhařn;;PLK;
28934929-;28934929;13,5599327;5,1566601;;;;;;;oý4ďčké0oe8čóýsár983afei;;;
28934929-5b81w;28934929;;3,8857794;;;;;;5573;;;;
28934929-;28934929;;;K;;;;nnxíkí4g74;;imďy0txó4š;2929;;3955
28934929-;28934929;;;K;6ůúsnirw09e7yvťj3qcú95tgěr7áoý169wr1ómč;8665;;ťóanfýshě1aeíxméěů2ýbačee3v27lubrý;;;;JHC;
28934929-;28934929;10,2431755;;;gýř60wiý3ťďq7ůhmaíriií5ýťbóab9vrwiašúe7hůú;4373;o24jaúdw0ď19šy8csbjkůh8so0ún;;;;;;
28934929-pnyehky2p5u;28934929;;;H;wltlůě1sryr13ís7a0e2bwlgřťn2měťíólůtůárgěéýhěhččůkým;8726;;;8817;xosóisqíč;;JHC;
28934929-;28934929;;1,7222167;P;;4089;;;5187;2ůůxkav5ě3íogóspqeťvú5;;JHC;
28934929-8wbcoegi39cdaima7nc;28934929;;;;;;;;;;2241;;7582
28934929-;28934929;;;;;;tětěřá0jpba1éý74qho;;;;;;
28934929-;28934929;;7,9493008;P;mď0gt34ý8toóuš84ťf;;;;3277;;;;
28934929-;28934929;;;;;3633;ď8ákugusr4yřřčumdačwwflocnq;;;;6477;PLK;
28934929-;28934929;1,4318721;;;;;ě1ayulh1qwýc7ór7ýq13hččďn1ěvjy3ěd0p4n0xvbťkwčaaghs;;67;9skaw1óqogťůše1yšchys0iřúkíč7xcřd40ůvřw;762;;5742
28934929-;28934929;;;;;;;;;;;OLK;5745
28934929-;28934929;;;H;fxx8;;rmfmůhv7š9húýý9yxně1ďwéoóaúimjk22;;;j68éjdéýmeťýš4čbwřoéluvií9cí6984cs;;;
28934929-;28934929;;17,0080490;K;;;;;;óčxv3y69éí1jgd89dsývctlyjř9pahgh35š2qjřrmaj;;PLK;
28934929-;28934929;11,3621035;;;;8890;;;5631;ý3ps0kelúuá;8983;;3144
28934929-1sdxlsa6r2yt;28934929;;10,9483700;H;y8qaó6á7iťáve;;;;;;;;1714
28934929-;28934929;7,4375248;7,8774137;S;;7343;ó2áíjtn2y5áuqeuůý7dhqk9sůmí62w;8eůřhíyhť85fo;;řiu;;MSK;6975
28934929-;28934929;;15,7999306;;;;;ůsočdáčkť2qf;;áu50ů67dj13ůy9áčpůs3i;2024;;
28934929-;28934929;;17,8790245;;;;;;6043;;;;
28934929-;28934929;14,7926188;;;;;1soťj63ěsmk8dpč;npééieůfv5íixěbgqě1dk6qjrěxmh;;;5924;HKK;
28934929-;28934929;;;;;1813;;;;ypra5;;;
28934929-;28934929;;16,1961060;P;;;;kědéě8tšó2nrů;;nseóýv0ťqóre8obwtsťjs4ocó58ťůuéi9špnácqt;8466;PLK;
28934929-svks4;28934929;;15,9448261;K;yaxqk9é9áprmšsgkxbyeú5ý0únjgnws2kařwfřa4xóxďun0ř;;;ípgwšhšáa2cgó7ý0s41ř2cdng62lq;;šd86šruýešmůúke4q1ýlv2watócon;;;
28934929-gx0pwbvnrsspgpsvx;28934929;;;;;;wawduppúoýin8f7e6vfbf2wřř76y5búš5e;friqblxůdsů7ukťwý03fk9ůoaággdlmi8;;;;;
28934929-;28934929;;;H;;;;;4110;;;VYS;4848
28934929-;28934929;;5,1172166;;;4950;;;8135;;;;
28934929-;28934929;;;;;;xjé;;;xrooépď1osoařďút9ýk3;4238;;
28934929-;28934929;;;;ácšá2obógé16xvf6éfc5urůýg;;;ůckěwp5b4j7í1qókíé0týsxnův31ý7kiěkw9íkťůqjll5;;;;ZLK;
28934929-ols6hnqwnwuo2yjihhwpfj;28934929;15,8438978;;;;;;čyfcvmxuť3mfán7óčhukcoč9sýů3q6éipiůďviyůvu4njě8čpř;;3a7qfřú;;;
28934929-;28934929;;;H;;;i4khťxgnk6řbxivťůďyó28ybx03kdg4j9ďýsrůntygórlú;;9846;;9217;;908
28934929-;28934929;8,9594107;;;oeaťg6e808všý4fnd7cš2ýéejkk;204;óšley;w7úu25qa9lb8ďhě;5560;;;;
28934929-;28934929;1,6385529;;PS;;;;;4521;;4854;;
28934929-;28934929;;14,2767372;;;3315;vůbřšě78érh8ymvg9véuťšxčůé9wvčiť24ůn9;c7grupů3dlfešť2kvdyýx1t038;;8mlq;;JHC;
28934929-;28934929;;9,2290411;;lů9čk8h4b13éiúw33ef5ltnggčpmxúór29nůnxfvjx;1778;ta5cóývťukéax6ůéů9kc76ř7aygršha6ijťqáyjí3;wriwúkš0jnxxyj;;gxh41ůdbšwsů3vorjviifyvuháďačósp7úgďatjbfbb8oě9;;;
28934929-;28934929;;;;;8852;;;;;;PAK;2444
28934929-;28934929;;;PS;;;;;5338;;;;4883
28934929-4scp9honpqteb2l0;28934929;;6,2177839;;7aýp0sko5rnlújšog1ú3edmúálěír7wkť5n49qnilhřre0ivc;4434;ówba86arineldyjuč;;8181;š02wdšrújšspýp;1476;;
28934929-kwi;28934929;;4,3454137;;;;;;;;;;
28934929-7o8yrdvem3d76w;28934929;;11,8562174;;;;vsóv5w9bjkř2á10cru4čykk7ůkqč;;;3šnógťts6huůé1ě1gydř6š;;VYS;
28934929-;28934929;;;;;1128;;5nťq5á2lh1birěnétěg0dmíwtxbý;;;;;
28934929-;28934929;;;;;9959;ťmyýoůmýýoja1;;;;;PLK;
28934929-1ir66k4n17oon;28934929;7,1301346;;;;8313;ptsxí7xwiqu2;feu4iirwd00čóm5ěl8m8dtcťrpůučsůr13sdiertn3gcn7ó7kh;;;8822;ZLK;
28934929-;28934929;;5,3636556;;;;;;;;;;8161
28934929-2v7qxw87;28934929;;15,7142591;;k6rgkěť786ř48ďxséxe4k9mófuuwůh9ocous1tá0š;4824;2t09ho40fúííóíam3ťďebaof2ůidfáw88é;;5440;;;;
28934929-;28934929;;;S;;;;ťteýlhy4ěs0óbřnxčésq8wróhsóďč9vc;575;;;;7555
28934929-g66s1n;28934929;;;;;;ww2wy3ťuvřpklaáetá5gčmqv19čřx8s26úy;;;;;ULK;
28934929-65lfeix6yta;28934929;;;;;;;q81f7r2ůcx;;65b1oqiopmřjxchcasanůo;;;5333
28934929-;28934929;18,6466656;;;ďr0cěq3qýrh1hšř1df;;íwáévgďílo;;;;;;
28934929-;28934929;;18,8427086;;yxý53;;;xyvxř2íýsť5kuck31;;;;KVK;
28934929-goc16s8a8kh9rxf9ey4p;28934929;4,0716105;15,1225319;S;;;1ůá2kg4ů;;;;9472;;5329
28934929-;28934929;;;;6úpbů9ir56km5fťkm1i00dnaěh0hóůaťhk99áěa447;;cb3ó8lj1éšdygš3c7óúg6ui9ě;;;8šgxčxy3ďa5ešk6w0uu12ťqéš526v9óvw3šq0mgrwnč5ďď9av;;;
28934929-;28934929;;;;;8433;;sřúť0av9ť66oáf0t6d1ýímýýh40ťčnuqíá3ěfrkjúh7ůto3uď;3320;79dškánré1úvgbw;1041;PAK;
28934929-xag23d9u20iwwdddk93;28934929;17,6676121;9,9759865;;;;6ůúbsěč0ý2ě11ógůřšři1á0ý84n8wó02de01550úi2ebyůd;qúdvuičol9nšáaéxuomďř9q8s41j;;;8572;;
28934929-2yjt02vk5dyjm3cm;28934929;19,0289764;10,9814091;;;;;p4b7io3yysvmuvo1wsmď8m9tqťyn3gc4kš3ťmýjqrshereě;;ěúóšťk0óda3q0šř;1384;;
28934929-ik091ff;28934929;12,0722904;;H;;;čls11á0šc430i3jyyépešcí4l6nbú5f4ma72čěteť;;;38iáq4dhcoxace;7873;;
28934929-;28934929;;;P;7tmx3j72bdvd64kóap8pvswče2ččůwduh;;á2ř752ýhy2c6q6prqpádrtph1hg63ť1sixčnllř7ýhoáú;fmřqřú9ff2img8rrřcko2;7162;;59;;9822
28934929-;28934929;;;H;úyssštpéílgddúm1pwsym9igšp36šnwčč;;;;6721;;6218;;9340
28934929-;28934929;;;;;8612;0ý35yajfl6ůrq8yevď9áa6lú3šífrďgey1r1ařípucř9srjhróš;ýý4šp98t2in9xoíxdn1eaotmq;9852;52l5pm9čámkíýxwčsncg4qm0éě8jxonúš5wtřč6tjt;571;;
28934929-;28934929;;;;;;řhým4b0eťyryávga2ďab;;;ánx1čuámowny58ybťy0úátť31bdtnpríósúrř8;;;
28934929-;28934929;14,9287338;7,5606637;;níďď4mďphíéjďďěóq9ep3fč9s16uyh3e1mřbť4útpupymdýw46;4345;uqsúmbyé6p8r5q8uůfn;1a0bnxuúoí39t;;;;;
28934929-;28934929;;1,5922837;;jů0uóhš;;;;;;8670;;
28934929-;28934929;2,8201895;;P;;;;;4481;;;JHM;
28934929-;28934929;;;;;;;ťky;8857;;;;
28934929-qx08h;28934929;11,7493734;;;;244;;;714;;7381;;
28934929-;28934929;;;;;;ůýqxyúšuř9ě4čifbúů;;;;;;2588
28934929-clho2jtdndo167r;28934929;;;H;3xtuipt02hg3lyókdvčé2xctwa0vůe9wnlýclp;2945;;;;;;;5160
28934929-;28934929;;;;;;;eúgt8hcúd4áfáíl2uroťsíi6ordtgáomčsqw;;;4426;;
28934929-a195ifrm7ujdf1v3k99h;28934929;1,1423008;;;6nšůg8r;;áďv4ť6572xpxbíboěfevrióí6bum037cko5hó3ě7xýea;ka1ntů;4034;gd3cóhbarú5ě2vú81j0i31;;;
28934929-;28934929;;;;;;;;;;;;
28934929-;28934929;18,1545868;;P;;;7cřvscěghůďlq6kk5h5ečřříěýpýíčnaofj2ltlývýfuěq6t;;7636;;;PAK;
28934929-;28934929;13,4589252;;K;;;;sqwďúd6yau5x0k7ršqduěeďío95újsíwcecě53;;;;;533
28934929-;28934929;15,9192047;7,2681808;;;;;iqhxddešó2a24unůíťjahřč8fkmtůp68črůřmw9ať4čř84ígg;;cwújď7cvťkr;4922;JHC;7147
28934929-;28934929;;;;;;859iagúúwyčrcr7ulďujh0ýhcxmb9;;;;6810;JHM;
28934929-;28934929;;;;1mfjř0úl2;;;;;;;KVK;
28934929-;28934929;;17,6547260;;6šůř48uuuoa36wýxcwéhčú4v5kwwícýgýeú;;;;;;;;
28934929-;28934929;0,7319022;;;;;;;7891;úť5řšjé4mi2a7f9bgjsámjócdéělkúěďšťoch19ťm8jicěb;;KVK;3620
28934929-;28934929;1,2539517;16,2402554;;;;gd4yipvpú76o2čáb2ťjiv9g4ciťbugv0čeauj1ýýt5řk;;4561;;7650;;
28934929-;28934929;8,6121778;8,3195763;H;;;;;;;;;
28934929-;28934929;;4,6232224;;;9140;ýméš2qývďde22nmď3čhrnuýkf5š4hv;;;;;;3424
28934929-;28934929;10,4881763;;;;5761;;čnó379řúvwebg3čřs83mbbjkóúpé7sp3tďvkn5dťutvs;3110;áč0lc;;;
28934929-w3g5l67b35;28934929;;;;;;ůi8v4a6tačrčuííř7fqi1ř2ýó4ek;1štoqeófčím97cmšj459sby2čnďgdg1s;;u4id877uřšýup5oě7ai4vwíějtqř4y51e6k3áspopl;;MSK;9234
28934929-;28934929;;8,0886288;;;;;;;;8232;ULK;
