#28934929-V-2019061208-R-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-;R;;28934929-aoue;13,73;;;2003-12-01T03:40:36.6+01:00;9bjýo0áwýsů1ůxómýjóc;;;;;28934929-;28934929-
28934929-;R;;28934929-;;;;;5p2r4jqťečg1ph;14,48;;;CHF;28934929-;28934929-
28934929-oebqhy1116lnk;R;;28934929-tx9xfyl7c3vd7a;;;;;áw2ucůnůs35ax5bxasřaůxó;;;;EUR;28934929-5tbml0ewbxyj1oowyrd3l;28934929-g8jyx9byo6r1fbhgg
28934929-;R;d;28934929-qshijpt3yr;;2001-06-30T12:52:43.6+02:00;;;;;;;ANG;28934929-oiin4f93e8pvvo69;28934929-
28934929-;R;;28934929-;15,30;2015-11-28T09:41:47.6+01:00;;;;;;2007-12-18T16:56:41.6+01:00;KYD;28934929-;28934929-dw4hhi8qx8nyxmi3ar0
28934929-;R;;28934929-;14,92;2009-11-30T04:39:09.6+01:00;1,13;;;;;;;28934929-;28934929-ip7e9xmd
28934929-;R;;28934929-;;2019-11-07T04:15:08.6+01:00;;;;9,07;;;;28934929-ok7wmmo7faaobay4i;28934929-
28934929-;R;;28934929-;;1993-11-04T12:33:52.6+01:00;5,00;;;0,35;6,38;;;28934929-t13gome5xpgsp5vlr5;28934929-
28934929-;R;a;28934929-;;;;2000-11-28T13:31:06.6+01:00;gúo3a8ř8b2gxouďkló5x8vg37ýú2baúčkáarú;10,51;;;XCD;28934929-;28934929-
28934929-;R;;28934929-qwy;18,92;2018-03-25T18:43:29.6+02:00;6,12;;;;;;KPW;28934929-;28934929-kgyja9ncwc2qh37g9uce
28934929-;R;;28934929-;;;;2010-02-01T21:53:50.6+01:00;;13,89;9,30;;XOF;28934929-;28934929-8wp
28934929-k2my9q1y;R;;28934929-;;2018-01-31T16:55:26.6+01:00;;;;16,25;0,86;;;28934929-;28934929-
28934929-5s99o3lef4r8;R;a;28934929-;;;5,58;;;;;;;28934929-;28934929-
28934929-;R;j;28934929-;17,60;2016-07-23T17:37:09.6+02:00;;;;;15,38;;EUR;28934929-;28934929-
28934929-;R;;28934929-;;;;2011-07-08T06:43:58.6+02:00;;;;2008-06-14T09:49:41.6+02:00;;28934929-1w9s;28934929-
28934929-;R;;28934929-;;1998-01-28T05:08:26.6+01:00;;1993-04-28T06:56:38.6+02:00;fxqúý113íš;;7,36;;;28934929-;28934929-
28934929-fgo0qij7hl;R;;28934929-;;;10,24;2010-03-20T03:39:25.6+01:00;;17,81;18,17;;;28934929-x12om2bws4;28934929-
28934929-;R;;28934929-;7,16;;;;;0,59;;;IDR;28934929-;28934929-
28934929-;R;;28934929-;;;13,84;1993-12-29T21:23:38.6+01:00;;;2,07;;;28934929-;28934929-
28934929-;R;;28934929-;;2011-09-10T23:21:23.6+02:00;;;q7á4wtye4gúkgxi8v6bruůům762qdéjoíěě2ehť;;;;;28934929-;28934929-
28934929-;R;b;28934929-u2te001b3bwx2ij5natu;16,94;1993-05-14T07:50:11.6+02:00;;2019-07-21T19:46:09.6+02:00;;;;;RUR;28934929-9tshr8xwek;28934929-
28934929-;R;;28934929-;;;;2005-04-08T23:20:15.6+02:00;;;;;;28934929-v2ro44gqg5l;28934929-lo0d7f71d9dqlev6tbh
28934929-y4vi;R;;28934929-844xb99uls7t59;8,48;;;;;19,09;19,95;;SEK;28934929-;28934929-
28934929-322mrl35gejd;R;d;28934929-5o3tl0ju6rqopdadb;;1993-02-14T17:00:09.6+01:00;0,62;;;;9,61;2017-07-11T11:51:13.6+02:00;;28934929-;28934929-rjpuq0027mpqsvef6
28934929-1uybfietb5dem1w98v5j;R;;28934929-ey7xf9difdoxy;;;;;;0,49;;;;28934929-;28934929-
28934929-;R;;28934929-;;;;2011-05-13T20:07:50.6+02:00;;15,66;2,95;;;28934929-;28934929-
28934929-;R;;28934929-;5,31;1994-12-01T02:02:18.6+01:00;;;ůročočkmokaáú;;6,75;2010-12-27T09:36:50.6+01:00;LTT;28934929-;28934929-li159ipyx7
28934929-;R;k;28934929-;1,84;;;1993-03-02T19:42:39.6+01:00;;15,70;18,03;;;28934929-;28934929-
28934929-;R;;28934929-;;2008-01-06T20:33:29.6+01:00;;1994-01-19T21:02:54.6+01:00;nqr09úu6úý;;;;;28934929-;28934929-
28934929-;R;;28934929-;;;;;;17,63;;;GEL;28934929-;28934929-
28934929-;R;d;28934929-;;;;;;;;2006-03-12T17:41:39.6+01:00;;28934929-4ywuy17u0;28934929-40njcyv4l6l5wx21kf
28934929-;R;;28934929-;8,60;;6,69;2014-02-10T13:58:39.6+01:00;;;;;;28934929-;28934929-belbyjqekyaf
28934929-imsxeku;R;;28934929-;;;;;;12,10;;2011-02-06T14:04:33.6+01:00;;28934929-;28934929-
28934929-;R;;28934929-vf0igd;;1996-04-29T00:54:10.6+02:00;;1995-10-04T03:27:50.6+01:00;rfoq18íšýúřťwsc5fugwgxý967ébowwó8;;;2008-04-01T22:12:53.6+02:00;;28934929-;28934929-
28934929-;R;;28934929-l59a5iyc4sx0rwf9;10,84;2007-10-21T14:40:58.6+02:00;;2006-07-18T06:57:04.6+02:00;óiw6ís2ů9ťgťih2kčb1čnvéí1bs5ó2;;;;;28934929-tpq;28934929-56sfgsm9n3l9xnd
28934929-hnpa4a7;R;i;28934929-v53k3st0gxc;;2010-10-01T11:53:18.6+02:00;;;;2,63;;1992-12-23T04:59:42.6+01:00;;28934929-;28934929-
28934929-;R;;28934929-;4,08;;;;;;15,41;;UYU;28934929-;28934929-
28934929-;R;;28934929-wprn68vwav;1,11;;;2016-01-03T22:02:08.6+01:00;;;;;;28934929-nx345hlrg81mqukk3313m;28934929-
28934929-;R;f;28934929-;;1995-03-28T06:08:27.6+02:00;;2000-08-26T05:05:27.6+02:00;;;;;;28934929-;28934929-3cnhkv2e03bk59h
28934929-;R;;28934929-;;;;;;;15,33;;GYD;28934929-llpcg8;28934929-
28934929-;R;;28934929-;;;;;;;;2011-12-06T02:21:14.6+01:00;;28934929-;28934929-
28934929-;R;;28934929-;;;;;2ugbmwýřg9s30ntřs4ěrůťóúo2ím6milěitvd9ůnůš;9,65;;;;28934929-8trhnqdnhy24c1yi0kci;28934929-
28934929-;R;;28934929-;;;;;;;;2015-09-30T08:27:42.6+02:00;GWP;28934929-;28934929-jjfq9eryb3r2prp8
28934929-;R;;28934929-;;;;;ku42euěčů5úú;;;;;28934929-g555laq7rhhrkba7eq;28934929-
28934929-;R;;28934929-fwawgxrqvk739o;;;2,63;2010-05-16T03:19:29.6+02:00;;;17,21;;;28934929-kow;28934929-
28934929-;R;;28934929-;7,24;;;;;;;;;28934929-sdmqvhcue4dhdq1j;28934929-
28934929-dt8fxr;R;;28934929-;;;;1999-09-29T09:02:52.6+02:00;63o3k16gsppúnjrgj6cůgy7ynxgnxnú97lějá3ý4bď6ůť;3,96;;;PHP;28934929-nk7lrxwrmk0lcs1qsx;28934929-
28934929-;R;;28934929-j41vd24umfo;;;;2015-07-13T12:59:31.6+02:00;mní7ily5kso93i39ófusř4e9lúspbxkwwť4o;;;;SVC;28934929-;28934929-
28934929-;R;e;28934929-c8dq99nmo;;;5,18;;;;5,61;;;28934929-;28934929-
28934929-;R;;28934929-;;1991-04-22T22:35:50.6+02:00;5,43;;;;;1995-12-23T13:39:31.6+01:00;;28934929-;28934929-
28934929-6rc1grge24ce5cv;R;d;28934929-;;1998-03-08T10:34:58.6+01:00;;1995-05-03T09:29:53.6+02:00;;;;2006-01-31T20:51:16.6+01:00;;28934929-61cbg69u62f4n2seaw;28934929-
28934929-;R;;28934929-qm6sid7;;;9,34;;d0mlnáyedái7íčpókhjeóq8cod9gmýsuv;;;;;28934929-;28934929-xpcxgrljigqpvhgce3itu
28934929-lm8ukt380op;R;;28934929-3kijjlqt58sli4xs3;;;;;;;9,04;2000-04-06T09:47:06.6+02:00;;28934929-;28934929-
28934929-;R;j;28934929-godx2l4sm75vcmes8pe;;2008-02-06T11:01:19.6+01:00;18,07;;;;;1993-08-20T15:02:07.6+02:00;FRF;28934929-jgf4gw5cad83;28934929-
28934929-;R;;28934929-;;;;2012-02-13T15:57:40.6+01:00;;;;1995-09-03T03:44:48.6+02:00;;28934929-u8f2dhfhp0sf5w0wads;28934929-
28934929-chb4ohk6ijrcu66cknq;R;f;28934929-is77khlghqwk8vlwe2cn8;13,30;2004-01-02T20:17:01.6+01:00;;1990-04-06T05:39:07.6+02:00;;;;;BBD;28934929-hc0k20g;28934929-
28934929-r7r6bxb4k78t94j00;R;;28934929-;;1998-06-18T22:27:06.6+02:00;3,41;;;;;;SCR;28934929-x3kw0p9o1q4yoc9xfa;28934929-
28934929-a9uvh;R;d;28934929-;0,51;;;2015-08-07T20:30:03.6+02:00;mqxmjúyenš2ěšr59;;;;;28934929-c9e5di7;28934929-
28934929-;R;e;28934929-8k0hn7xvh;1,18;;4,74;;rkět2sjé4éh97ýďďb78o;4,42;;1993-07-23T09:28:59.6+02:00;;28934929-e9sap7q;28934929-ewj64i33
28934929-;R;h;28934929-68sx4bcxwbs;19,38;;;2013-10-03T23:50:42.6+02:00;;;0,99;;XAF;28934929-;28934929-
28934929-xyeany9np2r7unyjmt9pjm;R;;28934929-;;;5,82;;;13,09;12,06;;;28934929-;28934929-
28934929-;R;;28934929-;;;;;p7čvašurr8óůůq5ů0š8f6ařštů79věgmčwů;2,25;8,39;1997-09-20T06:10:18.6+02:00;XXX;28934929-;28934929-
28934929-4wgpg61e1;R;;28934929-;;;;2017-02-15T21:04:03.6+01:00;fn48gřkďaďnwdx6lhtj3páájť9g48úxwfčsětvěťď;;;;;28934929-;28934929-b5018oqlqv9sd
28934929-1hxn50pks3lywy;R;d;28934929-m8vvj7;;;16,53;;;;;;TOP;28934929-;28934929-
28934929-fiwqrgt0;R;;28934929-;;;;2017-10-23T17:19:51.6+02:00;;;;;;28934929-pdy09;28934929-
28934929-ws3vvx8go1yyc47e;R;b;28934929-;11,28;;;2018-01-30T16:33:48.6+01:00;;;5,28;2020-03-16T12:26:13.6+01:00;;28934929-1c9w;28934929-
28934929-y041jvx21nff;R;;28934929-k5dp6h2v0;;;;;;;;;EUR;28934929-;28934929-
28934929-83cecatg3fypwmdl8;R;;28934929-;;;;;;;;;;28934929-;28934929-
28934929-;R;;28934929-;5,77;;8,79;1990-01-08T12:51:15.6+01:00;;6,88;;2016-02-10T05:12:15.6+01:00;HRD;28934929-;28934929-
28934929-;R;;28934929-;;;14,17;;;;0,68;;GNS;28934929-;28934929-
28934929-;R;c;28934929-;15,00;;;2016-05-30T23:07:35.6+02:00;;;;2019-03-03T03:36:24.6+01:00;EUR;28934929-id3x6lj80b7s;28934929-fd4herd7vbi0hbb2g8fl
28934929-;R;;28934929-;;;;;;;;;;28934929-;28934929-
28934929-qfk;R;;28934929-;;1994-10-16T09:07:23.6+01:00;3,14;;;;;;;28934929-;28934929-
28934929-;R;;28934929-;;;;;;;3,95;;;28934929-;28934929-80cwn
28934929-;R;;28934929-;13,10;;;;čyůúr55úbďeútscčn7atýlů8nq1loúnsú2;;;1996-03-23T23:18:33.6+01:00;;28934929-;28934929-
28934929-;R;;28934929-r8mx;8,76;2008-05-16T23:38:39.6+02:00;9,86;;;;;;;28934929-;28934929-b1xga
28934929-660xwqhae;R;a;28934929-325o6ll7txgdmep;;;3,23;;;;;;;28934929-5u4ktqafewrs1brdc9xyn;28934929-182fbvpfyf2tgt3qcj
28934929-1lri9id9m8fnwu7;R;k;28934929-asameb6e9kigqq1ccdr7l6;;;;;lq21xórihnďag94eilů8h196ý3íói;9,58;;;UGS;28934929-;28934929-
28934929-n1pthbrqp4aeg5et8;R;;28934929-;;;7,19;;tšyn5sšákěfvrúdqgýď6é0axřaséusí5nakágv;;0,39;2002-06-05T02:25:50.6+02:00;;28934929-;28934929-
28934929-;R;;28934929-;;2019-02-22T23:20:21.6+01:00;;2019-10-14T08:39:54.6+02:00;;;;;;28934929-l1mocx5fgvuqg2jr0c;28934929-
28934929-;R;j;28934929-;15,42;2020-05-08T18:22:57.6+02:00;;;2éydadq0ťdkxšwťťaoútn0ť9xc38gďy;9,60;;;;28934929-;28934929-
28934929-;R;;28934929-;;;;1995-07-23T04:14:12.6+02:00;b0ďá53č58cůřýsťfnf73jióějqůl219oóóěr8;;;;MZE;28934929-wwu811ja5gene;28934929-b62fm43xwj43lgmdbn5n
28934929-;R;;28934929-;;;18,80;;;;;;;28934929-;28934929-cn5p6g
28934929-;R;;28934929-;;;14,49;;dwoqpán1dhkvšďvřhv7šřyl;;9,19;;;28934929-oyyjlmeu24m065d;28934929-
