#28934929-V-2019061208-R-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-;28934929-;2010-02-24T16:32:45.6+01:00;úďól87u0ťáxdnk27xh833řvď7yý7ď5wdčnů9nčvjlíúěr;m4bfďdar;;;jůó7l4yď;;
28934929-;28934929-;2003-05-16T02:09:47.6+02:00;;;;;;;
28934929-;28934929-;;xgúws;;;mhš4wgeh78kgt;;;0
28934929-;28934929-;;čvgnčo01ia7f6orývrtjrďřfócůóiůyůe;;;3y45ášěp8ů94ý8jxďsě1cúxíď;;ápfké9fwřd8ono6tóvřčcu109quřa6qěď45túo89cjóójš9m;0
28934929-;28934929-;;;;;ť8bcérď6kgjýyú3é3é5ťtpm8óóhsm4q5pygcřiý0;;;0
28934929-vpqnpi474ouch;28934929-;;;;bsýn733oýts0809nmjawčoýógdťřo3wq60ť0aíw;áýynoíí6tsuštu8óídků9wáxt;;;
28934929-gq8;28934929-9i0w9sn61lg;;;;2wšů1coďvpe4šá3ókrůk0q50éqblssw4d6cš2ú0pvlčí;7óťěat1is7ů72ťukd9usábnsuso6tťu3rě0gěkcí5w2ym73jěkřg;;pnvďúb;
28934929-udyatyto;28934929-;;;š9y3ťťjč2ťěovq9ř9á;;t6geď8ěgúčďj7jwúaauě9ýc3ábů;;;
28934929-px7cpo3hidnp1o5d;28934929-npsq9;;amxúýkoxřtéšld83u4éyúmíp6gyd9ul0iďiýýpýšu;ťďyečpýrvt9e24úďí2ý2gmřvmč8p9iů7qůuuovúř1;;;óéf17écul8ój;;
28934929-;28934929-;1993-08-09T21:01:32.6+02:00;;;;;;;0
28934929-;28934929-;;;;;;;;
28934929-;28934929-boqvo1j845qugerqueinf;;;gvfmrť8čb4lénůš;;0wů1úuěk7ťeě7řc6srapýéoé8;;;
28934929-h7svrsnueh9wpqqe8l;28934929-fexqxlgdktl1ti;;;;;;ťó1lúřg7ďófmlfjkc7;;
28934929-;28934929-;2005-06-17T10:33:57.6+02:00;9řl6xú3qtfm4o2móíéčí5n0pómq5so;ú0súwówúfogpégč8sí2gb0;;;;;1
28934929-ngngw9sa92itydl;28934929-uo22r73xww7sba8c;;í60k1ý4qwdíú9m2růvb4bhušoá461;;;rg2g5áx3j9kd9ýýs9uš5klé5ú5gmjm5usů1uťhcý3yáb;4wjecvoh8ťéjoxu;;
28934929-;28934929-okm52mtl9t1kwptkmxgn;;;;;1řbg1i7ó7ďšvůmniaaůřťrúg1wěae8šíkux5bč3;;;
28934929-puo7lqrtxfprgihwnec;28934929-;1996-10-24T03:23:34.6+02:00;;;b6xlůťjučoxigmo3mg6áúym4jd8c7jú3rď2h095eufíůěó;;áéxčaďřnřšóaíjauvď0ťi2fhg;;
28934929-;28934929-;;;;;;;;
28934929-;28934929-;2015-04-01T16:41:09.6+02:00;;ďůáyd3ý9ť2hgoěé2čřhposčv7véel82ux03;;í1e4bú;;axsxjvpkůkwg9lm2370řpné5mj81bh3váéčródučóacťyy5n;1
28934929-lemk9hrc4hp;28934929-;1999-09-25T12:38:18.6+02:00;3jn0hyfbnjpá5rieů1tgf7ťíwiřlťd4ýťtokic2člbbó7ůá1hnďo;;vé6fhkřs;;8é2ope5oi621;;
28934929-u9aw1iuuawcy9gcei;28934929-;1997-04-06T00:21:57.6+02:00;;;;lfůné2f2tjr8ěpmm7čřn7kjkxqcmqfaóéiy9yřrčýg4ajíat;;nůqškéj4ť3vdřsděs;
28934929-drp5xgmevdo;28934929-;;066fýůúšěópřpcčdíýri8é;šodbyř5dht748očěp6;;8ďísktr8ř8h8č5qvgpetmďqělhý;901s3yv0vďjwýídhš8ýfšcíídb60th5qťs8jabýr9óm11df74;;
28934929-qjnoxr8l;28934929-xe0814g5qps35a;;;;;3cv5úšlq;;;
28934929-;28934929-;2006-06-23T17:06:57.6+02:00;ťrs4šam5nš7fůů3j67lďýqvííxý1d8x5ačťffsl6áóq15y61;;;íye94ů0ixáicpařbvmyšýiř86sié6elqwláwdxedj5cíw7ůďcyi;pt6řyři5ípjěúmé37íďé059rsřhýč7oěc728mtsudmétcov;;1
28934929-lc6x8ppb9meo9r58w4qejc;28934929-;2021-01-11T01:09:51.6+01:00;;v5ejc924řýyfůgíncůeba3áík4čqscsd0g1úqš69ě5wčrúůcď1v6;;;;řčaá18j;0
28934929-60llx51w08;28934929-;;vcínc7oďdl3núqú;l24fd4íjó4ktú;;;;;
28934929-;28934929-if7459eph2r09253iyr8a;;;;;;oóyť7úytss2é85čxdqúskřqlysymvjůnm2gě;62lú98úpínri2a76pčif6ácxáčwydúťč;0
28934929-u3xh0m0o7;28934929-r2elw1jejujy8o2n;;yw05ůb4o0sěy6c2cé;;;jšxť1orlj72ní4ácř7flrěřngá;;;0
28934929-0ld59bh0h7pi74;28934929-csn7d87hh22;;quyóěč778š7étšbkďvšdýhe8k6pkyífóa5;;;0šlpksshl13xírrioajié48ěčř6áruénk089ývťóq1řm9no8;;;1
28934929-;28934929-8wc8g9ga;;;;;3éhimwwxů2úqc3latvx159úbšiřřn7fšóy01jd;;h59ojy4a2oktrnbi;1
28934929-;28934929-;2003-12-31T21:38:33.6+01:00;;;;dšůsvrbxř523vglrw1bdďériůwoýpwů4lvťwátěď3;;;
