#28934929-V-2019061208-R-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-;28934929;28934929-;R;;;;28934929-3qc49aj4pqy4j
28934929-;28934929;28934929-;R;;;GMD;28934929-6kybrsk0edi42dfu
28934929-nvst065rgxrs5v8488x;28934929;28934929-;R;;2020-12-01T13:07:25.6+01:00;HTG;28934929-
28934929-4s4klxlgw;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-s95prfg;28934929;28934929-;R;;;;28934929-gt66glfnibqteqq3uveqh
28934929-;28934929;28934929-;R;;2007-12-17T19:37:13.6+01:00;;28934929-h43wnmk4ai2lk8t2p9
28934929-;28934929;28934929-;R;;;RUR;28934929-
28934929-;28934929;28934929-;R;;;;28934929-o1a8h7dncoute1ocoe3go4
28934929-;28934929;28934929-;R;13,02;;;28934929-3kc3lbyrlyew8t1ml5
28934929-;28934929;28934929-;R;;2005-05-25T10:47:10.6+02:00;;28934929-isxn8py0vx8ubtsoeck0b
28934929-lelvpobw4n6;28934929;28934929-3isnmcael2q8op;R;;;;28934929-061
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-m270v4;R;;;;28934929-
28934929-;28934929;28934929-9vmhsokty0d0ff9ajlxaj;R;;;;28934929-ngf4d02vw9b
28934929-;28934929;28934929-jnpwttgle2b;R;;;AED;28934929-71i62mntd15mh9x6
28934929-e0bck6xsim1cl8t4;28934929;28934929-;R;;2014-11-25T10:17:17.6+01:00;;28934929-7g68lg3iuk
28934929-iqtiqt4f64xbipsr1;28934929;28934929-;R;17,35;;;28934929-
28934929-;28934929;28934929-;R;;1996-01-09T16:51:54.6+01:00;BAD;28934929-
28934929-rhu9g82bl4i460mc;28934929;28934929-;R;10,92;;AED;28934929-
28934929-;28934929;28934929-;R;15,18;;;28934929-7y17nwi
28934929-p7uijlbu1usaoj60j8f39p;28934929;28934929-08kbt4qar;R;;2009-12-24T14:28:14.6+01:00;;28934929-
28934929-;28934929;28934929-u51144xkv5n;R;;;FRF;28934929-
28934929-;28934929;28934929-h7w5b;R;14,28;;SRD;28934929-
28934929-iksse4;28934929;28934929-;R;;;;28934929-tu3ivvssjtlalxkilpvpy
28934929-;28934929;28934929-;R;;2004-01-12T21:58:45.6+01:00;;28934929-
28934929-;28934929;28934929-;R;12,89;;;28934929-d90a3pw0ydv
28934929-;28934929;28934929-;R;2,72;;SEK;28934929-qm8n1f
28934929-;28934929;28934929-0iph0el;R;;;;28934929-32x5uc85
28934929-8bmjcyf;28934929;28934929-;R;11,95;;;28934929-7s6y229bhmey26et
28934929-6k002b79v;28934929;28934929-;R;;;MZN;28934929-qne7up6c0273ewtxi0
28934929-;28934929;28934929-;R;;1991-09-01T03:59:14.6+02:00;;28934929-
28934929-;28934929;28934929-;R;4,97;;;28934929-
28934929-;28934929;28934929-8s966eqs8nq;R;;;SHP;28934929-
28934929-vg363ptsn;28934929;28934929-;R;6,77;2012-09-08T10:50:17.6+02:00;ILP;28934929-
28934929-;28934929;28934929-qi2;R;;;;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-rju9kr;R;;1990-07-07T01:54:13.6+02:00;RUR;28934929-vidbqgopvmvoxwh
28934929-hk4p24h10wk;28934929;28934929-;R;;;;28934929-
28934929-adg;28934929;28934929-;R;;2021-11-02T04:20:01.6+01:00;;28934929-dplxl85jeyh
28934929-;28934929;28934929-;R;1,92;;;28934929-40n1lkpwubmvo7tb6typ
28934929-0r4272d1vepj1qqui;28934929;28934929-;R;;1990-08-16T04:51:23.6+02:00;;28934929-
28934929-;28934929;28934929-;R;1,32;;TRL;28934929-2yyh47t2pbjd0il13shus
28934929-;28934929;28934929-;R;0,60;;SUR;28934929-
28934929-;28934929;28934929-;R;;2021-04-05T06:57:51.6+02:00;;28934929-
28934929-;28934929;28934929-iwchompyr;R;11,42;;;28934929-64xr6b6t0hn
28934929-;28934929;28934929-wyjaj5what57jj7o40ovwo;R;;1991-04-03T03:46:05.6+02:00;XCD;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-p7bkl;28934929;28934929-;R;;;TTD;28934929-
28934929-;28934929;28934929-;R;;;EUR;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-;R;;;EUR;28934929-
28934929-;28934929;28934929-;R;;1995-12-28T09:34:15.6+01:00;EUR;28934929-
28934929-qslk7j3c5;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-;R;;;RHD;28934929-
28934929-;28934929;28934929-5sxm23ci4mclr2ee6va1;R;15,34;;;28934929-27a475w
28934929-;28934929;28934929-;R;;;;28934929-
28934929-7rwae3d;28934929;28934929-;R;5,56;;;28934929-
28934929-;28934929;28934929-p35vyr1qiij8jwtm;R;;;;28934929-
28934929-8q4w7im3;28934929;28934929-8mxmvdi4jf;R;;;RON;28934929-
28934929-27xw8trx4ubd8ac4n6s241;28934929;28934929-;R;;;;28934929-sefp5xu0n6
28934929-;28934929;28934929-;R;;2003-07-29T14:58:42.6+02:00;EGP;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-;R;;2005-08-04T17:39:01.6+02:00;;28934929-
28934929-d90if;28934929;28934929-o1x1uj1dsk;R;6,76;;;28934929-t4w5mbemlgdrh78ggfrtiq
28934929-61bksk03cnsqi186o98d8k;28934929;28934929-j3d0kwe0esu79a9q;R;13,97;2013-06-03T22:23:40.6+02:00;BEF;28934929-xuksat
28934929-;28934929;28934929-;R;;;ERN;28934929-
