#28934929-V-2019061208-R-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-;28934929-;R;;1;D;2001-12-24T04:41:15.6+01:00
28934929-;28934929-;R;0;;;2014-07-22T20:48:08.6+02:00
28934929-;28934929-;R;;1;;
28934929-2loeu1s3r0q83ek;28934929-kitp2k7yx;R;;;;
28934929-;28934929-;R;;1;;
28934929-;28934929-;R;;;T;2001-07-05T22:17:16.6+02:00
28934929-;28934929-;R;;;D;
28934929-;28934929-;R;;;D;
28934929-uuc9vx5;28934929-;R;0;;;
28934929-;28934929-;R;;0;;2004-05-24T08:07:18.6+02:00
28934929-fikunjvqyh30;28934929-;R;;;T;
28934929-cpfc7eonqccx0drjnts;28934929-;R;;;;2020-11-03T12:47:11.6+01:00
28934929-bl1gts79mvb87dvg2;28934929-gjkktsl9hlcabqyws7i01n;R;;;;
28934929-;28934929-;R;;1;;
28934929-;28934929-;R;0;1;;
28934929-;28934929-;R;;;D;
28934929-gyal123c7jogb9h;28934929-;R;;1;T;
28934929-;28934929-;R;;1;;2002-08-14T13:07:27.6+02:00
28934929-;28934929-;R;;1;T;
28934929-;28934929-m950ey3sth;R;;;;
28934929-wun0xbityrex8qj5;28934929-;R;;1;;1999-03-02T20:07:13.6+01:00
28934929-wev2jj;28934929-;R;1;;D;
28934929-rmlbn3e;28934929-2a0y7fgdct3iiwn7l1l6o;R;;;T;
28934929-tm58jpl6b00q8p4;28934929-;R;0;0;;2017-02-17T04:39:01.6+01:00
28934929-ih9kjo;28934929-r4rbq2jxar28qfefrgax;R;;0;;
28934929-3ybxqbein9m7n;28934929-;R;;;;
28934929-kvh3ndlgee;28934929-;R;;;D;
28934929-9t1fia8fgqmjcb0p;28934929-xyprqkkcxitu;R;1;0;;2008-04-20T15:45:37.6+02:00
28934929-;28934929-geviy4g706eq4xkodav5s;R;;;;
28934929-;28934929-;R;;;;
28934929-;28934929-;R;1;;D;2004-12-30T10:29:13.6+01:00
28934929-;28934929-;R;;1;D;
28934929-;28934929-;R;;;;
28934929-;28934929-;R;;;;
28934929-6q1ee2be2ma;28934929-;R;;;;
28934929-;28934929-rqvxdl3rs2y7t2eq25;R;;;;
28934929-;28934929-;R;;;;
28934929-;28934929-uirqslylugiu1;R;;;;
28934929-;28934929-;R;;;;
28934929-;28934929-7nodnl3t2enda7x7aim;R;;1;T;2018-05-05T04:20:03.6+02:00
28934929-;28934929-yr4k3q9ja;R;;;;1995-06-22T02:48:02.6+02:00
28934929-;28934929-;R;0;1;;
28934929-;28934929-j4371210g25;R;;;;2009-05-19T04:47:43.6+02:00
28934929-;28934929-;R;;0;;1996-05-25T00:24:59.6+02:00
28934929-ma7pl;28934929-qno08rsaeeg9k69qns;R;0;;;2019-11-05T19:23:15.6+01:00
28934929-;28934929-;R;;;;
28934929-;28934929-c82;R;;;D;
28934929-;28934929-m94tr70ore6yu;R;1;;;2014-10-06T03:48:18.6+02:00
28934929-;28934929-;R;;;T;
