#28934929-V-2019061208-R-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-;;;1;go5pklc8pjlkýůér8gť07ř;6pr2čdaěwéb
28934929-;28934929-8tjb8moq72;;1995-12-06T16:18:31.6+01:00;;;
28934929-;28934929-;;2010-10-23T13:03:18.6+02:00;;54šářů9gýuvn38225kun28čúlx02sjcůksoťď1řšwm;oóoj8xůvčg
28934929-67lxylo75bpu0;28934929-lfufjfjsjarr6phnpq;;;;;cďšé
28934929-h9v876;28934929-ec5evhge3ys1p;11,63;;;;očťlosm0š7kí2ššdá197j
28934929-7it9fclq4;28934929-;16,00;;1;;
28934929-;28934929-;15,26;;;;
28934929-lyukcd7tlsbir46fv4k7;28934929-ipp;13,48;;;šjýů11v21aič;
28934929-;28934929-;;;;;
28934929-;28934929-;;;;pr3íl52aeácuuhti6ř23loščoqsťg1r6úxgěšřěqi9új0šq;
28934929-;28934929-;;2008-11-12T03:35:59.6+01:00;;;
28934929-uju8;28934929-9fiwjxbw57ssa;;;0;;
28934929-;28934929-3xtkm8e5gpmhcaqb1e30g;4,24;;;;
28934929-;28934929-;;;;;xqónď5ťúdďtg9čansť
28934929-;28934929-mjn6mlp;;;;;íeú11ódllcýém8šb1f5
28934929-;28934929-;7,77;;;;38rěsii
28934929-;28934929-;10,54;2007-07-07T23:25:29.6+02:00;;ěkl;p2ýřěó
28934929-;28934929-qg5fb2lys3rygvpnh;10,56;2012-04-16T22:20:54.6+02:00;;;pyóř3n1ýfřěgícw44q
28934929-nde1c9u;28934929-;;;0;8rúxďč34tďpgaqjiépřqšvvl;c6epř3óéyuuřů
28934929-;28934929-;0,15;1992-05-05T18:46:11.6+02:00;;d0y;
28934929-;28934929-;4,11;;;;
28934929-;28934929-;;2003-04-07T18:28:22.6+02:00;;;ů8á84sjéfóbfb5vsó18šš
28934929-;28934929-;4,19;;;;
28934929-1ah8jdxmsn;28934929-4shuys1l0px;;;1;;
28934929-;28934929-atxrle27q5mr3edg;4,46;;;;
28934929-l2rmtvhxgbfp6l0gnhn7p;28934929-;;;1;šmjseiv8jgúšr35šdwji;
28934929-f5wts0p5jg8pr6kise4t;28934929-rxei77lkmsnw;;2008-03-29T02:53:24.6+01:00;;čxk6ifóúreg5jšufiv1m04421ťúr2d03júú1ói;
28934929-;28934929-;;;1;;
28934929-7a66cum4cd6yhaii4h5q;28934929-0yqctx5abes9ihy4;;1993-09-30T21:28:35.6+01:00;1;8ěúhgxmdjáš0iď1jjčó9ůmijbčúc6l7ii7řéb98dgcůý;
28934929-;28934929-wxna895m6uy;;;;;něiú1čwbíkg
28934929-;28934929-;;;;;86řy1
28934929-;28934929-;;1999-10-19T09:39:11.6+02:00;0;;
28934929-;28934929-;4,00;;;;
28934929-;28934929-;;2007-11-03T13:57:55.6+01:00;1;htbifhč6uůbdý0nřjhévťfáoe1čk9m;
28934929-;28934929-;19,48;2010-11-05T00:53:49.6+01:00;0;;
28934929-;28934929-;;2013-12-04T14:42:35.6+01:00;;íoi;
