#28934929-V-2019061208-R-01;udalost.csv;2019-02-12T12:51:35+01:00;1.0
idudalost;udalostnazev;hradruh;zahajenicas;udalostvysledek;idhlavniudalost;idprovozovatel
28934929-t4t0224b6jfwc;x2cípměůoc5n6hý5átb8éý;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-ik598qhy5tyl;qfiljíéwýiféyďéďe0ď8;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-qayxoj6yokhvrawkhb3h;;R;;;28934929;28934929
28934929-ex52qksqqwepjok;sw51j6xb1čfe2oqgi2rfk41ú5b2úpv577fxn4ekíř8errpf9vx;R;;ěu8fr7ayičmd0etfm7r2ý1f5bfo54r52ďw6eúýá664dhcfkéúťl;28934929;28934929
28934929-;;R;;úfuwřwťv3ě0cšom63s6qvéť7t37iérlťěčyfjnťcny9ť0q7tť;28934929;28934929
28934929-pdf0pic12lfmvlpdv9;hýr6ů6ggtfiú3u9ícgjd3gjběowš7rýaařeš5mv;R;;;28934929;28934929
28934929-;;R;2008-12-03T20:11:59.6+01:00;ďcjá7ádáo0dýó0u10yřbyšcěš0řjd2qf3w4b0vxkvfkalřw5tu8;28934929;28934929
28934929-;;R;1992-08-12T08:39:05.6+02:00;;28934929;28934929
28934929-;íy7r37šrmní0hki28éx009úgs2446eoťw4vfpdóyščoqkóa;R;;;28934929;28934929
28934929-iouufae0u6pwa;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-maudnrnidasgp48l;gý1aůť;R;;;28934929;28934929
28934929-jp61uib9;;R;2012-08-22T00:11:15.6+02:00;;28934929;28934929
28934929-yyx7hxs68a8x3iu4n6;;R;;;28934929;28934929
28934929-cvp0ce1kw;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-wnjsemyc387;ěbďyóéýťrůš29kjyóckvwqís;R;;d1njďrjiv7v5tx6p39ú3íď;28934929;28934929
28934929-;ab25kú7g0d4jkřesčč530íýpfn8q2x5;R;;ala71vvíó994lťýsrťítjuřéětťmčwťjen;28934929;28934929
28934929-06ligto7c86y5lbihnqwr7;;R;;ěvřš;28934929;28934929
28934929-hcfdcswt517buyunsyslmi;f0s8snj9juésď8cřgd3ť85qséfkčváfpuí3555dbw;R;2000-02-18T00:43:32.6+01:00;;28934929;28934929
28934929-p075e3mxu48r24ibm;;R;;;28934929;28934929
28934929-e6j65gpuyxeu1o2q2udw;;R;2001-05-16T13:59:12.6+02:00;ú2wďdúíi5ky3co7eubúórl68u0s3ů;28934929;28934929
28934929-;;R;;í1á4á2ptg76áépg7y62ca;28934929;28934929
28934929-etyd1a5as1;;R;;9iacmg4éý5čú7ýa8šejaqqwokl3;28934929;28934929
28934929-;;R;2004-11-15T04:43:49.6+01:00;;28934929;28934929
28934929-oxlhea2yeb77vrit4tx;;R;;;28934929;28934929
28934929-q5yjhvl2v28kirv7;;R;;;28934929;28934929
28934929-je3q3sh7e2;;R;;ťš8yhhg07óípg3n;28934929;28934929
28934929-;1óťól1doť7éběgx7qlhúťyp1čnťťš4wsč23lř1;R;;;28934929;28934929
28934929-soytsg60i9hgjdm6imb6;;R;;8t4eraltc7v8nkm8čnv0é3hvť2ůóiérn4;28934929;28934929
28934929-tmfoebpf51d1e460a;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-m8lk;;R;;;28934929;28934929
28934929-;ďůýýdmd3úgiaůrgkqý7ó2tůky17;R;2006-06-19T09:59:57.6+02:00;;28934929;28934929
28934929-nukoh4f3ev6h6s;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-5nd0uxssqd5lep;;R;2002-11-17T04:52:48.6+01:00;;28934929;28934929
28934929-dqnyvrvcd02epag4my;;R;;;28934929;28934929
28934929-;;R;1999-01-31T21:19:07.6+01:00;53ťáu5áď;28934929;28934929
28934929-;;R;1999-05-07T07:03:03.6+02:00;b1ů5újncík6wqn5wkuuu18ulmofý28qkwgc1kém8ldtl;28934929;28934929
28934929-nn5pvyy37p8td2euc6;;R;;;28934929;28934929
28934929-;;R;2009-02-13T21:33:15.6+01:00;;28934929;28934929
28934929-;;R;2015-11-08T08:52:18.6+01:00;;28934929;28934929
28934929-;lmří2šř0tk28ěďtďývéýowsvaérď;R;;;28934929;28934929
28934929-;y6šgeýgb7xihoú2uó7ř6pď2édčjreký;R;;;28934929;28934929
28934929-;;R;1991-07-06T13:01:22.6+02:00;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-katd2oifaapwugy4b5h;;R;;urfgů0ěoanéčóř7jé0érvřýph7lnřc1í4í50ailůn4é;28934929;28934929
28934929-;;R;;nřusí1áoáartlo;28934929;28934929
28934929-jr9qj3c;8dcoý;R;;ef6pnéq;28934929;28934929
